sex,lhd,financial year,"rate per 100,000 population"
Males,Western NSW,2011/2012,7.7
Males,Western NSW,2012/2013,7.9
Males,Western NSW,2013/2014,11.6
Males,Western NSW,2014/2015,9.3
Males,Western NSW,2015/2016,9.8
Males,Western NSW,2016/2017,15.5
Males,Western NSW,2017/2018,14.1
Males,Western NSW,2018/2019,12.9
Males,Western NSW,2019/2020,11.4
Males,Western NSW,2020/2021,8.6
Females,Sydney,2011/2012,7.2
Females,Sydney,2012/2013,6.8
Females,Sydney,2013/2014,5.2
Females,Sydney,2014/2015,7.2
Females,Sydney,2015/2016,8.3
Females,Sydney,2016/2017,9.8
Females,Sydney,2017/2018,8.9
Females,Sydney,2018/2019,8.2
Females,Sydney,2019/2020,6.9
Females,Sydney,2020/2021,4.0
Females,South Western Sydney,2011/2012,4.2
Females,South Western Sydney,2012/2013,4.7
Females,South Western Sydney,2013/2014,5.7
Females,South Western Sydney,2014/2015,6.3
Females,South Western Sydney,2015/2016,8.0
Females,South Western Sydney,2016/2017,8.9
Females,South Western Sydney,2017/2018,8.6
Females,South Western Sydney,2018/2019,7.7
Females,South Western Sydney,2019/2020,5.9
Females,South Western Sydney,2020/2021,4.8
Females,South Eastern Sydney,2011/2012,6.0
Females,South Eastern Sydney,2012/2013,5.9
Females,South Eastern Sydney,2013/2014,6.4
Females,South Eastern Sydney,2014/2015,7.0
Females,South Eastern Sydney,2015/2016,5.9
Females,South Eastern Sydney,2016/2017,8.0
Females,South Eastern Sydney,2017/2018,8.2
Females,South Eastern Sydney,2018/2019,6.6
Females,South Eastern Sydney,2019/2020,5.8
Females,South Eastern Sydney,2020/2021,4.2
Females,Illawarra Shoalhaven,2011/2012,8.6
Females,Illawarra Shoalhaven,2012/2013,7.8
Females,Illawarra Shoalhaven,2013/2014,7.6
Females,Illawarra Shoalhaven,2014/2015,8.2
Females,Illawarra Shoalhaven,2015/2016,7.5
Females,Illawarra Shoalhaven,2016/2017,9.4
Females,Illawarra Shoalhaven,2017/2018,9.1
Females,Illawarra Shoalhaven,2018/2019,10.1
Females,Illawarra Shoalhaven,2019/2020,9.1
Females,Illawarra Shoalhaven,2020/2021,4.8
Females,Western Sydney,2011/2012,8.3
Females,Western Sydney,2012/2013,8.2
Females,Western Sydney,2013/2014,9.4
Females,Western Sydney,2014/2015,8.3
Females,Western Sydney,2015/2016,8.0
Females,Western Sydney,2016/2017,10.4
Females,Western Sydney,2017/2018,8.6
Females,Western Sydney,2018/2019,8.3
Females,Western Sydney,2019/2020,7.2
Females,Western Sydney,2020/2021,4.0
Females,Nepean Blue Mountains,2011/2012,10.9
Females,Nepean Blue Mountains,2012/2013,10.8
Females,Nepean Blue Mountains,2013/2014,9.6
Females,Nepean Blue Mountains,2014/2015,9.7
Females,Nepean Blue Mountains,2015/2016,13.2
Females,Nepean Blue Mountains,2016/2017,14.9
Females,Nepean Blue Mountains,2017/2018,11.4
Females,Nepean Blue Mountains,2018/2019,9.4
Females,Nepean Blue Mountains,2019/2020,8.0
Females,Nepean Blue Mountains,2020/2021,6.3
Females,Northern Sydney,2011/2012,9.5
Females,Northern Sydney,2012/2013,8.1
Females,Northern Sydney,2013/2014,7.2
Females,Northern Sydney,2014/2015,8.7
Females,Northern Sydney,2015/2016,9.6
Females,Northern Sydney,2016/2017,11.9
Females,Northern Sydney,2017/2018,11.1
Females,Northern Sydney,2018/2019,9.1
Females,Northern Sydney,2019/2020,8.2
Females,Northern Sydney,2020/2021,5.7
Females,Central Coast,2011/2012,7.6
Females,Central Coast,2012/2013,6.3
Females,Central Coast,2013/2014,6.4
Females,Central Coast,2014/2015,9.4
Females,Central Coast,2015/2016,9.9
Females,Central Coast,2016/2017,11.1
Females,Central Coast,2017/2018,9.7
Females,Central Coast,2018/2019,7.8
Females,Central Coast,2019/2020,7.2
Females,Central Coast,2020/2021,4.8
Females,Hunter New England,2011/2012,7.8
Females,Hunter New England,2012/2013,8.5
Females,Hunter New England,2013/2014,8.8
Females,Hunter New England,2014/2015,8.3
Females,Hunter New England,2015/2016,8.3
Females,Hunter New England,2016/2017,11.8
Females,Hunter New England,2017/2018,11.4
Females,Hunter New England,2018/2019,9.9
Females,Hunter New England,2019/2020,7.6
Females,Hunter New England,2020/2021,4.6
Females,Northern NSW,2011/2012,5.8
Females,Northern NSW,2012/2013,5.0
Females,Northern NSW,2013/2014,7.4
Females,Northern NSW,2014/2015,8.2
Females,Northern NSW,2015/2016,7.7
Females,Northern NSW,2016/2017,8.7
Females,Northern NSW,2017/2018,8.2
