financial year,lhd,"rate per 100,000 population"
2014/2015,Northern Sydney,9737.5
2015/2016,Northern Sydney,9150.0
2016/2017,Northern Sydney,9300.0
2017/2018,Northern Sydney,9362.5
2018/2019,Northern Sydney,9300.0
2019/2020,Northern Sydney,9304.166666666666
2020/2021,Northern Sydney,9308.333333333334
2021/2022,Northern Sydney,9312.5
2022/2023,Northern Sydney,9316.666666666666
2023/2024,Northern Sydney,9320.833333333334
2002/2003,South Eastern Sydney,9325.0
2003/2004,South Eastern Sydney,9300.0
2004/2005,South Eastern Sydney,9012.5
2005/2006,South Eastern Sydney,8175.0
2006/2007,South Eastern Sydney,7137.5
2007/2008,South Eastern Sydney,6287.5
2008/2009,South Eastern Sydney,6175.0
2009/2010,South Eastern Sydney,6650.0
2010/2011,South Eastern Sydney,7912.5
2014/2015,South Eastern Sydney,5937.5
2015/2016,South Eastern Sydney,6100.0
2016/2017,South Eastern Sydney,6200.0
2017/2018,South Eastern Sydney,6950.0
2018/2019,South Eastern Sydney,7200.0
2019/2020,South Eastern Sydney,7883.333333333333
2020/2021,South Eastern Sydney,8566.666666666666
2021/2022,South Eastern Sydney,9250.0
2022/2023,South Eastern Sydney,9933.333333333334
2023/2024,South Eastern Sydney,10616.666666666668
2002/2003,South Western Sydney,11300.0
2003/2004,South Western Sydney,10362.5
2004/2005,South Western Sydney,8937.5
2005/2006,South Western Sydney,8275.0
2006/2007,South Western Sydney,8787.5
2007/2008,South Western Sydney,9600.0
2008/2009,South Western Sydney,9975.0
2009/2010,South Western Sydney,9725.0
2010/2011,South Western Sydney,9687.5
2014/2015,South Western Sydney,7250.0
2015/2016,South Western Sydney,7087.5
2016/2017,South Western Sydney,8387.5
2017/2018,South Western Sydney,9100.0
2018/2019,South Western Sydney,9050.0
2019/2020,South Western Sydney,9095.833333333334
2020/2021,South Western Sydney,9141.666666666666
2021/2022,South Western Sydney,9187.5
2022/2023,South Western Sydney,9233.333333333334
2023/2024,South Western Sydney,9279.166666666666
2002/2003,Southern NSW,9325.0
2003/2004,Southern NSW,9175.0
2004/2005,Southern NSW,9587.5
2005/2006,Southern NSW,11500.0
2006/2007,Southern NSW,12687.5
2007/2008,Southern NSW,11350.0
2008/2009,Southern NSW,9250.0
2009/2010,Southern NSW,8550.0
2010/2011,Southern NSW,9050.0
2014/2015,Southern NSW,8587.5
2015/2016,Southern NSW,8187.5
2016/2017,Southern NSW,7912.5
2017/2018,Southern NSW,7712.5
2018/2019,Southern NSW,7900.0
2019/2020,Southern NSW,7966.666666666667
2020/2021,Southern NSW,8033.333333333333
2021/2022,Southern NSW,8100.0
2022/2023,Southern NSW,8166.666666666667
2023/2024,Southern NSW,8233.333333333334
2002/2003,Sydney,8300.0
2003/2004,Sydney,8037.5
2004/2005,Sydney,8162.5
2005/2006,Sydney,8200.0
2006/2007,Sydney,8475.0
2007/2008,Sydney,9012.5
2008/2009,Sydney,8762.5
2009/2010,Sydney,7975.0
2010/2011,Sydney,6700.0
2014/2015,Sydney,5787.5
2015/2016,Sydney,6012.5
2016/2017,Sydney,6350.0
2017/2018,Sydney,6050.0
2018/2019,Sydney,5625.0
2019/2020,Sydney,6983.333333333333
2020/2021,Sydney,8341.666666666666
2021/2022,Sydney,9700.0
2022/2023,Sydney,11058.333333333332
2023/2024,Sydney,12416.666666666666
2002/2003,Western NSW,13775.0
2003/2004,Western NSW,13862.5
2004/2005,Western NSW,13512.5
2005/2006,Western NSW,12625.0
2006/2007,Western NSW,11637.5
2007/2008,Western NSW,11262.5
2008/2009,Western NSW,12000.0
2009/2010,Western NSW,12987.5
2010/2011,Western NSW,12737.5
2014/2015,Western NSW,10100.0
2015/2016,Western NSW,9100.0
2016/2017,Western NSW,8700.0
2017/2018,Western NSW,8562.5
2018/2019,Western NSW,9375.0
2019/2020,Western NSW,9575.0
2020/2021,Western NSW,9775.0
2021/2022,Western NSW,9975.0
2022/2023,Western NSW,10175.0
2023/2024,Western NSW,10375.0
2002/2003,Western Sydney,10575.0
2003/2004,Western Sydney,10400.0
2004/2005,Western Sydney,9687.5
2005/2006,Western Sydney,9025.0
2006/2007,Western Sydney,8612.5
2007/2008,Western Sydney,7862.5
2008/2009,Western Sydney,6962.5
2009/2010,Western Sydney,6925.0
2010/2011,Western Sydney,8237.5
2014/2015,Western Sydney,6387.5
2015/2016,Western Sydney,4650.0
2016/2017,Western Sydney,5075.0
2017/2018,Western Sydney,6725.0
2018/2019,Western Sydney,7300.0
2019/2020,Western Sydney,7300.0
2020/2021,Western Sydney,7300.0
2021/2022,Western Sydney,7300.0
2022/2023,Western Sydney,7300.0
2023/2024,Western Sydney,7300.0
