financial year,lhd,CO ppm,NO pphm,NO2 pphm,OZONE pphm,PM10 µg/m³,SO2 pphm,"asthma deaths [rate per 100,000]","asthma edp [f] [rate per 100,000]","asthma edp [m] [rate per 100,000]","asthma hospitalisations [f] [rate per 100,000]","asthma hospitalisations [m] [rate per 100,000]",asthma prevelance in children [% of children]
2020/2021,Northern Sydney,0.3,0.3725529100529101,0.6191798941798942,1.7870512820512825,15.739175257731956,0.0616492146596858,0.35,129.6,146.1,74.5,69.9,
2021/2022,Northern Sydney,,,,,,,,119.7,131.2,61.7,58.3,
2022/2023,Northern Sydney,,,,,,,,146.9,163.4,,,
2023/2024,Northern Sydney,0.05,0.3850529100529101,0.7191798941798941,1.587051282051282,15.739175257731956,0.0866492146596858,,,,,,
2000/2001,South Eastern Sydney,0.2428571428571428,2.7524621212121216,1.4342803030303028,1.403942307692308,19.4875,0.1042372881355932,,,,,,
2001/2002,South Eastern Sydney,0.2428571428571428,2.8212121212121217,1.4905303030303028,1.3851923076923078,17.69978373702422,0.1104872881355932,,,,146.1,167.6,
2002/2003,South Eastern Sydney,0.2428571428571428,3.146212121212121,1.753030303030303,1.247692307692308,18.55,0.1292372881355932,,,,130.5,149.8,
2003/2004,South Eastern Sydney,0.2428571428571428,2.910497835497836,1.6066017316017316,1.3263877442002443,19.6,0.1185230024213074,,,,123.9,136.2,13.0
2004/2005,South Eastern Sydney,0.2428571428571428,2.667392676767677,1.43564439033189,1.419244887057387,18.528324270884827,0.1116352473192666,,,,148.7,150.1,12.9
2005/2006,South Eastern Sydney,0.2428571428571428,2.5712121212121217,1.4030303030303028,1.5476923076923077,18.6,0.1167372881355932,,,,152.1,148.8,11.85
2006/2007,South Eastern Sydney,0.2428571428571428,2.7545454545454557,1.4613636363636362,1.3728369836182337,19.35,0.1125706214689265,,,,137.7,163.0,10.15
2007/2008,South Eastern Sydney,0.2428571428571428,2.664745107323233,1.4096926294191918,1.3539423076923076,17.2,0.0984337167070217,,,,153.6,155.6,9.0
2008/2009,South Eastern Sydney,,,,,,,,,,140.6,140.0,9.2
2009/2010,South Eastern Sydney,0.2428571428571428,2.771212121212121,1.4280303030303028,1.4726923076923075,15.875,0.1042372881355932,,,,157.3,145.7,10.4
2010/2011,South Eastern Sydney,0.2428571428571428,2.6819264069264075,1.3780303030303027,1.354835164835165,14.271428571428572,0.0976046350743687,,,,118.0,139.6,13.1
2011/2012,South Eastern Sydney,0.2428571428571428,2.5962121212121216,1.338030303030303,1.3476923076923075,15.96,0.1142372881355932,0.6,,,139.1,135.8,13.65
2012/2013,South Eastern Sydney,0.2428571428571428,2.6349081088664423,1.2728412598204264,1.4088998694207029,20.366666666666667,0.1046341135324186,0.575,,,125.0,140.9,12.05
2013/2014,South Eastern Sydney,0.2428571428571428,2.7351010101010105,1.366919191919192,1.342136752136752,18.4,0.1042372881355932,0.525,,,142.4,146.5,9.95
2014/2015,South Eastern Sydney,0.2428571428571428,2.6571303310886645,1.3561745931537597,1.458803418803419,19.61111111111111,0.1042372881355932,0.5,279.4,308.4,127.6,145.4,9.15
2015/2016,South Eastern Sydney,0.2428571428571428,2.590656565656566,1.4169191919191917,1.3976923076923078,18.38888888888889,0.0986817325800376,0.55,253.3,274.9,121.2,118.6,9.45
2016/2017,South Eastern Sydney,0.2428571428571428,2.5512121212121217,1.3330303030303028,1.477692307692308,18.8,0.1042372881355932,0.6499999999999999,250.0,269.2,114.4,116.0,9.2
2017/2018,South Eastern Sydney,0.2428571428571428,2.4819264069264078,1.2708874458874455,1.5691208791208793,20.74285714285714,0.1042372881355932,0.675,216.3,234.7,107.6,110.3,10.35
2018/2019,South Eastern Sydney,0.2714285714285714,2.498106060606061,1.2515151515151517,1.511346153846154,21.525,0.1031779661016949,0.65,240.7,237.8,124.5,119.1,
2019/2020,South Eastern Sydney,0.2,2.2750000000000004,1.375,1.3250000000000002,15.9,0.1,0.6000000000000001,230.7,205.6,105.6,95.5,
2020/2021,South Eastern Sydney,0.2357142857142857,2.3240530303030305,1.2820075757575755,1.499423076923077,19.3,0.1010593220338983,0.55,178.3,174.3,75.3,69.7,
2021/2022,South Eastern Sydney,,,,,,,,180.9,158.6,81.3,74.5,
2022/2023,South Eastern Sydney,,,,,,,,218.0,190.0,,,
2023/2024,South Eastern Sydney,0.25,3.0,1.25,1.2,18.4,0.1021186440677966,,,,,,
2000/2001,South Western Sydney,0.2355925274984022,0.7818700214964303,0.8047961669786465,1.849652383321476,17.67513718919969,0.055583201003406,,,,,,
2001/2002,South Western Sydney,0.225324670355545,0.8439141570483784,0.7917069827253997,1.825249384327258,17.76888718919969,0.0563031764936021,,,,158.5,162.4,
2002/2003,South Western Sydney,0.2430925274984022,1.230108918579354,0.9185479082110292,1.757048331267772,18.09786689005439,0.049333201003406,,,,140.8,156.5,
2003/2004,South Western Sydney,0.2389779784529775,0.9724778518011632,0.8428838982206919,1.8698466899359885,19.857510076177256,0.0418226968017253,,,,138.8,139.6,15.75
2004/2005,South Western Sydney,0.2048815334233528,0.701950173687507,0.7571061143148182,1.933348816976596,17.996795790462972,0.0433808200510251,,,,142.0,149.4,13.8
2005/2006,South Western Sydney,0.1987918362541625,0.673233609663235,0.7841534671824478,1.9662211141453845,18.23622159090909,0.054942882375955,,,,138.1,179.8,12.8
2006/2007,South Western Sydney,0.191816605839416,0.7712060893197609,0.7945008805904048,1.8657493595285823,19.10497159090909,0.0498131846635367,,,,164.9,177.7,13.1
2007/2008,South Western Sydney,0.1674827924753607,0.7411079616365938,0.723512870659058,1.7602092906030729,16.60184659090909,0.0425587193467858,,,,161.1,170.5,14.3
2008/2009,South Western Sydney,,,,,,,,,,157.5,174.0,15.25
2009/2010,South Western Sydney,0.267004105839416,0.7562972235340992,0.7490205437311168,1.7611402575020276,16.396235795454544,0.0398197487585505,,,,178.9,183.7,15.55
2010/2011,South Western Sydney,0.2589058915537018,0.6034330127243833,0.6713616887314366,1.8129259717877415,15.529568399798082,0.0365688452611091,,,,155.3,170.5,15.7
2011/2012,South Western Sydney,0.2694416058394161,0.5889059487169622,0.6874532239819005,1.8096507104637,15.738197879858657,0.0408895735524256,0.75,,,187.2,204.8,16.4
2012/2013,South Western Sydney,0.1966194241686942,0.5830182557807709,0.7042182557554008,1.8469464438587009,18.891666666666666,0.0463874217527386,0.725,,,167.1,175.2,16.7
2013/2014,South Western Sydney,0.2489166666666666,0.6787257053291537,0.7500682688958551,1.7820833333333337,17.197222222222223,0.0510300925925925,0.725,,,171.4,174.0,15.0
2014/2015,South Western Sydney,0.2243531746031745,0.4772509578544061,0.6596743295019157,1.9348611111111111,16.602777777777778,0.032511574074074,0.75,341.8,364.8,183.6,178.8,11.7
2015/2016,South Western Sydney,0.2376865079365079,0.6149347813838179,0.7418332347306739,1.850138888888889,17.308333333333334,0.0436226851851851,0.875,335.1,366.2,165.6,181.0,10.7
2016/2017,South Western Sydney,0.2342499999999999,0.5512787356321839,0.7068965517241379,1.908055555555556,17.3975,0.0502083333333333,1.025,331.8,322.1,184.5,167.7,12.5
2017/2018,South Western Sydney,0.2193928571428571,0.5394326410792548,0.7122536945812808,2.077519841269841,20.014285714285712,0.0586855158730158,1.1,292.5,280.8,177.3,150.1,13.35
2018/2019,South Western Sydney,0.18225,0.4894037356321838,0.7131465517241379,2.098055555555556,19.2625,0.0714289906103286,1.025,306.8,311.3,168.3,171.9,
2019/2020,South Western Sydney,0.17225,0.8175287356321839,0.725646551724138,1.5293055555555557,16.299999999999997,0.0402083333333333,0.8500000000000001,268.3,240.6,143.8,125.2,
2020/2021,South Western Sydney,0.12725,0.5956537356321839,0.6225215517241379,1.935555555555556,19.33125,0.0527083333333333,0.8,220.6,211.7,104.8,100.9,
2021/2022,South Western Sydney,,,,,,,,217.2,207.4,98.9,96.7,
2022/2023,South Western Sydney,,,,,,,,250.3,248.3,,,
2023/2024,South Western Sydney,0.1905794930875576,0.6229490896144848,0.6712217729630761,1.77426263710062,18.3857905982906,0.0597804330065359,,,,,,
2001/2002,Southern NSW,,,,,,,,,,192.9,160.5,
2002/2003,Southern NSW,,,,,,,,,,143.9,125.3,
2003/2004,Southern NSW,,,,,,,,,,164.4,120.7,12.6
2004/2005,Southern NSW,,,,,,,,,,171.4,110.8,13.35
2005/2006,Southern NSW,,,,,,,,,,159.4,108.8,16.8
2006/2007,Southern NSW,,,,,,,,,,145.1,119.6,19.4
2007/2008,Southern NSW,,,,,,,,,,149.3,106.0,17.6
2008/2009,Southern NSW,,,,,,,,,,158.2,119.3,14.0
2009/2010,Southern NSW,,,,,,,,,,156.1,140.9,12.9
2010/2011,Southern NSW,,,,,,,,,,134.3,145.7,14.15
2011/2012,Southern NSW,,,,,,,0.75,,,151.7,151.0,14.75
2012/2013,Southern NSW,,,,,,,0.95,,,138.9,153.5,13.35
2013/2014,Southern NSW,,,,,,,1.025,,,134.7,125.8,12.8
2014/2015,Southern NSW,,,,,,,0.9,428.6,403.3,122.4,111.4,12.75
2015/2016,Southern NSW,,,,,,,0.875,465.2,414.6,125.5,104.9,12.9
2016/2017,Southern NSW,,,,,,,0.8,476.8,453.7,129.3,129.1,13.3
2017/2018,Southern NSW,,,,,,,0.7,445.1,425.0,153.0,133.9,13.0
2018/2019,Southern NSW,,,,,,,0.625,560.6,427.8,144.9,160.1,
2019/2020,Southern NSW,,,,,,,0.55,492.2,370.3,121.1,93.5,
2020/2021,Southern NSW,,,,,,,0.5,375.0,331.7,93.0,73.2,
2021/2022,Southern NSW,,,,,,,,390.5,310.5,99.1,47.6,
2022/2023,Southern NSW,,,,,,,,440.6,418.8,,,
2000/2001,Sydney,0.2875,1.36875,1.2875,1.54375,19.335140041493776,0.0616822429906542,,,,,,
2001/2002,Sydney,0.2625,1.7375,1.3125,1.5062279151943463,19.14139004149378,0.0616822429906542,,,,148.8,150.9,
2002/2003,Sydney,0.3,2.825,1.75,1.375,19.51639004149378,0.0616822429906542,,,,146.6,134.4,
2003/2004,Sydney,0.2714285714285714,1.8857142857142857,1.4,1.5285714285714285,21.603681111204548,0.0616822429906542,,,,134.5,144.8,11.2
2004/2005,Sydney,0.2090252707581227,1.0429371002132195,1.14406512605042,1.7071176173649671,19.56574394463668,0.0616822429906542,,,,134.2,151.7,11.95
2005/2006,Sydney,0.2,0.875,1.1375,1.8375,20.7,0.0616822429906542,,,,125.7,150.7,12.85
2006/2007,Sydney,0.2166666666666666,1.3,1.1666666666666667,1.5666666666666669,21.016666666666666,0.0616822429906542,,,,153.6,149.1,13.55
2007/2008,Sydney,0.15,1.2561570437287248,1.115127063983488,1.469030172413793,17.85625,0.0616822429906542,,,,141.0,142.7,14.4
2008/2009,Sydney,,,,,,,,,,140.7,147.6,13.5
2009/2010,Sydney,0.3407942238267148,1.2376399253731345,1.1271139705882351,1.5624558303886926,17.441597510373445,0.0616822429906542,,,,131.9,158.1,11.5
2010/2011,Sydney,0.3142857142857143,0.9857942430703625,1.036922268907563,1.6071428571428572,16.357142857142858,0.0616822429906542,,,,115.5,128.9,8.899999999999999
2011/2012,Sydney,0.36,0.74,0.9399999999999998,1.69,16.020000000000003,0.0616822429906542,0.8,,,148.6,136.4,8.75
2012/2013,Sydney,0.3070196550340955,0.7833955223880598,1.00093954248366,1.8111111111111111,20.366666666666667,0.0616822429906542,1.0,,,111.5,158.0,9.3
2013/2014,Sydney,0.2333333333333333,0.8388888888888889,1.0444444444444445,1.5499999999999998,18.32777777777778,0.0616822429906542,1.075,,,122.0,150.4,8.95
2014/2015,Sydney,0.2222222222222222,0.74411306042885,0.8874658869395711,1.7833333333333334,18.33333333333333,0.0744548286604361,0.85,263.0,283.1,127.3,130.1,9.45
2015/2016,Sydney,0.2777777777777778,0.7774463937621833,0.8819103313840155,1.6055555555555556,17.133333333333333,0.1,0.575,251.0,287.6,111.3,117.8,10.1
2016/2017,Sydney,0.2063176895306859,0.67,0.98,1.6599999999999997,17.605,0.04,0.375,255.5,263.7,128.9,121.7,10.9
2017/2018,Sydney,0.1894791129448169,0.7646855010660981,0.9881302521008404,1.84994952044422,18.711825726141083,0.0604806408544726,0.425,208.6,229.5,108.7,118.8,10.3
2018/2019,Sydney,0.2157942238267148,0.4875,0.8125,1.9,18.725,0.1,0.525,233.1,244.4,124.0,116.1,
2019/2020,Sydney,0.2,1.0,1.0,1.375,15.425,0.05,0.6000000000000001,199.2,202.8,116.8,99.2,
2020/2021,Sydney,0.2,0.5375000000000001,0.8,1.8375,18.375,0.075,0.65,183.8,191.9,99.4,84.8,
2021/2022,Sydney,,,,,,,,159.1,160.1,86.8,68.6,
2022/2023,Sydney,,,,,,,,206.4,193.3,,,
2023/2024,Sydney,0.2,0.525,0.725,1.525,17.325,0.1,,,,,,
2000/2001,Western NSW,,,,1.7653532608695652,,,,,,,,
2001/2002,Western NSW,,,,1.8639945652173917,,,,,,309.5,260.5,
2002/2003,Western NSW,,,,1.622282608695652,,,,,,257.7,228.8,
2003/2004,Western NSW,,,,1.8714285714285717,,,,,,276.2,229.8,19.75
2004/2005,Western NSW,,,,2.0063664596273294,,,,,,207.8,204.4,19.0
2005/2006,Western NSW,,,,1.9,,,,,,278.2,229.2,17.3
2006/2007,Western NSW,,,,1.95,,,,,,205.8,164.9,15.45
2007/2008,Western NSW,,,,1.8514945652173915,,,,,,205.6,186.7,15.1
2008/2009,Western NSW,,,,,,,,,,163.5,178.6,17.15
2009/2010,Western NSW,,,,1.8445652173913043,,,,,,159.0,159.4,20.1
2010/2011,Western NSW,,,,1.8445652173913043,,,,,,189.5,160.8,20.4
2011/2012,Western NSW,,,,1.8445652173913043,,,1.0,,,163.5,146.5,19.85
2012/2013,Western NSW,,,,1.8445652173913043,,,1.075,,,156.0,137.2,18.3
2013/2014,Western NSW,,,,1.8445652173913043,,,1.275,,,133.6,97.3,17.15
2014/2015,Western NSW,,,,1.8445652173913043,,,1.4,459.5,376.7,144.2,116.5,15.65
2015/2016,Western NSW,,,,1.8445652173913043,,,1.25,564.2,562.7,134.8,121.7,14.1
2016/2017,Western NSW,,,,1.8445652173913043,,,1.2000000000000002,728.9,646.5,144.2,137.6,12.85
2017/2018,Western NSW,,,,1.8445652173913043,,,1.25,579.0,496.8,125.3,116.2,12.4
2018/2019,Western NSW,,,,1.8445652173913043,,,1.2999999999999998,609.0,493.8,124.6,105.5,
2019/2020,Western NSW,,,,1.8445652173913043,,,1.325,586.8,443.0,157.3,101.6,
2020/2021,Western NSW,,,,1.861141304347826,,,1.25,578.6,521.1,86.9,95.3,
2021/2022,Western NSW,,,,,,,,619.8,502.3,90.8,82.3,
2022/2023,Western NSW,,,,,,,,620.9,575.8,,,
2023/2024,Western NSW,,,,1.75,,,,,,,,
2000/2001,Western Sydney,0.1866756537809169,0.8688223704257736,0.8742072148812987,1.667106902553206,,0.0698771835335446,,,,,,
2001/2002,Western Sydney,0.1675236069972911,0.8706411534945566,0.8609466328707167,1.6963061213032062,,0.0698771835335446,,,,135.7,143.6,
2002/2003,Western Sydney,0.1909154198627882,1.2784453862987897,1.0094254688495528,1.6129076838032064,,0.0698771835335446,,,,137.4,116.6,
2003/2004,Western Sydney,0.1746246930457456,1.0213025291559323,0.9260921355162192,1.6629076838032062,,0.0698771835335446,,,,116.0,114.9,15.55
2004/2005,Western Sydney,0.1985177590440748,0.8972284550818582,0.8321767916008754,1.6965014338032065,,0.0698771835335446,,,,123.0,104.4,14.3
2005/2006,Western Sydney,0.1909154198627882,0.8972284550818582,0.8321767916008754,1.6965014338032065,,0.0698771835335446,,,,113.5,121.4,13.1
2006/2007,Western Sydney,0.2042992582466266,0.9716321781766808,0.8514612593146625,1.639121665975677,,0.0735996877636631,,,,132.9,152.3,12.15
2007/2008,Western Sydney,0.1859911774385458,0.9570452090085596,0.8689568963129173,1.668765115395246,,0.0685023950394668,,,,152.9,142.5,10.6
2008/2009,Western Sydney,,,,,,,,,,164.6,170.7,9.2
2009/2010,Western Sydney,0.2565719855193539,0.98531746031746,0.9062169312169313,1.662297453703704,,0.0773221919937815,,,,166.7,180.2,9.55
2010/2011,Western Sydney,0.244667223614592,0.8343357354576503,0.8590562461168296,1.6610697751322754,,0.0691179464401384,,,,134.9,154.1,11.85
2011/2012,Western Sydney,0.2465719855193539,0.8836507936507936,0.8478835978835979,1.6639641203703703,,0.0639888586604482,0.8,,,164.9,166.6,14.75
2012/2013,Western Sydney,0.2159434782241799,0.8347890523283193,0.8313235823707028,1.7475793774184634,,0.076494968831533,0.825,,,154.3,160.5,15.85
2013/2014,Western Sydney,0.1732386521860206,0.8806878306878307,0.8664021164021165,1.7076678240740744,,0.0773221919937815,0.825,,,180.9,180.9,14.25
2014/2015,Western Sydney,0.1695349484823168,0.8066137566137566,0.8367724867724868,1.7706307870370372,,0.0699147845863741,0.9,307.1,321.1,178.4,177.7,10.8
2015/2016,Western Sydney,0.1732386521860206,0.876984126984127,0.8664021164021165,1.722482638888889,,0.0736184882900778,1.0,305.7,312.8,186.6,161.5,7.1
2016/2017,Western Sydney,0.1632386521860205,0.8036507936507936,0.797883597883598,1.750630787037037,,0.0673221919937815,1.025,298.5,307.5,168.3,154.4,7.2
2017/2018,Western Sydney,0.1503480924533556,0.7239984882842025,0.7651927437641725,1.7991278108465611,,0.0799613199341143,0.9,271.3,263.4,170.6,148.8,9.6
2018/2019,Western Sydney,0.1264550264550264,0.4498677248677248,0.7501322751322752,1.978703703703704,,0.0865591397849462,0.725,279.2,257.9,184.4,150.2,
2019/2020,Western Sydney,0.1833333333333333,0.7166666666666667,0.7166666666666668,1.5166666666666666,,0.05,0.675,244.8,203.2,161.8,117.6,
2020/2021,Western Sydney,0.1583333333333333,0.5083333333333333,0.6583333333333333,1.9666666666666663,,0.0916666666666666,0.65,184.8,188.5,132.3,137.7,
2021/2022,Western Sydney,,,,,,,,187.4,184.0,106.8,113.6,
2022/2023,Western Sydney,,,,,,,,220.4,209.3,,,
2023/2024,Western Sydney,0.1255050505050505,0.5267888307155323,0.8254799301919722,1.6296019900497511,,0.0962774957698815,,,,,,
