financial year,lhd,CO ppm,NO pphm,NO2 pphm,OZONE pphm,PM10 µg/m³,SO2 pphm,"asthma deaths [rate per 100,000]","asthma edp [f] [rate per 100,000]","asthma edp [m] [rate per 100,000]","asthma hospitalisations [f] [rate per 100,000]","asthma hospitalisations [m] [rate per 100,000]",asthma prevelance in children [% of children]
2010/2011,Hunter New England,0.1028571428571428,0.6416591200751818,0.7414424084463926,1.8624007287676352,20.400753263905365,0.1618901122743771,,,,133.1,134.5,17.049999999999997
2011/2012,Hunter New England,0.08,0.5873051730809307,0.7152583353999622,1.8767532467532468,20.421161427170677,0.1754476744062311,0.55,,,142.0,144.4,16.7
2012/2013,Hunter New England,0.0666666666666666,0.5946004407186571,0.7408181644305137,1.934782823092176,23.55690187719684,0.155752172983756,0.575,,,148.3,138.8,15.45
2013/2014,Hunter New England,0.1222222222222222,0.6680271915022297,0.7740818956508606,1.849034992784993,22.375150555061868,0.1618044844192791,0.6499999999999999,,,147.5,144.2,15.4
2014/2015,Hunter New England,0.2466666666666667,0.4651146384479718,0.7071880036792318,1.9911976911976912,22.876567124024756,0.1555675287356321,0.825,455.6,445.5,146.7,136.0,16.3
2015/2016,Hunter New England,0.3777777777777777,0.564935064935065,0.7265512265512266,1.843975468975469,22.83650793650794,0.1708333333333333,1.025,475.9,459.5,162.3,158.5,17.35
2016/2017,Hunter New England,0.15,0.5104906204906206,0.6976623376623377,1.9417532467532468,22.41857142857143,0.19,1.05,505.5,495.8,184.6,174.9,17.1
2017/2018,Hunter New England,0.2571428571428572,0.4666750181035895,0.6665343011207673,2.0507884972170687,24.89387755102041,0.1696428571428571,0.975,430.7,437.2,157.7,163.6,16.549999999999997
2018/2019,Hunter New England,0.275,0.3833333333333333,0.5583333333333333,2.125,25.539285714285715,0.165625,0.875,465.9,423.3,167.0,169.8,
2019/2020,Hunter New England,0.2,0.9103228228228228,0.8210960960960961,1.4625,20.114285714285717,0.1580658783783783,0.8,470.1,407.8,144.2,154.7,
2020/2021,Hunter New England,0.2,0.55,0.5583333333333333,1.9,21.839285714285715,0.13125,0.8,400.2,366.0,110.6,115.6,
2021/2022,Hunter New England,,,,,,,,398.0,367.1,87.2,96.3,
2022/2023,Hunter New England,,,,,,,,410.6,416.7,,,
2023/2024,Hunter New England,0.2,0.6232490842490843,0.5740704110704111,1.7,20.91428571428571,0.1333512931034483,,,,,,
2000/2001,Illawarra Shoalhaven,0.225,0.525,0.7875,1.85,20.091234439834025,0.125,,,,,,
2001/2002,Illawarra Shoalhaven,0.25,0.58125,0.80625,1.8736111111111111,19.334984439834024,0.1106564748201438,,,,103.6,121.4,
2002/2003,Illawarra Shoalhaven,0.4,1.275,1.075,1.825,18.953734439834022,0.1,,,,121.0,105.1,
2003/2004,Illawarra Shoalhaven,0.2905257936507937,0.65,0.8428571428571429,1.9357142857142855,18.696591582691163,0.1142857142857143,,,,121.2,109.9,14.4
2004/2005,Illawarra Shoalhaven,0.2857142857142857,0.4357142857142856,0.65,1.957142857142857,18.107142857142858,0.1,,,,131.4,125.4,13.6
2005/2006,Illawarra Shoalhaven,0.225,0.3875,0.6625,2.0375,19.6375,0.1,,,,126.2,122.0,14.8
2006/2007,Illawarra Shoalhaven,0.2556134259259259,0.4924404761904761,0.6827380952380953,1.794043528064147,20.991666666666667,0.1308752997601918,,,,148.1,160.2,16.299999999999997
2007/2008,Illawarra Shoalhaven,0.1917100694444444,0.46875,0.60625,1.75625,18.23571120689655,0.0588129496402877,,,,147.9,176.2,16.299999999999997
2008/2009,Illawarra Shoalhaven,,,,,,,,,,139.9,149.7,14.75
2009/2010,Illawarra Shoalhaven,0.3334201388888889,0.5610988768298839,0.6586036092882382,1.925,16.7,0.075,,,,144.3,153.9,14.15
2010/2011,Illawarra Shoalhaven,0.3142857142857143,0.3285714285714285,0.5857142857142856,1.9785714285714289,15.864285714285714,0.0693216855087358,,,,146.2,145.2,14.9
2011/2012,Illawarra Shoalhaven,0.2799999999999999,0.2799999999999999,0.6300000000000001,1.96,16.45,0.08,0.7,,,131.9,122.3,15.25
2012/2013,Illawarra Shoalhaven,0.2,0.3282936507936507,0.6551587301587302,1.8111111111111111,20.577777777777776,0.0666666666666666,0.725,,,111.9,115.3,14.3
2013/2014,Illawarra Shoalhaven,0.2,0.350515873015873,0.6496031746031746,1.933333333333333,17.183333333333334,0.0872501998401279,0.7,,,123.3,112.8,12.55
2014/2015,Illawarra Shoalhaven,0.2,0.2555555555555555,0.5555555555555556,2.0277777777777777,18.22777777777777,0.0888888888888888,0.65,410.1,383.6,128.8,102.6,11.85
2015/2016,Illawarra Shoalhaven,0.2111111111111111,0.3388888888888889,0.6333333333333333,1.893827160493827,19.08888888888889,0.0761390887290168,0.7,458.7,392.5,156.7,116.5,11.65
2016/2017,Illawarra Shoalhaven,0.2,0.26,0.5,2.025,19.41,0.0785251798561151,0.75,456.8,381.6,155.7,118.6,11.05
2017/2018,Illawarra Shoalhaven,0.1571428571428571,0.25,0.4714285714285714,2.130608738340697,21.107142857142858,0.0857142857142857,0.725,389.9,397.7,109.5,105.0,11.1
2018/2019,Illawarra Shoalhaven,0.2,0.2737190812720848,0.5234982332155477,2.025,22.7,0.1,0.625,392.5,338.5,115.7,89.1,
2019/2020,Illawarra Shoalhaven,0.1,0.3,0.6000000000000001,1.725,15.1,0.0,0.55,339.5,280.4,99.1,58.7,
2020/2021,Illawarra Shoalhaven,0.2,0.2625,0.4625,1.8875,22.125,0.075,0.55,294.3,247.6,72.9,47.4,
2021/2022,Illawarra Shoalhaven,,,,,,,,264.7,246.5,69.7,52.7,
2022/2023,Illawarra Shoalhaven,,,,,,,,268.9,269.5,,,
2023/2024,Illawarra Shoalhaven,0.15,0.3,0.6,1.625,21.3,0.1,,,,,,
2000/2001,Mid North Coast,,0.1266666666666666,0.2883333333333333,1.569491525423729,,0.045,,,,,,
2001/2002,Mid North Coast,,0.1266666666666666,0.2883333333333333,1.569491525423729,,0.045,,,,179.7,199.1,
2002/2003,Mid North Coast,,0.1266666666666666,0.2883333333333333,1.569491525423729,,0.045,,,,175.8,179.0,
2003/2004,Mid North Coast,,0.1266666666666666,0.2883333333333334,1.569491525423729,,0.045,,,,183.1,144.1,14.65
2004/2005,Mid North Coast,,0.1266666666666666,0.2883333333333334,1.569491525423729,,0.045,,,,201.6,163.4,13.8
2005/2006,Mid North Coast,,0.1266666666666666,0.2883333333333333,1.569491525423729,,0.045,,,,178.6,123.2,12.35
2006/2007,Mid North Coast,,0.1266666666666666,0.2883333333333333,1.569491525423729,,0.045,,,,180.9,168.5,11.3
2007/2008,Mid North Coast,,0.1266666666666666,0.2883333333333333,1.569491525423729,,0.045,,,,178.8,142.3,12.05
2008/2009,Mid North Coast,,,,,,,,,,147.0,129.6,12.1
2009/2010,Mid North Coast,,0.1266666666666666,0.2883333333333333,1.569491525423729,,0.045,,,,129.0,145.5,10.35
