financial year,lhd,CO ppm,NO pphm,NO2 pphm,OZONE pphm,PM10 µg/m³,SO2 pphm,asthma edp [f],asthma edp [m],asthma hospitalisations [f],asthma hospitalisations [m],copd deaths [f],copd deaths [m],copd hospitalisations [f],copd hospitalisations [m],iap deaths [f],iap deaths [m],iap hospitalisations [f],iap hospitalisations [m]
2021/2022,Illawarra Shoalhaven,0.1666666666666666,0.3041666666666667,0.3166666666666667,1.8041666666666665,15.05,0.1,264.7,246.5,65.85,40.625,23.525,31.825,158.6,146.3,5.725,7.95,220.125,289.125
2022/2023,Illawarra Shoalhaven,0.175,0.2958333333333333,0.3666666666666667,1.8625,15.616666666666667,0.1,268.9,269.5,94.1,72.45833333333333,23.85,32.45,195.1,214.63333333333333,6.65,9.4,247.35,319.95000000000005
2023/2024,Illawarra Shoalhaven,0.1083333333333333,0.3999999999999999,0.65,1.820317970042006,20.1125,0.1,382.25,374.15,122.35,104.29166666666666,24.175,33.075,231.6,282.9666666666667,7.575,10.85,274.57500000000005,350.77500000000003
2014/2015,Mid North Coast,0.160322429827429,0.0858748990860514,0.260244219635097,1.8852401280939293,,0.0246826697893564,495.6,478.8,143.15,99.725,24.5,33.7,289.7,303.9,8.5,12.3,342.3,399.9
2015/2016,Mid North Coast,0.1834277166100658,0.1643176107201182,0.3194231401428044,1.9225827853585724,,0.098480652552068,487.5,517.4,102.575,97.475,21.0,35.3,292.0,355.1,6.7,11.5,357.0,451.9
2016/2017,Mid North Coast,0.1677647455864052,0.0989444370654187,0.2796014461096064,2.033003849116106,,0.0385250255417823,462.2,511.6,168.375,123.35,22.5,38.9,264.5,331.8,6.7,9.2,298.2,407.4
2017/2018,Mid North Coast,0.187219372880979,0.1254960123112449,0.246269537326237,1.760193893231193,,0.0391910526931327,422.3,471.1,119.475,142.625,24.4,36.5,289.0,313.1,8.7,8.8,355.7,428.2
2018/2019,Mid North Coast,0.1894617954360125,0.2103510947921267,0.2959799343275268,1.8474322353344956,,0.0730139298729685,477.4,429.7,123.2,115.775,29.0,36.2,268.5,264.9,9.1,8.8,342.1,399.1
2019/2020,Mid North Coast,0.1756551894209868,0.1335319071043306,0.3276153874887897,2.0819214676808726,,0.0371689883121614,493.9,409.8,105.95,101.4,25.9,32.4,272.8,242.3,8.7,6.4,341.3,392.9
2020/2021,Mid North Coast,0.1233801977994214,0.1450229535582019,0.3156710994706241,1.8169527248715365,,0.0,360.6,324.7,69.725,76.675,22.9,27.5,224.3,181.9,5.3,4.2,243.3,292.6
2021/2022,Mid North Coast,0.1155137060942441,0.1256927446456151,0.2545963154728062,1.6208333333333331,,0.003646165139071,384.8,334.9,59.725,79.625,23.9,30.425,190.0,177.7,6.125,5.675,265.8,335.6
2022/2023,Mid North Coast,0.061719529160886,0.1258988884030027,0.2682301629908377,1.5473556145308438,,0.0,447.9,330.1,137.4083333333333,120.66666666666666,24.9,33.35,238.53333333333333,329.9666666666667,6.949999999999999,7.15,288.3,378.6
2023/2024,Mid North Coast,0.0978825470080817,0.0809878452239268,0.2294556611403941,1.768525920992854,,0.0322189690679771,550.3499999999999,474.45,215.09166666666664,161.70833333333331,25.9,36.275000000000006,287.06666666666666,482.23333333333335,7.774999999999999,8.625,310.8,421.6
2014/2015,Murrumbidgee,,0.1755156449784158,0.2864531960601835,1.955223617786847,20.71732413475906,0.05,652.8,618.8,237.75,144.65,26.9,39.2,413.6,420.6,8.6,10.1,403.3,562.2
2015/2016,Murrumbidgee,,0.1427098772566428,0.3019908728885088,1.899084235109396,25.8291727857399,0.0833333333333333,668.1,651.0,190.925,124.075,31.4,36.2,363.9,429.9,7.4,13.4,436.5,577.6
2016/2017,Murrumbidgee,,0.1709114680386465,0.3372117782887467,1.9337913420849813,24.077346601145184,0.05,749.9,729.6,255.575,165.725,28.2,31.9,394.9,431.0,7.9,16.7,470.3,536.3
2017/2018,Murrumbidgee,,0.1651385131942303,0.3291483586715486,1.9480366224284869,30.798971016956504,0.075,653.7,557.8,227.975,144.975,23.0,35.8,382.3,431.7,8.7,11.8,498.7,590.3
2018/2019,Murrumbidgee,,0.1954849411438435,0.3261162583960215,1.8871400378624963,29.250466997705697,0.0833333333333333,670.5,501.0,206.6,127.675,27.9,38.2,381.3,432.1,9.2,8.2,487.7,574.7
2019/2020,Murrumbidgee,,0.2347562436357426,0.3650281890364819,2.0930520936336983,27.416068004470848,0.0416666666666666,640.3,478.0,185.525,96.55,29.0,34.7,351.7,395.6,8.0,6.3,479.1,509.6
2020/2021,Murrumbidgee,,0.2012747038493113,0.3289700579383269,1.8017202410954087,29.48837935354505,0.0166666666666666,607.9,458.9,135.75,82.475,24.8,34.3,260.4,297.5,5.8,5.2,262.2,377.6
2021/2022,Murrumbidgee,,0.1539352629785041,0.2672191659642898,1.8040229833581984,23.696669131469434,0.0333333333333333,582.8,463.2,210.5,102.975,25.7,34.525,252.3,241.4,6.775,6.8,262.625,385.75
2022/2023,Murrumbidgee,,0.1597433229462373,0.3083892209008635,1.8332641555066589,26.71661070175092,0.0416666666666666,761.7,651.8,186.75,103.24166666666666,26.6,34.75,233.7,287.4666666666667,7.75,8.4,263.04999999999995,393.9
2023/2024,Murrumbidgee,,0.1848186306015773,0.3845924002889538,1.9283204066363,27.808182012438504,0.075,604.35,515.45,163.0,103.50833333333334,27.5,34.975,215.1,333.53333333333336,8.725,10.0,263.475,402.05
2014/2015,Nepean Blue Mountains,0.0853682582377817,0.2103916072702753,0.4406109849496617,1.994593226981648,15.152996380812162,0.0284457444723713,447.0,379.1,166.60000000000002,110.6,28.4,35.2,241.1,289.6,9.7,11.6,320.3,392.5
2015/2016,Nepean Blue Mountains,0.0728873519243367,0.2140042936484933,0.4349175691157685,1.979575933965467,16.133333333333333,0.0167664001928687,400.1,347.5,145.2,102.95,27.7,39.4,237.6,285.6,13.2,14.0,326.5,391.9
2016/2017,Nepean Blue Mountains,0.0997693253375548,0.2316615018557659,0.4255464193598635,1.9514180748065408,16.008651574551315,0.0547715276095746,439.7,365.9,154.85,98.575,27.1,40.6,277.6,301.6,14.9,12.4,301.2,372.5
2017/2018,Nepean Blue Mountains,0.1598515356983828,0.2327791340804701,0.4470386359875205,2.1391882843112726,18.526492217630416,0.0675632393008556,397.1,320.8,160.9,103.425,26.4,33.3,271.7,271.9,11.4,12.9,386.6,479.6
2018/2019,Nepean Blue Mountains,0.1381880935670701,0.2385295088157254,0.4339217030530178,2.081548903056343,19.052546887984583,0.0445706219148173,406.2,332.5,185.05,106.55,24.3,27.1,247.4,224.9,9.4,13.0,370.6,425.4
2019/2020,Nepean Blue Mountains,0.1852437180567943,0.2029567963124263,0.3830820494576292,2.2895362079962918,19.246128151447525,0.0275251842654743,366.3,275.4,133.575,81.25,21.9,25.0,209.6,207.6,8.0,12.0,354.3,376.5
2020/2021,Nepean Blue Mountains,0.1083964985811107,0.1981375322306494,0.3186616023855212,1.86352247409298,14.900147223395976,0.0289072878771342,268.0,235.1,96.95,68.32499999999999,20.1,22.4,141.0,132.4,6.3,9.0,182.8,247.3
2021/2022,Nepean Blue Mountains,0.1065716085032937,0.1706401226372792,0.2798653692046115,1.818205978106841,12.857321331873845,0.0287258335574242,271.6,236.5,97.125,66.775,19.725,24.05,122.5,160.6,6.775,9.1,209.175,279.45
2022/2023,Nepean Blue Mountains,0.0387611159940826,0.1758124967711981,0.3341880331216254,1.872412761927984,12.35479436587378,0.0250353254724638,291.9,260.8,134.64166666666665,97.08333333333331,19.35,25.7,141.66666666666666,199.66666666666663,7.25,9.2,235.55,311.6
2023/2024,Nepean Blue Mountains,0.0643886261010245,0.1902892856498841,0.4303136408563894,2.1003138790557263,15.626919791459905,0.022274508629972,477.55,415.3,172.1583333333333,127.39166666666664,18.975,27.35,160.83333333333334,238.73333333333332,7.725,9.3,261.925,343.75
2014/2015,Northern Sydney,0.1270403878341675,0.3479100158550693,0.7774231101080593,1.7099144868065972,13.958333333333334,0.0284337355665654,221.3,283.0,99.375,77.775,12.3,14.3,120.8,128.0,8.7,9.2,264.6,306.7
2015/2016,Northern Sydney,0.1233191490386182,0.3439138768975918,0.7363403781149399,1.7021443438474335,15.6,0.0461636754621587,211.7,263.9,106.8,81.45,12.6,14.0,116.0,138.7,9.6,8.4,274.3,334.9
