date,sex,lhd,"rate per 100,000 population"
2018-06,Males,South Western Sydney,24.8
2018-07,Males,South Western Sydney,21.2
2018-08,Males,South Western Sydney,22.9
2018-09,Males,South Western Sydney,21.7
2018-10,Males,South Western Sydney,23.4
2018-11,Males,South Western Sydney,22.2
2018-12,Males,South Western Sydney,19.4
2019-01,Males,South Western Sydney,18.1
2019-02,Males,South Western Sydney,32.6
2019-03,Males,South Western Sydney,29.2
2019-04,Males,South Western Sydney,30.7
2019-05,Males,South Western Sydney,38.0
2019-06,Males,South Western Sydney,30.2
2019-07,Males,South Western Sydney,21.3
2019-08,Males,South Western Sydney,24.7
2019-09,Males,South Western Sydney,20.0
2019-10,Males,South Western Sydney,18.7
2019-11,Males,South Western Sydney,23.4
2019-12,Males,South Western Sydney,23.8
2020-01,Males,South Western Sydney,16.7
2020-02,Males,South Western Sydney,26.5
2020-03,Males,South Western Sydney,28.0
2020-04,Males,South Western Sydney,7.1
2020-05,Males,South Western Sydney,9.5
2020-06,Males,South Western Sydney,20.1
2020-07,Males,South Western Sydney,14.5
2020-08,Males,South Western Sydney,23.4
2020-09,Males,South Western Sydney,16.7
2020-10,Males,South Western Sydney,11.2
2020-11,Males,South Western Sydney,19.3
2020-12,Males,South Western Sydney,13.8
2021-01,Males,South Western Sydney,8.9
2021-02,Males,South Western Sydney,16.5
2021-03,Males,South Western Sydney,19.0
2021-04,Males,South Western Sydney,23.3
2021-05,Males,South Western Sydney,26.9
2021-06,Males,South Western Sydney,17.5
2021-07,Males,South Western Sydney,10.7
2021-08,Males,South Western Sydney,4.2
2021-09,Males,South Western Sydney,5.3
2021-10,Males,South Western Sydney,7.9
2021-11,Males,South Western Sydney,17.1
2021-12,Males,South Western Sydney,12.0
2022-01,Males,South Western Sydney,7.3
2022-02,Males,South Western Sydney,20.4
2022-03,Males,South Western Sydney,28.8
2022-04,Males,South Western Sydney,28.0
2022-05,Males,South Western Sydney,42.8
2022-06,Males,South Western Sydney,24.8
2022-07,Males,South Western Sydney,16.4
2022-08,Males,South Western Sydney,33.3
2022-09,Males,South Western Sydney,21.1
2022-10,Males,South Western Sydney,20.6
2022-11,Males,South Western Sydney,16.4
2022-12,Males,South Western Sydney,13.7
2023-01,Males,South Western Sydney,14.3
2023-02,Males,South Western Sydney,25.4
2023-03,Males,South Western Sydney,19.5
2023-04,Males,South Western Sydney,20.1
2023-05,Males,South Western Sydney,29.0
2023-06,Males,South Western Sydney,18.4
2014-07,Males,South Eastern Sydney,19.8
2014-08,Males,South Eastern Sydney,21.5
2014-09,Males,South Eastern Sydney,18.3
2014-10,Males,South Eastern Sydney,20.1
2014-11,Males,South Eastern Sydney,21.1
2014-12,Males,South Eastern Sydney,30.8
2015-01,Males,South Eastern Sydney,13.7
2015-02,Males,South Eastern Sydney,30.7
2015-03,Males,South Eastern Sydney,36.8
2015-04,Males,South Eastern Sydney,26.0
2015-05,Males,South Eastern Sydney,37.9
2015-06,Males,South Eastern Sydney,30.8
2015-07,Males,South Eastern Sydney,28.0
2015-08,Males,South Eastern Sydney,24.5
2015-09,Males,South Eastern Sydney,19.5
2015-10,Males,South Eastern Sydney,20.1
2015-11,Males,South Eastern Sydney,26.9
2015-12,Males,South Eastern Sydney,16.9
2016-01,Males,South Eastern Sydney,14.3
2016-02,Males,South Eastern Sydney,26.0
2016-03,Males,South Eastern Sydney,25.5
2016-04,Males,South Eastern Sydney,21.6
2016-05,Males,South Eastern Sydney,27.0
2016-06,Males,South Eastern Sydney,23.6
2016-07,Males,South Eastern Sydney,19.0
2016-08,Males,South Eastern Sydney,23.4
2016-09,Males,South Eastern Sydney,18.8
2016-10,Males,South Eastern Sydney,15.7
2016-11,Males,South Eastern Sydney,19.2
2016-12,Males,South Eastern Sydney,20.4
2017-01,Males,South Eastern Sydney,13.8
2017-02,Males,South Eastern Sydney,31.7
2017-03,Males,South Eastern Sydney,28.3
2017-04,Males,South Eastern Sydney,27.8
2017-05,Males,South Eastern Sydney,31.3
2017-06,Males,South Eastern Sydney,19.1
2017-07,Males,South Eastern Sydney,17.8
2017-08,Males,South Eastern Sydney,17.3
2017-09,Males,South Eastern Sydney,17.6
2017-10,Males,South Eastern Sydney,18.5
2017-11,Males,South Eastern Sydney,16.3
2017-12,Males,South Eastern Sydney,18.3
2018-01,Males,South Eastern Sydney,14.9
2018-02,Males,South Eastern Sydney,24.4
2018-03,Males,South Eastern Sydney,24.3
2018-04,Males,South Eastern Sydney,20.4
2018-05,Males,South Eastern Sydney,23.7
2018-06,Males,South Eastern Sydney,21.3
2018-07,Males,South Eastern Sydney,17.2
2018-08,Males,South Eastern Sydney,16.4
2018-09,Males,South Eastern Sydney,16.0
2018-10,Males,South Eastern Sydney,21.5
2018-11,Males,South Eastern Sydney,22.9
2018-12,Males,South Eastern Sydney,15.4
2019-01,Males,South Eastern Sydney,14.3
2019-02,Males,South Eastern Sydney,25.7
2019-03,Males,South Eastern Sydney,22.0
2019-04,Males,South Eastern Sydney,21.8
2019-05,Males,South Eastern Sydney,24.5
2019-06,Males,South Eastern Sydney,20.3
2019-07,Males,South Eastern Sydney,19.4
2019-08,Males,South Eastern Sydney,23.3
2019-09,Males,South Eastern Sydney,19.1
2019-10,Males,South Eastern Sydney,10.3
2019-11,Males,South Eastern Sydney,21.8
2019-12,Males,South Eastern Sydney,24.7
2020-01,Males,South Eastern Sydney,12.9
2020-02,Males,South Eastern Sydney,18.4
2020-03,Males,South Eastern Sydney,23.4
2020-04,Males,South Eastern Sydney,8.3
2020-05,Males,South Eastern Sydney,7.3
2020-06,Males,South Eastern Sydney,17.2
2020-07,Males,South Eastern Sydney,11.5
2020-08,Males,South Eastern Sydney,14.5
2020-09,Males,South Eastern Sydney,10.9
2020-10,Males,South Eastern Sydney,11.1
2020-11,Males,South Eastern Sydney,16.0
2020-12,Males,South Eastern Sydney,12.9
2021-01,Males,South Eastern Sydney,9.6
2021-02,Males,South Eastern Sydney,14.4
2021-03,Males,South Eastern Sydney,18.9
2021-04,Males,South Eastern Sydney,19.4
2021-05,Males,South Eastern Sydney,19.8
2021-06,Males,South Eastern Sydney,16.4
2021-07,Males,South Eastern Sydney,9.7
2021-08,Males,South Eastern Sydney,7.8
2021-09,Males,South Eastern Sydney,4.2
2021-10,Males,South Eastern Sydney,3.8
2021-11,Males,South Eastern Sydney,8.6
2021-12,Males,South Eastern Sydney,10.8
2022-01,Males,South Eastern Sydney,7.0
2022-02,Males,South Eastern Sydney,10.1
2022-03,Males,South Eastern Sydney,22.8
2022-04,Males,South Eastern Sydney,24.2
2022-05,Males,South Eastern Sydney,31.9
2022-06,Males,South Eastern Sydney,16.5
2022-07,Males,South Eastern Sydney,14.0
2022-08,Males,South Eastern Sydney,20.2
2022-09,Males,South Eastern Sydney,18.6
2022-10,Males,South Eastern Sydney,14.9
2022-11,Males,South Eastern Sydney,15.0
2022-12,Males,South Eastern Sydney,12.9
2023-01,Males,South Eastern Sydney,5.9
2023-02,Males,South Eastern Sydney,21.8
2023-03,Males,South Eastern Sydney,17.8
2023-04,Males,South Eastern Sydney,16.6
2023-05,Males,South Eastern Sydney,19.3
2023-06,Males,South Eastern Sydney,13.8
2014-07,Males,Illawarra Shoalhaven,26.7
2014-08,Males,Illawarra Shoalhaven,37.5
2014-09,Males,Illawarra Shoalhaven,26.3
2014-10,Males,Illawarra Shoalhaven,22.9
2014-11,Males,Illawarra Shoalhaven,26.9
2014-12,Males,Illawarra Shoalhaven,24.2
2015-01,Males,Illawarra Shoalhaven,25.4
2015-02,Males,Illawarra Shoalhaven,45.4
2015-03,Males,Illawarra Shoalhaven,40.0
2015-04,Males,Illawarra Shoalhaven,27.3
2015-05,Males,Illawarra Shoalhaven,39.4
2015-06,Males,Illawarra Shoalhaven,40.7
2015-07,Males,Illawarra Shoalhaven,33.0
2015-08,Males,Illawarra Shoalhaven,34.1
2015-09,Males,Illawarra Shoalhaven,29.9
2015-10,Males,Illawarra Shoalhaven,28.9
