date,sex,lhd,"rate per 100,000 population"
2023-04,Males,Nepean Blue Mountains,30.3
2023-05,Males,Nepean Blue Mountains,25.0
2023-06,Males,Nepean Blue Mountains,27.0
2014-07,Males,Northern Sydney,24.6
2014-08,Males,Northern Sydney,24.0
2014-09,Males,Northern Sydney,18.3
2014-10,Males,Northern Sydney,17.8
2014-11,Males,Northern Sydney,17.6
2014-12,Males,Northern Sydney,22.3
2015-01,Males,Northern Sydney,13.5
2015-02,Males,Northern Sydney,29.5
2015-03,Males,Northern Sydney,33.5
2015-04,Males,Northern Sydney,29.5
2015-05,Males,Northern Sydney,29.5
2015-06,Males,Northern Sydney,21.8
2015-07,Males,Northern Sydney,18.0
2015-08,Males,Northern Sydney,22.3
2015-09,Males,Northern Sydney,16.9
2015-10,Males,Northern Sydney,19.0
2015-11,Males,Northern Sydney,22.9
2015-12,Males,Northern Sydney,19.1
2016-01,Males,Northern Sydney,15.5
2016-02,Males,Northern Sydney,28.9
2016-03,Males,Northern Sydney,28.7
2016-04,Males,Northern Sydney,20.5
2016-05,Males,Northern Sydney,27.4
2016-06,Males,Northern Sydney,23.8
2016-07,Males,Northern Sydney,16.2
2016-08,Males,Northern Sydney,18.6
2016-09,Males,Northern Sydney,23.9
2016-10,Males,Northern Sydney,13.8
2016-11,Males,Northern Sydney,18.4
2016-12,Males,Northern Sydney,18.5
2017-01,Males,Northern Sydney,9.7
2017-02,Males,Northern Sydney,24.1
2017-03,Males,Northern Sydney,24.7
2017-04,Males,Northern Sydney,22.3
2017-05,Males,Northern Sydney,29.7
2017-06,Males,Northern Sydney,22.8
2017-07,Males,Northern Sydney,21.0
2017-08,Males,Northern Sydney,17.5
2017-09,Males,Northern Sydney,13.1
2017-10,Males,Northern Sydney,19.8
2017-11,Males,Northern Sydney,19.8
2017-12,Males,Northern Sydney,14.3
2018-01,Males,Northern Sydney,13.9
2018-02,Males,Northern Sydney,25.1
2018-03,Males,Northern Sydney,23.1
2018-04,Males,Northern Sydney,12.9
2018-05,Males,Northern Sydney,21.5
2018-06,Males,Northern Sydney,15.0
2018-07,Males,Northern Sydney,13.4
2018-08,Males,Northern Sydney,12.1
2018-09,Males,Northern Sydney,15.8
2018-10,Males,Northern Sydney,16.8
2018-11,Males,Northern Sydney,13.3
2018-12,Males,Northern Sydney,17.4
2019-01,Males,Northern Sydney,12.3
2019-02,Males,Northern Sydney,25.3
2019-03,Males,Northern Sydney,23.2
2019-04,Males,Northern Sydney,25.1
2019-05,Males,Northern Sydney,26.5
2019-06,Males,Northern Sydney,22.1
2019-07,Males,Northern Sydney,12.5
2019-08,Males,Northern Sydney,21.2
2019-09,Males,Northern Sydney,15.3
2019-10,Males,Northern Sydney,14.8
2019-11,Males,Northern Sydney,17.5
2019-12,Males,Northern Sydney,20.4
2020-01,Males,Northern Sydney,13.5
2020-02,Males,Northern Sydney,18.9
2020-03,Males,Northern Sydney,20.2
2020-04,Males,Northern Sydney,5.8
2020-05,Males,Northern Sydney,8.0
2020-06,Males,Northern Sydney,15.9
2020-07,Males,Northern Sydney,8.7
2020-08,Males,Northern Sydney,12.9
2020-09,Males,Northern Sydney,6.9
2020-10,Males,Northern Sydney,10.9
2020-11,Males,Northern Sydney,14.6
2020-12,Males,Northern Sydney,11.6
2021-01,Males,Northern Sydney,3.9
2021-02,Males,Northern Sydney,14.8
2021-03,Males,Northern Sydney,12.0
2021-04,Males,Northern Sydney,17.1
2021-05,Males,Northern Sydney,18.8
2021-06,Males,Northern Sydney,14.8
2021-07,Males,Northern Sydney,8.1
2021-08,Males,Northern Sydney,5.5
2021-09,Males,Northern Sydney,2.8
2021-10,Males,Northern Sydney,5.6
2021-11,Males,Northern Sydney,9.1
2021-12,Males,Northern Sydney,4.5
2022-01,Males,Northern Sydney,4.2
2022-02,Males,Northern Sydney,11.0
2022-03,Males,Northern Sydney,15.0
2022-04,Males,Northern Sydney,19.3
2022-05,Males,Northern Sydney,30.3
2022-06,Males,Northern Sydney,14.8
2022-07,Males,Northern Sydney,9.4
2022-08,Males,Northern Sydney,18.4
2022-09,Males,Northern Sydney,15.4
2022-10,Males,Northern Sydney,15.9
2022-11,Males,Northern Sydney,9.5
2022-12,Males,Northern Sydney,10.4
2023-01,Males,Northern Sydney,8.9
2023-02,Males,Northern Sydney,19.2
2023-03,Males,Northern Sydney,17.8
2023-04,Males,Northern Sydney,11.7
2023-05,Males,Northern Sydney,14.8
2023-06,Males,Northern Sydney,12.4
2014-07,Males,Central Coast,21.8
2014-08,Males,Central Coast,32.0
2014-09,Males,Central Coast,19.9
2014-10,Males,Central Coast,19.5
2014-11,Males,Central Coast,21.7
2014-12,Males,Central Coast,33.4
2015-01,Males,Central Coast,21.7
2015-02,Males,Central Coast,33.6
2015-03,Males,Central Coast,34.6
2015-04,Males,Central Coast,29.7
2015-05,Males,Central Coast,43.8
2015-06,Males,Central Coast,41.6
2015-07,Males,Central Coast,27.4
2015-08,Males,Central Coast,37.1
2015-09,Males,Central Coast,25.9
2015-10,Males,Central Coast,29.4
2015-11,Males,Central Coast,28.6
2015-12,Males,Central Coast,32.5
2016-01,Males,Central Coast,14.9
2016-02,Males,Central Coast,26.1
2016-03,Males,Central Coast,20.7
2016-04,Males,Central Coast,32.2
2016-05,Males,Central Coast,40.5
2016-06,Males,Central Coast,34.6
2016-07,Males,Central Coast,29.2
2016-08,Males,Central Coast,27.3
2016-09,Males,Central Coast,33.7
2016-10,Males,Central Coast,23.6
2016-11,Males,Central Coast,21.0
2016-12,Males,Central Coast,19.9
2017-01,Males,Central Coast,14.8
2017-02,Males,Central Coast,34.5
2017-03,Males,Central Coast,32.6
2017-04,Males,Central Coast,33.0
2017-05,Males,Central Coast,38.8
2017-06,Males,Central Coast,31.2
2017-07,Males,Central Coast,28.9
2017-08,Males,Central Coast,29.5
2017-09,Males,Central Coast,19.4
2017-10,Males,Central Coast,24.0
2017-11,Males,Central Coast,36.2
2017-12,Males,Central Coast,25.5
2018-01,Males,Central Coast,16.6
2018-02,Males,Central Coast,32.7
2018-03,Males,Central Coast,21.9
2018-04,Males,Central Coast,34.7
2018-05,Males,Central Coast,38.1
2018-06,Males,Central Coast,36.6
2018-07,Males,Central Coast,28.6
2018-08,Males,Central Coast,24.6
2018-09,Males,Central Coast,25.0
2018-10,Males,Central Coast,16.0
2018-11,Males,Central Coast,22.7
2018-12,Males,Central Coast,28.1
2019-01,Males,Central Coast,24.4
2019-02,Males,Central Coast,44.9
2019-03,Males,Central Coast,31.1
2019-04,Males,Central Coast,27.2
2019-05,Males,Central Coast,37.7
2019-06,Males,Central Coast,38.7
2019-07,Males,Central Coast,30.3
2019-08,Males,Central Coast,17.2
2019-09,Males,Central Coast,20.0
2019-10,Males,Central Coast,22.8
2019-11,Males,Central Coast,25.6
2019-12,Males,Central Coast,36.9
2020-01,Males,Central Coast,18.8
2020-02,Males,Central Coast,35.7
2020-03,Males,Central Coast,49.0
2020-04,Males,Central Coast,8.4
2020-05,Males,Central Coast,15.5
2020-06,Males,Central Coast,39.9
2020-07,Males,Central Coast,22.7
2020-08,Males,Central Coast,23.4
2020-09,Males,Central Coast,20.8
2020-10,Males,Central Coast,19.9
2020-11,Males,Central Coast,29.0
2020-12,Males,Central Coast,12.3
2021-01,Males,Central Coast,12.9
2021-02,Males,Central Coast,24.7
2021-03,Males,Central Coast,31.0
2021-04,Males,Central Coast,28.2
2021-05,Males,Central Coast,31.3
2021-06,Males,Central Coast,30.3
2021-07,Males,Central Coast,23.6
2021-08,Males,Central Coast,7.0
2021-09,Males,Central Coast,7.5
2021-10,Males,Central Coast,11.3
2021-11,Males,Central Coast,14.3
2021-12,Males,Central Coast,10.4
2022-01,Males,Central Coast,6.7
2022-02,Males,Central Coast,15.4
2022-03,Males,Central Coast,26.6
2022-04,Males,Central Coast,40.2
2022-05,Males,Central Coast,57.4
2022-06,Males,Central Coast,30.1
2022-07,Males,Central Coast,22.5
2022-08,Males,Central Coast,37.9
2022-09,Males,Central Coast,35.5
2022-10,Males,Central Coast,26.0
2022-11,Males,Central Coast,18.3
2022-12,Males,Central Coast,18.5
2023-01,Males,Central Coast,13.8
2023-02,Males,Central Coast,31.1
2023-03,Males,Central Coast,29.5
2023-04,Males,Central Coast,20.7
2023-05,Males,Central Coast,31.3
2023-06,Males,Central Coast,23.2
2014-07,Males,Hunter New England,32.3
2014-08,Males,Hunter New England,42.6
2014-09,Males,Hunter New England,26.7
2014-10,Males,Hunter New England,31.2
2014-11,Males,Hunter New England,25.9
2014-12,Males,Hunter New England,29.4
2015-01,Males,Hunter New England,20.9
2015-02,Males,Hunter New England,37.5
2015-03,Males,Hunter New England,40.6
2015-04,Males,Hunter New England,41.3
2015-05,Males,Hunter New England,62.9
2015-06,Males,Hunter New England,53.5
2015-07,Males,Hunter New England,45.3
2015-08,Males,Hunter New England,45.9
2015-09,Males,Hunter New England,31.0
2015-10,Males,Hunter New England,33.9
2015-11,Males,Hunter New England,37.5
2015-12,Males,Hunter New England,38.0
2016-01,Males,Hunter New England,21.2
2016-02,Males,Hunter New England,43.8
2016-03,Males,Hunter New England,36.2
2016-04,Males,Hunter New England,33.5
2016-05,Males,Hunter New England,48.1
2016-06,Males,Hunter New England,44.1
2016-07,Males,Hunter New England,37.5
2016-08,Males,Hunter New England,34.9
2016-09,Males,Hunter New England,38.2
2016-10,Males,Hunter New England,48.5
2016-11,Males,Hunter New England,42.4
2016-12,Males,Hunter New England,28.7
2017-01,Males,Hunter New England,17.7
2017-02,Males,Hunter New England,40.6
2017-03,Males,Hunter New England,43.3
2017-04,Males,Hunter New England,52.1
2017-05,Males,Hunter New England,62.2
2017-06,Males,Hunter New England,49.4
2017-07,Males,Hunter New England,42.6
2017-08,Males,Hunter New England,28.8
2017-09,Males,Hunter New England,33.7
2017-10,Males,Hunter New England,32.3
2017-11,Males,Hunter New England,32.2
2017-12,Males,Hunter New England,31.9
2018-01,Males,Hunter New England,20.4
2018-02,Males,Hunter New England,43.0
2018-03,Males,Hunter New England,41.7
2018-04,Males,Hunter New England,33.7
2018-05,Males,Hunter New England,51.7
2018-06,Males,Hunter New England,44.9
2018-07,Males,Hunter New England,41.0
2018-08,Males,Hunter New England,37.2
2018-09,Males,Hunter New England,30.3
2018-10,Males,Hunter New England,31.2
2018-11,Males,Hunter New England,30.1
2018-12,Males,Hunter New England,30.9
2019-01,Males,Hunter New England,19.7
2019-02,Males,Hunter New England,42.5
2019-03,Males,Hunter New England,34.4
2019-04,Males,Hunter New England,40.0
2019-05,Males,Hunter New England,40.7
2019-06,Males,Hunter New England,45.0
2019-07,Males,Hunter New England,44.6
2019-08,Males,Hunter New England,45.4
2019-09,Males,Hunter New England,29.6
2019-10,Males,Hunter New England,31.3
2019-11,Males,Hunter New England,40.6
2019-12,Males,Hunter New England,36.7
2020-01,Males,Hunter New England,22.6
2020-02,Males,Hunter New England,34.1
2020-03,Males,Hunter New England,37.0
2020-04,Males,Hunter New England,13.2
2020-05,Males,Hunter New England,20.5
2020-06,Males,Hunter New England,52.4
2020-07,Males,Hunter New England,24.9
2020-08,Males,Hunter New England,27.4
2020-09,Males,Hunter New England,24.2
2020-10,Males,Hunter New England,25.3
2020-11,Males,Hunter New England,32.4
2020-12,Males,Hunter New England,31.5
2021-01,Males,Hunter New England,14.4
2021-02,Males,Hunter New England,23.8
2021-03,Males,Hunter New England,37.3
2021-04,Males,Hunter New England,34.7
2021-05,Males,Hunter New England,53.9
2021-06,Males,Hunter New England,36.2
2021-07,Males,Hunter New England,28.7
2021-08,Males,Hunter New England,23.6
2021-09,Males,Hunter New England,11.7
2021-10,Males,Hunter New England,20.1
2021-11,Males,Hunter New England,27.3
2021-12,Males,Hunter New England,23.2
2022-01,Males,Hunter New England,9.3
2022-02,Males,Hunter New England,15.9
2022-03,Males,Hunter New England,45.1
2022-04,Males,Hunter New England,43.1
2022-05,Males,Hunter New England,67.2
2022-06,Males,Hunter New England,53.6
2022-07,Males,Hunter New England,28.4
2022-08,Males,Hunter New England,45.9
2022-09,Males,Hunter New England,44.6
2022-10,Males,Hunter New England,47.3
2022-11,Males,Hunter New England,33.2
2022-12,Males,Hunter New England,17.4
2023-01,Males,Hunter New England,18.7
2023-02,Males,Hunter New England,38.4
2023-03,Males,Hunter New England,29.7
2023-04,Males,Hunter New England,29.5
2023-05,Males,Hunter New England,44.3
2023-06,Males,Hunter New England,39.1
2014-07,Males,Northern NSW,48.9
2014-08,Males,Northern NSW,43.9
2014-09,Males,Northern NSW,51.6
2014-10,Males,Northern NSW,47.5
2014-11,Males,Northern NSW,36.0
2014-12,Males,Northern NSW,34.9
2015-01,Males,Northern NSW,23.5
2015-02,Males,Northern NSW,48.8
2015-03,Males,Northern NSW,49.5
2015-04,Males,Northern NSW,53.2
2015-05,Males,Northern NSW,68.4
2015-06,Males,Northern NSW,64.1
2015-07,Males,Northern NSW,62.3
2015-08,Males,Northern NSW,73.4
2015-09,Males,Northern NSW,63.8
2015-10,Males,Northern NSW,56.6
2015-11,Males,Northern NSW,66.4
2015-12,Males,Northern NSW,44.0
2016-01,Males,Northern NSW,27.6
2016-02,Males,Northern NSW,34.7
2016-03,Males,Northern NSW,42.6
2016-04,Males,Northern NSW,42.8
2016-05,Males,Northern NSW,70.0
2016-06,Males,Northern NSW,65.7
2016-07,Males,Northern NSW,43.8
2016-08,Males,Northern NSW,59.3
2016-09,Males,Northern NSW,44.8
2016-10,Males,Northern NSW,41.3
2016-11,Males,Northern NSW,35.5
2016-12,Males,Northern NSW,42.5
2017-01,Males,Northern NSW,23.3
2017-02,Males,Northern NSW,34.6
2017-03,Males,Northern NSW,38.6
2017-04,Males,Northern NSW,48.0
2017-05,Males,Northern NSW,64.6
2017-06,Males,Northern NSW,67.6
2017-07,Males,Northern NSW,52.2
2017-08,Males,Northern NSW,60.8
2017-09,Males,Northern NSW,43.9
2017-10,Males,Northern NSW,35.9
2017-11,Males,Northern NSW,63.9
2017-12,Males,Northern NSW,36.7
2018-01,Males,Northern NSW,30.1
2018-02,Males,Northern NSW,49.9
2018-03,Males,Northern NSW,52.8
2018-04,Males,Northern NSW,48.3
2018-05,Males,Northern NSW,47.4
2018-06,Males,Northern NSW,57.7
2018-07,Males,Northern NSW,45.4
2018-08,Males,Northern NSW,38.7
2018-09,Males,Northern NSW,39.0
2018-10,Males,Northern NSW,49.2
2018-11,Males,Northern NSW,51.4
2018-12,Males,Northern NSW,41.7
2019-01,Males,Northern NSW,23.3
2019-02,Males,Northern NSW,34.4
2019-03,Males,Northern NSW,35.4
2019-04,Males,Northern NSW,44.9
2019-05,Males,Northern NSW,41.6
2019-06,Males,Northern NSW,51.5
2019-07,Males,Northern NSW,53.1
2019-08,Males,Northern NSW,58.1
2019-09,Males,Northern NSW,44.3
2019-10,Males,Northern NSW,34.1
2019-11,Males,Northern NSW,41.0
2019-12,Males,Northern NSW,32.3
2020-01,Males,Northern NSW,23.7
2020-02,Males,Northern NSW,32.6
2020-03,Males,Northern NSW,51.0
2020-04,Males,Northern NSW,20.2
2020-05,Males,Northern NSW,24.0
2020-06,Males,Northern NSW,46.4
2020-07,Males,Northern NSW,36.9
2020-08,Males,Northern NSW,32.8
2020-09,Males,Northern NSW,29.9
2020-10,Males,Northern NSW,29.0
2020-11,Males,Northern NSW,18.7
2020-12,Males,Northern NSW,30.1
2021-01,Males,Northern NSW,21.7
2021-02,Males,Northern NSW,34.1
2021-03,Males,Northern NSW,27.4
2021-04,Males,Northern NSW,39.9
2021-05,Males,Northern NSW,35.9
2021-06,Males,Northern NSW,39.7
2021-07,Males,Northern NSW,33.7
2021-08,Males,Northern NSW,26.7
2021-09,Males,Northern NSW,24.0
2021-10,Males,Northern NSW,28.7
2021-11,Males,Northern NSW,23.3
2021-12,Males,Northern NSW,27.3
2022-01,Males,Northern NSW,20.7
2022-02,Males,Northern NSW,16.9
2022-03,Males,Northern NSW,26.0
2022-04,Males,Northern NSW,27.8
2022-05,Males,Northern NSW,66.7
2022-06,Males,Northern NSW,69.5
2022-07,Males,Northern NSW,39.7
2022-08,Males,Northern NSW,54.2
2022-09,Males,Northern NSW,42.7
2022-10,Males,Northern NSW,48.8
2022-11,Males,Northern NSW,44.2
2022-12,Males,Northern NSW,21.9
2023-01,Males,Northern NSW,15.5
2023-02,Males,Northern NSW,24.6
2023-03,Males,Northern NSW,26.4
2023-04,Males,Northern NSW,33.2
2023-05,Males,Northern NSW,49.4
2023-06,Males,Northern NSW,50.0
2014-07,Males,Mid North Coast,35.5
2014-08,Males,Mid North Coast,31.6
2014-09,Males,Mid North Coast,30.7
2014-10,Males,Mid North Coast,49.2
2014-11,Males,Mid North Coast,33.1
2014-12,Males,Mid North Coast,39.0
2015-01,Males,Mid North Coast,23.9
2015-02,Males,Mid North Coast,51.3
2015-03,Males,Mid North Coast,47.3
2015-04,Males,Mid North Coast,27.6
2015-05,Males,Mid North Coast,44.1
2015-06,Males,Mid North Coast,65.8
2015-07,Males,Mid North Coast,45.2
2015-08,Males,Mid North Coast,55.4
2015-09,Males,Mid North Coast,51.8
2015-10,Males,Mid North Coast,45.0
2015-11,Males,Mid North Coast,39.1
2015-12,Males,Mid North Coast,55.2
2016-01,Males,Mid North Coast,38.9
2016-02,Males,Mid North Coast,29.4
2016-03,Males,Mid North Coast,33.3
2016-04,Males,Mid North Coast,27.2
2016-05,Males,Mid North Coast,54.8
2016-06,Males,Mid North Coast,42.2
2016-07,Males,Mid North Coast,31.2
2016-08,Males,Mid North Coast,46.5
2016-09,Males,Mid North Coast,41.7
2016-10,Males,Mid North Coast,46.2
2016-11,Males,Mid North Coast,25.5
2016-12,Males,Mid North Coast,25.0
2017-01,Males,Mid North Coast,20.0
2017-02,Males,Mid North Coast,41.5
2017-03,Males,Mid North Coast,40.5
2017-04,Males,Mid North Coast,47.7
2017-05,Males,Mid North Coast,72.7
2017-06,Males,Mid North Coast,71.5
2017-07,Males,Mid North Coast,35.2
2017-08,Males,Mid North Coast,46.5
2017-09,Males,Mid North Coast,27.9
2017-10,Males,Mid North Coast,29.0
2017-11,Males,Mid North Coast,25.2
2017-12,Males,Mid North Coast,37.2
2018-01,Males,Mid North Coast,29.8
2018-02,Males,Mid North Coast,44.0
2018-03,Males,Mid North Coast,54.3
2018-04,Males,Mid North Coast,47.7
2018-05,Males,Mid North Coast,51.9
2018-06,Males,Mid North Coast,41.4
2018-07,Males,Mid North Coast,30.0
2018-08,Males,Mid North Coast,38.8
2018-09,Males,Mid North Coast,33.8
2018-10,Males,Mid North Coast,40.9
2018-11,Males,Mid North Coast,30.1
2018-12,Males,Mid North Coast,20.9
2019-01,Males,Mid North Coast,24.3
2019-02,Males,Mid North Coast,34.9
2019-03,Males,Mid North Coast,45.2
2019-04,Males,Mid North Coast,34.6
2019-05,Males,Mid North Coast,46.1
2019-06,Males,Mid North Coast,49.8
2019-07,Males,Mid North Coast,24.6
2019-08,Males,Mid North Coast,43.5
2019-09,Males,Mid North Coast,39.4
2019-10,Males,Mid North Coast,34.7
2019-11,Males,Mid North Coast,89.2
2019-12,Males,Mid North Coast,26.8
2020-01,Males,Mid North Coast,26.3
2020-02,Males,Mid North Coast,28.3
2020-03,Males,Mid North Coast,37.2
2020-04,Males,Mid North Coast,12.2
2020-05,Males,Mid North Coast,12.4
2020-06,Males,Mid North Coast,35.3
2020-07,Males,Mid North Coast,35.0
2020-08,Males,Mid North Coast,34.1
2020-09,Males,Mid North Coast,13.4
2020-10,Males,Mid North Coast,23.6
2020-11,Males,Mid North Coast,24.0
2020-12,Males,Mid North Coast,23.2
2021-01,Males,Mid North Coast,9.5
2021-02,Males,Mid North Coast,14.0
2021-03,Males,Mid North Coast,24.7
2021-04,Males,Mid North Coast,34.0
2021-05,Males,Mid North Coast,53.3
2021-06,Males,Mid North Coast,36.4
2021-07,Males,Mid North Coast,30.9
2021-08,Males,Mid North Coast,24.8
2021-09,Males,Mid North Coast,10.3
2021-10,Males,Mid North Coast,18.8
2021-11,Males,Mid North Coast,21.1
2021-12,Males,Mid North Coast,19.6
2022-01,Males,Mid North Coast,21.0
2022-02,Males,Mid North Coast,13.4
2022-03,Males,Mid North Coast,25.7
2022-04,Males,Mid North Coast,22.3
2022-05,Males,Mid North Coast,65.2
2022-06,Males,Mid North Coast,62.1
2022-07,Males,Mid North Coast,32.8
2022-08,Males,Mid North Coast,34.7
2022-09,Males,Mid North Coast,39.7
2022-10,Males,Mid North Coast,38.5
2022-11,Males,Mid North Coast,21.7
2022-12,Males,Mid North Coast,21.4
2023-01,Males,Mid North Coast,18.6
2023-02,Males,Mid North Coast,24.7
2023-03,Males,Mid North Coast,18.6
2023-04,Males,Mid North Coast,23.9
2023-05,Males,Mid North Coast,29.7
2023-06,Males,Mid North Coast,25.6
2014-07,Males,Southern NSW,26.1
2014-08,Males,Southern NSW,36.6
2014-09,Males,Southern NSW,31.8
2014-10,Males,Southern NSW,29.5
2014-11,Males,Southern NSW,46.0
2014-12,Males,Southern NSW,28.6
2015-01,Males,Southern NSW,24.8
2015-02,Males,Southern NSW,18.5
2015-03,Males,Southern NSW,42.9
2015-04,Males,Southern NSW,27.1
2015-05,Males,Southern NSW,47.7
2015-06,Males,Southern NSW,43.5
2015-07,Males,Southern NSW,17.6
2015-08,Males,Southern NSW,51.7
2015-09,Males,Southern NSW,30.5
2015-10,Males,Southern NSW,22.8
2015-11,Males,Southern NSW,37.4
2015-12,Males,Southern NSW,41.6
2016-01,Males,Southern NSW,21.3
2016-02,Males,Southern NSW,40.1
2016-03,Males,Southern NSW,35.2
2016-04,Males,Southern NSW,26.6
2016-05,Males,Southern NSW,52.7
2016-06,Males,Southern NSW,36.8
2016-07,Males,Southern NSW,31.2
2016-08,Males,Southern NSW,34.2
2016-09,Males,Southern NSW,32.4
2016-10,Males,Southern NSW,25.2
2016-11,Males,Southern NSW,42.6
2016-12,Males,Southern NSW,48.1
2017-01,Males,Southern NSW,30.9
2017-02,Males,Southern NSW,43.9
2017-03,Males,Southern NSW,36.0
2017-04,Males,Southern NSW,43.1
2017-05,Males,Southern NSW,49.4
2017-06,Males,Southern NSW,36.1
2017-07,Males,Southern NSW,36.8
2017-08,Males,Southern NSW,28.4
2017-09,Males,Southern NSW,21.9
2017-10,Males,Southern NSW,31.4
2017-11,Males,Southern NSW,39.3
2017-12,Males,Southern NSW,32.3
2018-01,Males,Southern NSW,19.3
2018-02,Males,Southern NSW,46.8
2018-03,Males,Southern NSW,45.6
2018-04,Males,Southern NSW,34.6
2018-05,Males,Southern NSW,40.1
2018-06,Males,Southern NSW,47.2
2018-07,Males,Southern NSW,46.2
2018-08,Males,Southern NSW,28.2
2018-09,Males,Southern NSW,27.3
2018-10,Males,Southern NSW,31.1
2018-11,Males,Southern NSW,39.6
2018-12,Males,Southern NSW,29.0
2019-01,Males,Southern NSW,30.0
2019-02,Males,Southern NSW,33.0
2019-03,Males,Southern NSW,32.8
2019-04,Males,Southern NSW,38.8
2019-05,Males,Southern NSW,44.5
2019-06,Males,Southern NSW,46.4
2019-07,Males,Southern NSW,46.5
2019-08,Males,Southern NSW,26.5
2019-09,Males,Southern NSW,32.8
2019-10,Males,Southern NSW,27.4
2019-11,Males,Southern NSW,42.9
2019-12,Males,Southern NSW,36.6
2020-01,Males,Southern NSW,36.3
2020-02,Males,Southern NSW,27.0
2020-03,Males,Southern NSW,41.1
2020-04,Males,Southern NSW,13.1
2020-05,Males,Southern NSW,13.0
2020-06,Males,Southern NSW,26.7
2020-07,Males,Southern NSW,20.1
2020-08,Males,Southern NSW,19.1
2020-09,Males,Southern NSW,15.4
2020-10,Males,Southern NSW,33.9
2020-11,Males,Southern NSW,35.5
2020-12,Males,Southern NSW,22.4
2021-01,Males,Southern NSW,15.4
2021-02,Males,Southern NSW,18.4
2021-03,Males,Southern NSW,45.7
2021-04,Males,Southern NSW,28.9
2021-05,Males,Southern NSW,38.9
2021-06,Males,Southern NSW,37.6
2021-07,Males,Southern NSW,24.9
2021-08,Males,Southern NSW,25.9
2021-09,Males,Southern NSW,5.0
2021-10,Males,Southern NSW,14.3
2021-11,Males,Southern NSW,26.0
2021-12,Males,Southern NSW,34.3
2022-01,Males,Southern NSW,11.8
2022-02,Males,Southern NSW,20.4
2022-03,Males,Southern NSW,30.3
2022-04,Males,Southern NSW,23.0
2022-05,Males,Southern NSW,42.5
2022-06,Males,Southern NSW,53.5
2022-07,Males,Southern NSW,32.6
2022-08,Males,Southern NSW,34.8
2022-09,Males,Southern NSW,37.6
2022-10,Males,Southern NSW,39.7
2022-11,Males,Southern NSW,49.0
2022-12,Males,Southern NSW,37.1
2023-01,Males,Southern NSW,16.6
2023-02,Males,Southern NSW,34.0
2023-03,Males,Southern NSW,27.1
2023-04,Males,Southern NSW,33.9
2023-05,Males,Southern NSW,35.5
2023-06,Males,Southern NSW,40.7
2014-07,Males,Murrumbidgee,51.4
2014-08,Males,Murrumbidgee,59.3
2014-09,Males,Murrumbidgee,57.2
2014-10,Males,Murrumbidgee,63.8
2014-11,Males,Murrumbidgee,49.1
2014-12,Males,Murrumbidgee,44.0
2015-01,Males,Murrumbidgee,25.9
2015-02,Males,Murrumbidgee,41.5
2015-03,Males,Murrumbidgee,57.4
2015-04,Males,Murrumbidgee,45.9
2015-05,Males,Murrumbidgee,62.3
2015-06,Males,Murrumbidgee,61.1
2015-07,Males,Murrumbidgee,61.2
2015-08,Males,Murrumbidgee,56.3
2015-09,Males,Murrumbidgee,55.1
2015-10,Males,Murrumbidgee,89.3
2015-11,Males,Murrumbidgee,66.0
2015-12,Males,Murrumbidgee,28.8
2016-01,Males,Murrumbidgee,29.8
2016-02,Males,Murrumbidgee,53.6
2016-03,Males,Murrumbidgee,58.8
2016-04,Males,Murrumbidgee,49.8
2016-05,Males,Murrumbidgee,64.1
2016-06,Males,Murrumbidgee,37.6
2016-07,Males,Murrumbidgee,51.7
2016-08,Males,Murrumbidgee,64.5
2016-09,Males,Murrumbidgee,62.9
2016-10,Males,Murrumbidgee,105.1
2016-11,Males,Murrumbidgee,93.8
2016-12,Males,Murrumbidgee,60.3
2017-01,Males,Murrumbidgee,37.8
2017-02,Males,Murrumbidgee,32.9
2017-03,Males,Murrumbidgee,48.2
2017-04,Males,Murrumbidgee,47.6
2017-05,Males,Murrumbidgee,75.4
2017-06,Males,Murrumbidgee,48.7
2017-07,Males,Murrumbidgee,47.7
2017-08,Males,Murrumbidgee,56.7
2017-09,Males,Murrumbidgee,51.3
2017-10,Males,Murrumbidgee,71.7
2017-11,Males,Murrumbidgee,72.4
2017-12,Males,Murrumbidgee,35.7
2018-01,Males,Murrumbidgee,26.5
2018-02,Males,Murrumbidgee,42.0
2018-03,Males,Murrumbidgee,33.6
2018-04,Males,Murrumbidgee,32.6
2018-05,Males,Murrumbidgee,41.1
2018-06,Males,Murrumbidgee,46.5
2018-07,Males,Murrumbidgee,45.8
2018-08,Males,Murrumbidgee,38.9
2018-09,Males,Murrumbidgee,49.4
2018-10,Males,Murrumbidgee,42.2
2018-11,Males,Murrumbidgee,48.2
2018-12,Males,Murrumbidgee,38.1
2019-01,Males,Murrumbidgee,20.2
2019-02,Males,Murrumbidgee,43.6
2019-03,Males,Murrumbidgee,36.6
2019-04,Males,Murrumbidgee,42.6
2019-05,Males,Murrumbidgee,45.9
2019-06,Males,Murrumbidgee,49.4
2019-07,Males,Murrumbidgee,49.4
2019-08,Males,Murrumbidgee,51.4
2019-09,Males,Murrumbidgee,50.2
2019-10,Males,Murrumbidgee,61.1
2019-11,Males,Murrumbidgee,52.4
2019-12,Males,Murrumbidgee,38.0
2020-01,Males,Murrumbidgee,43.5
2020-02,Males,Murrumbidgee,28.2
2020-03,Males,Murrumbidgee,38.6
2020-04,Males,Murrumbidgee,16.4
