date,lhd,CO ppm,NO pphm,NO2 pphm,OZONE pphm,PM10 µg/m³,SO2 pphm
2000-03,Hunter New England,0.4,0.6842288288288289,0.7960792792792792,1.5058333333333334,18.327849056603775,0.17931032795228835
2000-09,Hunter New England,0.3,0.8242288288288288,0.9560792792792793,2.0,20.132153085907802,0.15931032795228836
2000-10,Hunter New England,0.2,0.6242288288288288,0.8560792792792793,2.0058333333333334,18.9071530859078,0.11931032795228835
2000-11,Hunter New England,0.2,0.5642288288288289,0.6760792792792792,1.8666666666666665,15.967,0.13931032795228834
2000-12,Hunter New England,0.2,0.5042288288288288,0.6960792792792793,2.1333333333333333,18.967,0.13931032795228834
2001-01,Hunter New England,0.2,0.5042288288288288,0.6160792792792793,1.8666666666666665,20.067,0.14894800911170863
2001-02,Hunter New England,0.2,0.5442288288288288,0.6360792792792793,1.8,18.192,0.14894800911170863
2001-03,Hunter New England,0.2,0.6787612029295482,0.7638490634519411,1.4666666666666668,17.517,0.14894800911170863
2001-04,Hunter New England,0.3,1.0242288288288288,0.9960792792792793,1.4000000000000001,18.042,0.17931032795228835
2001-08,Hunter New England,0.3,1.0442288288288288,0.9560792792792793,1.8,18.067,0.14646361262382118
2001-09,Hunter New England,0.3,0.8408588654588656,0.8825994257994259,1.8999999999999997,18.088024734982334,0.1264636126238212
2001-10,Hunter New England,0.2,0.6242288288288288,0.8960792792792793,2.0607142857142855,18.367328764286363,0.13931032795228834
2001-11,Hunter New England,0.2,0.6242288288288289,0.7760792792792792,1.7504025351147654,19.267,0.15931032795228836
2002-01,Hunter New England,0.2,0.5987612029295482,0.7038490634519412,1.8,22.967,0.13931032795228834
2002-02,Hunter New England,0.2,0.6187612029295482,0.6838490634519412,1.5940476190476192,18.01732876428636,0.14646361262382118
2002-03,Hunter New England,0.2,0.7787612029295483,0.7638490634519411,1.6273809523809524,18.942328764286362,0.14646361262382118
2002-04,Hunter New England,0.3,1.0042288288288288,0.8760792792792793,1.456354916067146,17.392,0.15931032795228836
2002-09,Hunter New England,0.3,0.7842288288288288,0.9560792792792793,2.033333333333333,21.042,0.17931032795228835
2003-05,Hunter New England,0.3,1.0642288288288289,0.8560792792792793,1.4333333333333333,16.417,0.17931032795228835
2003-08,Hunter New England,0.3,1.124228828828829,1.0160792792792794,1.5333333333333332,18.617,0.19931032795228837
2003-09,Hunter New England,0.21999999999999997,0.7042288288288289,0.8760792792792793,2.1666666666666665,22.692,0.17931032795228835
2003-10,Hunter New England,0.2,0.5642288288288289,0.7560792792792792,2.1,18.277849056603774,0.15931032795228836
2003-11,Hunter New England,0.2,0.6042288288288289,0.7360792792792792,1.9333333333333333,17.892,0.15931032795228836
2003-12,Hunter New England,0.2,0.48422882882882884,0.6560792792792792,2.1333333333333333,19.317,0.15931032795228836
2004-01,Hunter New England,0.3,0.48422882882882884,0.6760792792792792,2.1999999999999997,20.542,0.14646361262382118
2004-02,Hunter New England,0.2,0.5642288288288289,0.6960792792792793,1.894047619047619,22.767,0.15931032795228836
2004-03,Hunter New England,0.2,0.7042288288288289,0.7560792792792792,1.8333333333333333,20.817,0.13931032795228834
2004-04,Hunter New England,0.3,0.9042288288288288,0.8760792792792793,1.5666666666666667,21.592,0.17931032795228835
2004-05,Hunter New England,0.4,1.5842288288288287,1.0760792792792793,1.2666666666666666,22.617,0.19931032795228837
2004-08,Hunter New England,0.2,0.8058778768657096,0.8114967642024677,1.7,17.827849056603775,0.19931032795228837
2004-09,Hunter New England,0.2,0.7892478402356728,0.8649766176823211,1.7230215827338131,20.213024734982334,0.16894800911170865
2004-10,Hunter New England,0.2,0.5242288288288288,0.7960792792792792,1.917069201781432,20.34630402930403,0.15931032795228836
2004-11,Hunter New England,0.1,0.6292478402356729,0.744976617682321,1.9725000000000001,19.456873791586105,0.13931032795228834
2004-12,Hunter New England,0.1,0.549247840235673,0.6649766176823211,1.7563549160671463,20.781873791586104,0.14894800911170863
2005-01,Hunter New England,0.1,0.5042288288288288,0.6160792792792793,1.8,20.18584905660377,0.13931032795228834
2005-02,Hunter New England,0.2,0.5642288288288289,0.7160792792792793,2.066666666666667,22.835849056603774,0.15931032795228836
2005-03,Hunter New England,0.1,0.6808588654588654,0.7425994257994258,1.5333333333333332,17.010849056603774,0.17931032795228835
2005-04,Hunter New England,0.1,0.9642288288288288,0.8360792792792793,1.4000000000000001,19.042,0.1325213371266003
2005-08,Hunter New England,0.2,1.2242288288288288,1.0560792792792792,1.5999999999999999,20.075,0.2125213371266003
2005-09,Hunter New England,0.1,0.8442288288288289,0.9560792792792793,1.7563549160671463,16.35,0.17252133712660028
2005-10,Hunter New England,0.1,0.5842288288288289,0.7760792792792792,2.1999999999999997,19.2,0.1325213371266003
2005-11,Hunter New England,0.1,0.5242288288288288,0.6560792792792792,2.0,18.302849056603776,0.1325213371266003
2005-12,Hunter New England,0.1,0.5808588654588654,0.7425994257994258,2.233333333333333,23.127849056603775,0.1525213371266003
2006-01,Hunter New England,0.2,0.48422882882882884,0.5960792792792793,1.7,20.060849056603775,0.0925213371266003
2006-02,Hunter New England,0.2,0.5242288288288288,0.6760792792792792,1.8,20.885849056603774,0.1325213371266003
2006-05,Hunter New England,0.2,1.2642288288288288,1.0160792792792794,1.1666666666666667,19.875,0.1925213371266003
2006-08,Hunter New England,0.21999999999999997,1.0842288288288287,1.0960792792792793,1.5,19.285849056603773,0.2125213371266003
2006-09,Hunter New England,0.2,0.7692478402356728,0.884976617682321,1.866666666666667,20.025,0.17252133712660028
