date,lhd,CO ppm,NO pphm,NO2 pphm,OZONE pphm,PM10 µg/m³,SO2 pphm
2018-02,South Eastern Sydney,0.24285714285714283,2.4462121212121217,1.128030303030303,1.4476923076923078,22.3,0.1042372881355932
2018-03,South Eastern Sydney,0.24285714285714283,2.4962121212121215,1.2280303030303028,1.5476923076923077,24.3,0.1042372881355932
2018-09,South Eastern Sydney,0.24285714285714283,2.5962121212121216,1.378030303030303,1.5976923076923077,18.5,0.1042372881355932
2018-10,South Eastern Sydney,0.24285714285714283,2.3962121212121215,1.2280303030303028,1.6476923076923078,19.6,0.1042372881355932
2018-12,South Eastern Sydney,0.3,2.3,1.1500000000000001,1.5499999999999998,24.4,0.1
2019-02,South Eastern Sydney,0.3,2.7,1.25,1.25,23.6,0.1042372881355932
2020-04,South Eastern Sydney,0.2,2.0,1.35,1.45,18.4,0.1
2020-05,South Eastern Sydney,0.2,2.5500000000000003,1.4,1.2000000000000002,13.4,0.1
2020-09,South Eastern Sydney,0.2,2.15,1.45,1.75,17.1,0.1
2020-11,South Eastern Sydney,0.24285714285714283,2.3962121212121215,1.128030303030303,1.5976923076923077,21.7,0.1042372881355932
2021-01,South Eastern Sydney,0.2,1.9000000000000001,0.9500000000000001,1.45,20.6,0.1
2021-04,South Eastern Sydney,0.3,2.8499999999999996,1.6,1.2,17.8,0.1
2024-03,South Eastern Sydney,0.2,3.0,1.0,1.25,20.3,0.1
2024-04,South Eastern Sydney,0.3,3.0,1.5,1.15,16.5,0.1042372881355932
2000-03,South Western Sydney,0.2530925274984022,0.8190922437186525,0.833164222534202,1.6908274229045344,17.369026794010686,0.057666534336739385
2000-09,South Western Sydney,0.2530925274984022,0.9465459474223562,0.8245068151267947,1.848650849477961,17.59076218919969,0.04099986767007272
2000-10,South Western Sydney,0.23309252749840223,0.7815922437186524,0.8081642225342021,1.9479028946026475,17.14076218919969,0.04099986767007272
2000-11,South Western Sydney,0.23309252749840223,0.7215459474223562,0.8120068151267946,1.8229028946026475,16.29076218919969,0.07433320100340605
2000-12,South Western Sydney,0.2130925274984022,0.6965459474223561,0.7745068151267946,1.9979028946026474,17.66576218919969,0.057666534336739385
2001-01,South Western Sydney,0.23309252749840223,0.6590459474223562,0.7870068151267946,2.0104028946026475,19.26576218919969,0.07433320100340605
2001-02,South Western Sydney,0.23309252749840223,0.7215459474223561,0.7745068151267946,1.8104028946026474,18.06576218919969,0.057666534336739385
2001-03,South Western Sydney,0.23309252749840223,0.7965459474223562,0.7745068151267946,1.6104028946026476,17.44076218919969,0.04099986767007272
2001-04,South Western Sydney,0.2530925274984022,0.9315922437186525,0.883164222534202,1.748650849477961,17.94076218919969,0.057666534336739385
2001-08,South Western Sydney,0.27309252749840224,1.071545947422356,0.7870068151267946,1.9033274229045343,16.56576218919969,0.04099986767007272
2001-09,South Western Sydney,0.23309252749840223,0.9340459474223562,0.8745068151267946,1.8708796877128966,17.39076218919969,0.07433320100340605
2001-10,South Western Sydney,0.2130925274984022,0.7840459474223562,0.7870068151267946,1.9283274229045344,16.49076218919969,0.04099986767007272
2001-11,South Western Sydney,0.2130925274984022,0.7215459474223561,0.7995068151267947,1.9158274229045342,17.84076218919969,0.057666534336739385
2002-01,South Western Sydney,0.2130925274984022,0.6440922437186525,0.720664222534202,1.8783274229045344,22.86576218919969,0.07433320100340605
2002-02,South Western Sydney,0.21202109892697366,0.7690922437186525,0.7456642225342021,1.6658274229045342,16.49076218919969,0.04387976963085704
2002-03,South Western Sydney,0.23309252749840223,0.8590459474223562,0.7995068151267947,1.7283274229045342,17.64076218919969,0.057666534336739385
2002-04,South Western Sydney,0.21202109892697366,0.9678990318379406,0.8197933411008206,1.7111508494779608,16.86576218919969,0.0605464362975237
2002-09,South Western Sydney,0.23309252749840223,1.0465459474223562,0.9245068151267947,1.9033274229045343,20.54076218919969,0.057666534336739385
2003-05,South Western Sydney,0.2530925274984022,1.4136718897363516,0.912589001295264,1.6107692396310096,15.65497159090909,0.04099986767007272
2003-08,South Western Sydney,0.27309252749840224,1.4161255934400552,0.9039315938878566,1.790445813057583,18.920960990202378,0.04099986767007272
2003-09,South Western Sydney,0.23309252749840223,0.8418983207127826,0.8174770484333111,2.015445813057583,22.22997159090909,0.04387976963085704
2003-10,South Western Sydney,0.2130925274984022,0.7465459474223561,0.7870068151267946,1.8604028946026476,17.456751588492974,0.04099986767007272
2003-11,South Western Sydney,0.2130925274984022,0.6911255934400553,0.7914315938878566,1.95837034135947,18.92997159090909,0.04099986767007272
2003-12,South Western Sydney,0.2130925274984022,0.6043983207127825,0.7424770484333111,2.065445813057583,19.62997159090909,0.04387976963085704
2004-04,South Western Sydney,0.22369160583941605,1.0161255934400553,0.9164315938878566,1.7404458130575833,19.80497159090909,0.04099986767007272
2004-05,South Western Sydney,0.303691605839416,1.4911255934400551,0.9414315938878566,1.65837034135947,22.029971590909092,0.04099986767007272
