sex,lhd,date,"rate per 100,000 population"
Males,South Western Sydney,2018-06,24.8
Males,South Western Sydney,2018-07,21.2
Males,South Western Sydney,2018-08,22.9
Males,South Western Sydney,2018-09,21.7
Males,South Western Sydney,2018-10,23.4
Males,South Western Sydney,2018-11,22.2
Males,South Western Sydney,2018-12,19.4
Males,South Western Sydney,2019-01,18.1
Males,South Western Sydney,2019-02,32.6
Males,South Western Sydney,2019-03,29.2
Males,South Western Sydney,2019-04,30.7
Males,South Western Sydney,2019-05,38.0
Males,South Western Sydney,2019-06,30.2
Males,South Western Sydney,2019-07,21.3
Males,South Western Sydney,2019-08,24.7
Males,South Western Sydney,2019-09,20.0
Males,South Western Sydney,2019-10,18.7
Males,South Western Sydney,2019-11,23.4
Males,South Western Sydney,2019-12,23.8
Males,South Western Sydney,2020-01,16.7
Males,South Western Sydney,2020-02,26.5
Males,South Western Sydney,2020-03,28.0
Males,South Western Sydney,2020-04,7.1
Males,South Western Sydney,2020-05,9.5
Males,South Western Sydney,2020-06,20.1
Males,South Western Sydney,2020-07,14.5
Males,South Western Sydney,2020-08,23.4
Males,South Western Sydney,2020-09,16.7
Males,South Western Sydney,2020-10,11.2
Males,South Western Sydney,2020-11,19.3
Males,South Western Sydney,2020-12,13.8
Males,South Western Sydney,2021-01,8.9
Males,South Western Sydney,2021-02,16.5
Males,South Western Sydney,2021-03,19.0
Males,South Western Sydney,2021-04,23.3
Males,South Western Sydney,2021-05,26.9
Males,South Western Sydney,2021-06,17.5
Males,South Western Sydney,2021-07,10.7
Males,South Western Sydney,2021-08,4.2
Males,South Western Sydney,2021-09,5.3
Males,South Western Sydney,2021-10,7.9
Males,South Western Sydney,2021-11,17.1
Males,South Western Sydney,2021-12,12.0
Males,South Western Sydney,2022-01,7.3
Males,South Western Sydney,2022-02,20.4
Males,South Western Sydney,2022-03,28.8
Males,South Western Sydney,2022-04,28.0
Males,South Western Sydney,2022-05,42.8
Males,South Western Sydney,2022-06,24.8
Males,South Western Sydney,2022-07,16.4
Males,South Western Sydney,2022-08,33.3
Males,South Western Sydney,2022-09,21.1
Males,South Western Sydney,2022-10,20.6
Males,South Western Sydney,2022-11,16.4
Males,South Western Sydney,2022-12,13.7
Males,South Western Sydney,2023-01,14.3
Males,South Western Sydney,2023-02,25.4
Males,South Western Sydney,2023-03,19.5
Males,South Western Sydney,2023-04,20.1
Males,South Western Sydney,2023-05,29.0
Males,South Western Sydney,2023-06,18.4
Males,South Eastern Sydney,2014-07,19.8
Males,South Eastern Sydney,2014-08,21.5
Males,South Eastern Sydney,2014-09,18.3
Males,South Eastern Sydney,2014-10,20.1
Males,South Eastern Sydney,2014-11,21.1
Males,South Eastern Sydney,2014-12,30.8
Males,South Eastern Sydney,2015-01,13.7
Males,South Eastern Sydney,2015-02,30.7
Males,South Eastern Sydney,2015-03,36.8
Males,South Eastern Sydney,2015-04,26.0
Males,South Eastern Sydney,2015-05,37.9
Males,South Eastern Sydney,2015-06,30.8
Males,South Eastern Sydney,2015-07,28.0
Males,South Eastern Sydney,2015-08,24.5
Males,South Eastern Sydney,2015-09,19.5
Males,South Eastern Sydney,2015-10,20.1
Males,South Eastern Sydney,2015-11,26.9
Males,South Eastern Sydney,2015-12,16.9
Males,South Eastern Sydney,2016-01,14.3
Males,South Eastern Sydney,2016-02,26.0
Males,South Eastern Sydney,2016-03,25.5
Males,South Eastern Sydney,2016-04,21.6
Males,South Eastern Sydney,2016-05,27.0
Males,South Eastern Sydney,2016-06,23.6
Males,South Eastern Sydney,2016-07,19.0
Males,South Eastern Sydney,2016-08,23.4
Males,South Eastern Sydney,2016-09,18.8
Males,South Eastern Sydney,2016-10,15.7
Males,South Eastern Sydney,2016-11,19.2
Males,South Eastern Sydney,2016-12,20.4
Males,South Eastern Sydney,2017-01,13.8
Males,South Eastern Sydney,2017-02,31.7
Males,South Eastern Sydney,2017-03,28.3
Males,South Eastern Sydney,2017-04,27.8
Males,South Eastern Sydney,2017-05,31.3
Males,South Eastern Sydney,2017-06,19.1
Males,South Eastern Sydney,2017-07,17.8
Males,South Eastern Sydney,2017-08,17.3
Males,South Eastern Sydney,2017-09,17.6
Males,South Eastern Sydney,2017-10,18.5
Males,South Eastern Sydney,2017-11,16.3
Males,South Eastern Sydney,2017-12,18.3
Males,South Eastern Sydney,2018-01,14.9
Males,South Eastern Sydney,2018-02,24.4
Males,South Eastern Sydney,2018-03,24.3
Males,South Eastern Sydney,2018-04,20.4
Males,South Eastern Sydney,2018-05,23.7
Males,South Eastern Sydney,2018-06,21.3
Males,South Eastern Sydney,2018-07,17.2
Males,South Eastern Sydney,2018-08,16.4
Males,South Eastern Sydney,2018-09,16.0
Males,South Eastern Sydney,2018-10,21.5
Males,South Eastern Sydney,2018-11,22.9
Males,South Eastern Sydney,2018-12,15.4
Males,South Eastern Sydney,2019-01,14.3
Males,South Eastern Sydney,2019-02,25.7
Males,South Eastern Sydney,2019-03,22.0
Males,South Eastern Sydney,2019-04,21.8
Males,South Eastern Sydney,2019-05,24.5
Males,South Eastern Sydney,2019-06,20.3
Males,South Eastern Sydney,2019-07,19.4
Males,South Eastern Sydney,2019-08,23.3
Males,South Eastern Sydney,2019-09,19.1
Males,South Eastern Sydney,2019-10,10.3
Males,South Eastern Sydney,2019-11,21.8
Males,South Eastern Sydney,2019-12,24.7
Males,South Eastern Sydney,2020-01,12.9
Males,South Eastern Sydney,2020-02,18.4
Males,South Eastern Sydney,2020-03,23.4
Males,South Eastern Sydney,2020-04,8.3
Males,South Eastern Sydney,2020-05,7.3
Males,South Eastern Sydney,2020-06,17.2
Males,South Eastern Sydney,2020-07,11.5
Males,South Eastern Sydney,2020-08,14.5
Males,South Eastern Sydney,2020-09,10.9
Males,South Eastern Sydney,2020-10,11.1
Males,South Eastern Sydney,2020-11,16.0
Males,South Eastern Sydney,2020-12,12.9
Males,South Eastern Sydney,2021-01,9.6
Males,South Eastern Sydney,2021-02,14.4
Males,South Eastern Sydney,2021-03,18.9
Males,South Eastern Sydney,2021-04,19.4
Males,South Eastern Sydney,2021-05,19.8
