lhd,date,"Female rate per 100,000 population","Male rate per 100,000 population"
South Eastern Sydney,2015-07,26.7,28.0
South Eastern Sydney,2015-08,24.4,24.5
South Eastern Sydney,2015-09,15.8,19.5
South Eastern Sydney,2015-10,17.0,20.1
South Eastern Sydney,2015-11,19.4,26.9
South Eastern Sydney,2015-12,13.0,16.9
South Eastern Sydney,2016-01,16.7,14.3
South Eastern Sydney,2016-02,26.5,26.0
South Eastern Sydney,2016-03,21.8,25.5
South Eastern Sydney,2016-04,21.6,21.6
South Eastern Sydney,2016-05,26.5,27.0
South Eastern Sydney,2016-06,23.2,23.6
South Eastern Sydney,2016-07,16.3,19.0
South Eastern Sydney,2016-08,23.6,23.4
South Eastern Sydney,2016-09,21.8,18.8
South Eastern Sydney,2016-10,15.9,15.7
South Eastern Sydney,2016-11,16.1,19.2
South Eastern Sydney,2016-12,17.4,20.4
South Eastern Sydney,2017-01,13.6,13.8
South Eastern Sydney,2017-02,20.7,31.7
South Eastern Sydney,2017-03,24.0,28.3
South Eastern Sydney,2017-04,22.6,27.8
South Eastern Sydney,2017-05,32.1,31.3
South Eastern Sydney,2017-06,25.3,19.1
South Eastern Sydney,2017-07,23.7,17.8
South Eastern Sydney,2017-08,22.5,17.3
South Eastern Sydney,2017-09,15.8,17.6
South Eastern Sydney,2017-10,16.2,18.5
South Eastern Sydney,2017-11,14.5,16.3
South Eastern Sydney,2017-12,14.2,18.3
South Eastern Sydney,2018-01,11.4,14.9
South Eastern Sydney,2018-02,20.0,24.4
South Eastern Sydney,2018-03,15.2,24.3
South Eastern Sydney,2018-04,20.9,20.4
South Eastern Sydney,2018-05,24.4,23.7
South Eastern Sydney,2018-06,17.5,21.3
South Eastern Sydney,2018-07,24.4,17.2
South Eastern Sydney,2018-08,19.7,16.4
South Eastern Sydney,2018-09,17.4,16.0
South Eastern Sydney,2018-10,15.7,21.5
South Eastern Sydney,2018-11,19.2,22.9
South Eastern Sydney,2018-12,17.8,15.4
South Eastern Sydney,2019-01,12.9,14.3
South Eastern Sydney,2019-02,19.9,25.7
South Eastern Sydney,2019-03,23.0,22.0
South Eastern Sydney,2019-04,22.8,21.8
South Eastern Sydney,2019-05,24.3,24.5
South Eastern Sydney,2019-06,23.7,20.3
South Eastern Sydney,2019-07,21.9,19.4
South Eastern Sydney,2019-08,24.5,23.3
South Eastern Sydney,2019-09,19.2,19.1
South Eastern Sydney,2019-10,14.1,10.3
South Eastern Sydney,2019-11,23.4,21.8
South Eastern Sydney,2019-12,29.7,24.7
South Eastern Sydney,2020-01,17.8,12.9
South Eastern Sydney,2020-02,19.8,18.4
South Eastern Sydney,2020-03,21.5,23.4
South Eastern Sydney,2020-04,9.2,8.3
South Eastern Sydney,2020-05,10.1,7.3
South Eastern Sydney,2020-06,20.0,17.2
South Eastern Sydney,2020-07,12.2,11.5
South Eastern Sydney,2020-08,11.4,14.5
South Eastern Sydney,2020-09,12.2,10.9
South Eastern Sydney,2020-10,11.0,11.1
South Eastern Sydney,2020-11,14.6,16.0
South Eastern Sydney,2020-12,12.1,12.9
South Eastern Sydney,2021-01,8.9,9.6
South Eastern Sydney,2021-02,18.7,14.4
South Eastern Sydney,2021-03,15.5,18.9
South Eastern Sydney,2021-04,17.0,19.4
South Eastern Sydney,2021-05,23.7,19.8
South Eastern Sydney,2021-06,22.2,16.4
South Eastern Sydney,2021-07,10.6,9.7
South Eastern Sydney,2021-08,8.5,7.8
South Eastern Sydney,2021-09,6.6,4.2
South Eastern Sydney,2021-10,8.5,3.8
South Eastern Sydney,2021-11,8.6,8.6
South Eastern Sydney,2021-12,10.5,10.8
South Eastern Sydney,2022-01,9.7,7.0
South Eastern Sydney,2022-02,9.4,10.1
South Eastern Sydney,2022-03,20.4,22.8
South Eastern Sydney,2022-04,26.8,24.2
South Eastern Sydney,2022-05,30.7,31.9
South Eastern Sydney,2022-06,28.8,16.5
South Eastern Sydney,2022-07,16.4,14.0
South Eastern Sydney,2022-08,29.7,20.2
South Eastern Sydney,2022-09,20.7,18.6
South Eastern Sydney,2022-10,17.8,14.9
South Eastern Sydney,2022-11,15.7,15.0
South Eastern Sydney,2022-12,12.8,12.9
South Eastern Sydney,2023-01,11.3,5.9
South Eastern Sydney,2023-02,19.6,21.8
South Eastern Sydney,2023-03,15.9,17.8
South Eastern Sydney,2023-04,22.3,16.6
South Eastern Sydney,2023-05,23.6,19.3
South Eastern Sydney,2023-06,12.5,13.8
South Western Sydney,2014-07,28.1,27.4
South Western Sydney,2014-08,32.2,25.3
South Western Sydney,2014-09,23.7,25.9
South Western Sydney,2014-10,24.0,24.3
South Western Sydney,2014-11,19.9,22.9
South Western Sydney,2014-12,23.8,25.0
South Western Sydney,2015-01,17.6,23.0
South Western Sydney,2015-02,28.6,38.3
South Western Sydney,2015-03,32.6,39.2
South Western Sydney,2015-04,29.4,29.8
South Western Sydney,2015-05,44.9,38.4
South Western Sydney,2015-06,34.9,42.6
South Western Sydney,2015-07,29.7,28.5
South Western Sydney,2015-08,31.3,30.1
South Western Sydney,2015-09,29.7,26.7
South Western Sydney,2015-10,22.5,31.2
South Western Sydney,2015-11,23.4,29.5
South Western Sydney,2015-12,20.8,20.7
South Western Sydney,2016-01,19.2,20.7
South Western Sydney,2016-02,32.1,39.5
South Western Sydney,2016-03,35.9,34.8
South Western Sydney,2016-04,23.4,28.2
South Western Sydney,2016-05,32.0,40.8
South Western Sydney,2016-06,33.0,33.0
South Western Sydney,2016-07,24.5,22.7
South Western Sydney,2016-08,27.8,25.1
South Western Sydney,2016-09,28.6,27.0
South Western Sydney,2016-10,22.4,22.1
South Western Sydney,2016-11,23.3,22.1
South Western Sydney,2016-12,23.8,22.4
South Western Sydney,2017-01,16.5,15.4
South Western Sydney,2017-02,28.3,27.7
South Western Sydney,2017-03,28.1,27.0
South Western Sydney,2017-04,31.8,31.6
South Western Sydney,2017-05,37.5,42.2
South Western Sydney,2017-06,36.9,34.6
South Western Sydney,2017-07,28.2,29.7
South Western Sydney,2017-08,25.0,19.1
South Western Sydney,2017-09,23.6,17.4
South Western Sydney,2017-10,21.2,19.7
South Western Sydney,2017-11,19.4,22.8
South Western Sydney,2017-12,15.2,16.4
South Western Sydney,2018-01,16.5,14.1
South Western Sydney,2018-02,23.3,27.3
South Western Sydney,2018-03,28.5,27.3
South Western Sydney,2018-04,24.3,23.3
South Western Sydney,2018-05,37.2,37.4
South Western Sydney,2018-06,28.5,24.8
South Western Sydney,2018-07,24.5,21.2
South Western Sydney,2018-08,23.0,22.9
South Western Sydney,2018-09,24.0,21.7
South Western Sydney,2018-10,18.9,23.4
South Western Sydney,2018-11,22.2,22.2
South Western Sydney,2018-12,20.7,19.4
South Western Sydney,2019-01,15.3,18.1
South Western Sydney,2019-02,32.9,32.6
South Western Sydney,2019-03,27.1,29.2
South Western Sydney,2019-04,27.7,30.7
South Western Sydney,2019-05,36.3,38.0
South Western Sydney,2019-06,32.3,30.2
South Western Sydney,2019-07,24.8,21.3
South Western Sydney,2019-08,24.8,24.7
South Western Sydney,2019-09,24.8,20.0
South Western Sydney,2019-10,19.2,18.7
South Western Sydney,2019-11,26.6,23.4
South Western Sydney,2019-12,31.1,23.8
South Western Sydney,2020-01,23.1,16.7
South Western Sydney,2020-02,22.3,26.5
South Western Sydney,2020-03,28.3,28.0
South Western Sydney,2020-04,13.6,7.1
South Western Sydney,2020-05,9.3,9.5
South Western Sydney,2020-06,19.7,20.1
South Western Sydney,2020-07,15.8,14.5
South Western Sydney,2020-08,17.8,23.4
South Western Sydney,2020-09,13.6,16.7
South Western Sydney,2020-10,17.3,11.2
South Western Sydney,2020-11,14.1,19.3
South Western Sydney,2020-12,13.6,13.8
South Western Sydney,2021-01,11.3,8.9
South Western Sydney,2021-02,16.7,16.5
South Western Sydney,2021-03,23.0,19.0
South Western Sydney,2021-04,22.0,23.3
South Western Sydney,2021-05,31.0,26.9
South Western Sydney,2021-06,23.8,17.5
South Western Sydney,2021-07,14.8,10.7
South Western Sydney,2021-08,8.8,4.2
South Western Sydney,2021-09,6.8,5.3
South Western Sydney,2021-10,5.9,7.9
South Western Sydney,2021-11,16.0,17.1
South Western Sydney,2021-12,10.8,12.0
South Western Sydney,2022-01,9.6,7.3
South Western Sydney,2022-02,18.6,20.4
South Western Sydney,2022-03,30.6,28.8
South Western Sydney,2022-04,30.1,28.0
South Western Sydney,2022-05,39.5,42.8
South Western Sydney,2022-06,26.9,24.8
South Western Sydney,2022-07,27.1,16.4
South Western Sydney,2022-08,25.0,33.3
South Western Sydney,2022-09,21.2,21.1
South Western Sydney,2022-10,19.6,20.6
South Western Sydney,2022-11,17.2,16.4
South Western Sydney,2022-12,14.1,13.7
South Western Sydney,2023-01,11.7,14.3
South Western Sydney,2023-02,21.0,25.4
South Western Sydney,2023-03,22.0,19.5
South Western Sydney,2023-04,26.5,20.1
South Western Sydney,2023-05,25.5,29.0
South Western Sydney,2023-06,18.9,18.4
Southern NSW,2014-07,36.2,26.1
Southern NSW,2014-08,55.6,36.6
Southern NSW,2014-09,34.6,31.8
Southern NSW,2014-10,29.5,29.5
Southern NSW,2014-11,43.3,46.0
Southern NSW,2014-12,20.1,28.6
Southern NSW,2015-01,12.5,24.8
Southern NSW,2015-02,38.6,18.5
Southern NSW,2015-03,29.7,42.9
Southern NSW,2015-04,39.1,27.1
Southern NSW,2015-05,41.2,47.7
Southern NSW,2015-06,47.7,43.5
Southern NSW,2015-07,42.8,17.6
Southern NSW,2015-08,57.6,51.7
Southern NSW,2015-09,40.0,30.5
Southern NSW,2015-10,34.5,22.8
Southern NSW,2015-11,30.3,37.4
Southern NSW,2015-12,27.9,41.6
Southern NSW,2016-01,26.1,21.3
Southern NSW,2016-02,35.7,40.1
Southern NSW,2016-03,41.1,35.2
Southern NSW,2016-04,40.9,26.6
Southern NSW,2016-05,48.8,52.7
Southern NSW,2016-06,39.2,36.8
Southern NSW,2016-07,47.6,31.2
Southern NSW,2016-08,55.8,34.2
Southern NSW,2016-09,29.8,32.4
Southern NSW,2016-10,23.2,25.2
Southern NSW,2016-11,34.5,42.6
Southern NSW,2016-12,35.6,48.1
Southern NSW,2017-01,34.3,30.9
Southern NSW,2017-02,32.2,43.9
Southern NSW,2017-03,29.7,36.0
Southern NSW,2017-04,47.6,43.1
Southern NSW,2017-05,52.5,49.4
Southern NSW,2017-06,53.2,36.1
Southern NSW,2017-07,42.2,36.8
Southern NSW,2017-08,49.3,28.4
Southern NSW,2017-09,33.5,21.9
Southern NSW,2017-10,35.0,31.4
Southern NSW,2017-11,31.8,39.3
Southern NSW,2017-12,31.7,32.3
Southern NSW,2018-01,28.8,19.3
Southern NSW,2018-02,33.4,46.8
Southern NSW,2018-03,54.2,45.6
Southern NSW,2018-04,33.0,34.6
Southern NSW,2018-05,28.2,40.1
Southern NSW,2018-06,43.0,47.2
Southern NSW,2018-07,54.0,46.2
Southern NSW,2018-08,40.0,28.2
Southern NSW,2018-09,41.7,27.3
Southern NSW,2018-10,32.2,31.1
Southern NSW,2018-11,42.3,39.6
Southern NSW,2018-12,48.8,29.0
Southern NSW,2019-01,31.9,30.0
Southern NSW,2019-02,41.5,33.0
Southern NSW,2019-03,56.2,32.8
Southern NSW,2019-04,56.6,38.8
Southern NSW,2019-05,65.6,44.5
Southern NSW,2019-06,48.8,46.4
Southern NSW,2019-07,52.6,46.5
Southern NSW,2019-08,50.2,26.5
Southern NSW,2019-09,35.5,32.8
Southern NSW,2019-10,38.8,27.4
Southern NSW,2019-11,43.5,42.9
Southern NSW,2019-12,61.0,36.6
Southern NSW,2020-01,76.0,36.3
Southern NSW,2020-02,26.9,27.0
Southern NSW,2020-03,39.0,41.1
Southern NSW,2020-04,10.6,13.1
Southern NSW,2020-05,18.4,13.0
Southern NSW,2020-06,39.3,26.7
Southern NSW,2020-07,18.2,20.1
Southern NSW,2020-08,25.8,19.1
Southern NSW,2020-09,29.7,15.4
Southern NSW,2020-10,41.5,33.9
Southern NSW,2020-11,38.9,35.5
Southern NSW,2020-12,30.7,22.4
Southern NSW,2021-01,19.4,15.4
Southern NSW,2021-02,22.7,18.4
Southern NSW,2021-03,31.3,45.7
Southern NSW,2021-04,35.4,28.9
Southern NSW,2021-05,43.2,38.9
Southern NSW,2021-06,37.9,37.6
Southern NSW,2021-07,41.8,24.9
Southern NSW,2021-08,53.0,25.9
Southern NSW,2021-09,16.7,5.0
Southern NSW,2021-10,20.4,14.3
Southern NSW,2021-11,16.4,26.0
Southern NSW,2021-12,22.4,34.3
Southern NSW,2022-01,18.3,11.8
Southern NSW,2022-02,21.1,20.4
Southern NSW,2022-03,40.9,30.3
Southern NSW,2022-04,37.2,23.0
Southern NSW,2022-05,47.0,42.5
Southern NSW,2022-06,56.8,53.5
Southern NSW,2022-07,37.9,32.6
Southern NSW,2022-08,42.3,34.8
Southern NSW,2022-09,42.4,37.6
Southern NSW,2022-10,65.2,39.7
Southern NSW,2022-11,48.8,49.0
Southern NSW,2022-12,28.6,37.1
Southern NSW,2023-01,18.3,16.6
Southern NSW,2023-02,20.4,34.0
Southern NSW,2023-03,30.3,27.1
Southern NSW,2023-04,36.0,33.9
Southern NSW,2023-05,40.2,35.5
Southern NSW,2023-06,29.7,40.7
Sydney,2014-07,25.9,22.6
Sydney,2014-08,22.0,28.9
Sydney,2014-09,20.5,15.7
Sydney,2014-10,21.1,19.2
Sydney,2014-11,21.7,19.7
Sydney,2014-12,18.0,24.9
Sydney,2015-01,10.9,15.1
Sydney,2015-02,26.4,27.8
Sydney,2015-03,25.6,29.5
Sydney,2015-04,17.6,24.7
Sydney,2015-05,25.2,27.6
Sydney,2015-06,26.7,26.5
Sydney,2015-07,30.5,27.2
Sydney,2015-08,22.1,28.4
Sydney,2015-09,18.3,17.9
Sydney,2015-10,19.6,21.7
Sydney,2015-11,17.2,19.5
Sydney,2015-12,14.3,15.0
Sydney,2016-01,15.0,14.6
Sydney,2016-02,19.3,35.2
Sydney,2016-03,20.1,29.5
Sydney,2016-04,21.9,21.1
Sydney,2016-05,28.3,28.3
Sydney,2016-06,23.3,28.1
Sydney,2016-07,23.6,24.0
Sydney,2016-08,23.6,20.0
Sydney,2016-09,21.2,19.2
Sydney,2016-10,17.6,18.7
Sydney,2016-11,11.4,16.3
Sydney,2016-12,15.2,16.0
Sydney,2017-01,12.2,12.6
Sydney,2017-02,22.0,22.2
Sydney,2017-03,27.3,26.7
Sydney,2017-04,25.3,26.6
Sydney,2017-05,30.8,36.0
Sydney,2017-06,24.5,24.5
Sydney,2017-07,18.9,16.7
Sydney,2017-08,17.0,16.8
Sydney,2017-09,15.7,16.5
Sydney,2017-10,10.6,19.1
Sydney,2017-11,16.3,14.1
Sydney,2017-12,12.1,18.6
Sydney,2018-01,13.1,10.3
Sydney,2018-02,18.7,22.5
Sydney,2018-03,14.3,21.2
Sydney,2018-04,20.2,18.0
Sydney,2018-05,32.0,34.3
Sydney,2018-06,19.5,21.3
Sydney,2018-07,15.1,12.6
Sydney,2018-08,16.0,17.2
Sydney,2018-09,14.1,24.4
Sydney,2018-10,24.7,16.3
Sydney,2018-11,17.1,19.8
Sydney,2018-12,16.6,11.8
Sydney,2019-01,15.5,14.8
Sydney,2019-02,22.0,30.2
Sydney,2019-03,18.1,24.5
Sydney,2019-04,20.5,22.8
Sydney,2019-05,28.2,26.4
Sydney,2019-06,24.8,23.5
Sydney,2019-07,17.2,15.6
Sydney,2019-08,17.2,17.2
Sydney,2019-09,14.6,20.3
Sydney,2019-10,15.0,14.4
Sydney,2019-11,24.5,20.4
Sydney,2019-12,22.3,22.5
Sydney,2020-01,13.3,13.5
Sydney,2020-02,16.4,23.5
Sydney,2020-03,23.7,24.5
Sydney,2020-04,9.5,5.9
Sydney,2020-05,8.1,6.2
Sydney,2020-06,17.6,19.1
Sydney,2020-07,14.9,11.5
Sydney,2020-08,17.0,20.2
Sydney,2020-09,13.3,11.1
Sydney,2020-10,10.9,15.2
Sydney,2020-11,16.5,15.3
Sydney,2020-12,10.0,15.4
Sydney,2021-01,8.0,8.4
Sydney,2021-02,15.7,15.9
Sydney,2021-03,19.5,19.7
Sydney,2021-04,14.4,18.7
Sydney,2021-05,26.0,23.6
Sydney,2021-06,19.2,18.5
Sydney,2021-07,8.9,8.2
Sydney,2021-08,5.9,5.6
Sydney,2021-09,8.3,3.0
Sydney,2021-10,7.2,6.5
Sydney,2021-11,9.7,8.2
Sydney,2021-12,8.8,9.1
Sydney,2022-01,7.0,11.2
Sydney,2022-02,8.1,11.2
Sydney,2022-03,19.2,24.4
Sydney,2022-04,23.1,24.2
Sydney,2022-05,28.9,28.4
Sydney,2022-06,20.9,17.0
Sydney,2022-07,14.6,16.5
Sydney,2022-08,21.3,27.1
Sydney,2022-09,18.9,18.9
Sydney,2022-10,16.5,15.5
Sydney,2022-11,17.2,13.9
Sydney,2022-12,13.6,11.1
Sydney,2023-01,9.6,9.5
Sydney,2023-02,18.1,15.3
Sydney,2023-03,14.9,12.6
Sydney,2023-04,19.4,18.6
Sydney,2023-05,25.1,19.9
Sydney,2023-06,16.9,14.4
Western NSW,2014-07,44.4,28.2
Western NSW,2014-08,44.2,33.3
Western NSW,2014-09,51.9,29.1
Western NSW,2014-10,36.7,36.4
Western NSW,2014-11,32.9,43.4
Western NSW,2014-12,26.7,21.3
Western NSW,2015-01,20.5,18.4
Western NSW,2015-02,31.2,30.8
Western NSW,2015-03,37.1,29.3
Western NSW,2015-04,39.7,22.8
Western NSW,2015-05,47.8,48.6
Western NSW,2015-06,46.0,35.1
Western NSW,2015-07,46.9,44.8
Western NSW,2015-08,60.5,45.1
Western NSW,2015-09,55.4,38.3
Western NSW,2015-10,50.8,66.9
Western NSW,2015-11,39.2,58.2
Western NSW,2015-12,41.2,36.1
Western NSW,2016-01,30.3,28.2
Western NSW,2016-02,54.0,55.5
Western NSW,2016-03,47.4,44.4
Western NSW,2016-04,29.5,45.1
Western NSW,2016-05,50.5,59.9
Western NSW,2016-06,57.9,39.5
Western NSW,2016-07,72.4,40.2
Western NSW,2016-08,81.2,54.1
Western NSW,2016-09,68.8,41.5
Western NSW,2016-10,78.4,88.7
Western NSW,2016-11,64.6,90.3
Western NSW,2016-12,47.3,42.8
Western NSW,2017-01,32.3,25.5
Western NSW,2017-02,41.1,40.0
Western NSW,2017-03,42.3,48.5
Western NSW,2017-04,50.8,43.9
Western NSW,2017-05,79.9,71.5
Western NSW,2017-06,69.4,59.3
Western NSW,2017-07,50.3,51.0
Western NSW,2017-08,74.7,54.8
Western NSW,2017-09,73.0,51.9
Western NSW,2017-10,43.3,40.1
Western NSW,2017-11,44.7,47.9
Western NSW,2017-12,45.3,34.9
Western NSW,2018-01,27.1,17.2
Western NSW,2018-02,40.0,33.0
Western NSW,2018-03,38.1,38.4
Western NSW,2018-04,38.7,37.9
Western NSW,2018-05,50.9,47.3
Western NSW,2018-06,52.9,42.4
Western NSW,2018-07,55.3,41.3
Western NSW,2018-08,58.5,46.0
Western NSW,2018-09,46.1,42.7
Western NSW,2018-10,63.1,37.8
Western NSW,2018-11,61.4,46.4
Western NSW,2018-12,50.4,28.4
Western NSW,2019-01,28.1,22.7
Western NSW,2019-02,42.8,38.0
Western NSW,2019-03,32.7,48.2
Western NSW,2019-04,44.2,38.3
Western NSW,2019-05,66.1,52.8
Western NSW,2019-06,60.6,51.4
Western NSW,2019-07,58.3,51.3
Western NSW,2019-08,69.4,52.0
Western NSW,2019-09,57.3,45.8
Western NSW,2019-10,51.2,25.5
Western NSW,2019-11,55.1,44.3
Western NSW,2019-12,79.6,59.4
Western NSW,2020-01,43.7,22.4
Western NSW,2020-02,37.0,36.4
Western NSW,2020-03,48.7,43.1
Western NSW,2020-04,24.8,14.4
Western NSW,2020-05,24.6,18.2
Western NSW,2020-06,37.9,30.4
Western NSW,2020-07,41.0,26.4
Western NSW,2020-08,35.5,29.3
Western NSW,2020-09,30.6,29.0
Western NSW,2020-10,58.1,60.7
Western NSW,2020-11,59.0,86.5
Western NSW,2020-12,45.1,34.3
Western NSW,2021-01,29.1,20.9
Western NSW,2021-02,37.7,27.3
Western NSW,2021-03,38.9,48.6
Western NSW,2021-04,53.1,42.5
Western NSW,2021-05,81.5,72.8
Western NSW,2021-06,69.9,43.0
Western NSW,2021-07,45.6,35.9
Western NSW,2021-08,56.7,27.3
Western NSW,2021-09,29.0,15.8
Western NSW,2021-10,36.6,41.3
Western NSW,2021-11,66.7,60.0
Western NSW,2021-12,35.2,46.2
Western NSW,2022-01,32.1,19.7
Western NSW,2022-02,31.1,16.9
Western NSW,2022-03,55.4,48.7
Western NSW,2022-04,48.1,47.6
Western NSW,2022-05,83.3,74.9
Western NSW,2022-06,97.7,68.3
Western NSW,2022-07,66.2,47.6
Western NSW,2022-08,58.2,45.9
Western NSW,2022-09,56.7,75.2
Western NSW,2022-10,61.3,71.7
Western NSW,2022-11,58.0,72.0
Western NSW,2022-12,46.6,41.0
Western NSW,2023-01,32.0,23.7
Western NSW,2023-02,41.4,27.1
Western NSW,2023-03,43.3,51.0
Western NSW,2023-04,43.9,32.4
Western NSW,2023-05,57.7,50.0
Western NSW,2023-06,55.6,38.1
Western Sydney,2014-07,35.0,28.9
Western Sydney,2014-08,27.0,29.5
Western Sydney,2014-09,21.4,23.6
Western Sydney,2014-10,21.3,23.1
Western Sydney,2014-11,21.0,21.1
Western Sydney,2014-12,19.7,28.0
Western Sydney,2015-01,17.9,13.2
Western Sydney,2015-02,26.3,28.5
Western Sydney,2015-03,29.2,28.1
Western Sydney,2015-04,25.1,30.4
Western Sydney,2015-05,33.6,35.1
Western Sydney,2015-06,27.6,29.6
Western Sydney,2015-07,30.2,25.8
Western Sydney,2015-08,29.0,30.0
Western Sydney,2015-09,23.4,24.1
Western Sydney,2015-10,21.9,24.3
Western Sydney,2015-11,21.8,22.5
Western Sydney,2015-12,19.5,16.0
Western Sydney,2016-01,17.4,18.5
Western Sydney,2016-02,28.4,36.4
Western Sydney,2016-03,26.0,25.3
Western Sydney,2016-04,26.7,27.6
Western Sydney,2016-05,31.1,34.0
Western Sydney,2016-06,28.4,26.2
Western Sydney,2016-07,23.6,21.8
Western Sydney,2016-08,30.1,30.7
Western Sydney,2016-09,27.8,26.0
Western Sydney,2016-10,18.4,24.3
Western Sydney,2016-11,17.5,20.3
Western Sydney,2016-12,17.7,20.5
Western Sydney,2017-01,16.3,12.3
Western Sydney,2017-02,22.9,30.3
Western Sydney,2017-03,23.9,28.7
Western Sydney,2017-04,28.3,25.4
Western Sydney,2017-05,36.9,33.6
Western Sydney,2017-06,32.8,31.5
Western Sydney,2017-07,29.6,21.6
Western Sydney,2017-08,26.2,22.1
Western Sydney,2017-09,24.5,20.1
Western Sydney,2017-10,18.2,18.4
Western Sydney,2017-11,18.6,25.6
Western Sydney,2017-12,18.8,19.5
Western Sydney,2018-01,17.6,13.3
Western Sydney,2018-02,21.7,27.5
Western Sydney,2018-03,21.0,26.7
Western Sydney,2018-04,22.6,15.9
Western Sydney,2018-05,27.9,29.8
Western Sydney,2018-06,23.2,21.6
Western Sydney,2018-07,23.2,14.7
Western Sydney,2018-08,19.4,17.2
Western Sydney,2018-09,21.4,20.8
Western Sydney,2018-10,18.3,16.0
Western Sydney,2018-11,20.6,16.9
Western Sydney,2018-12,18.0,17.1
Western Sydney,2019-01,19.1,15.5
Western Sydney,2019-02,20.3,26.1
Western Sydney,2019-03,28.1,28.6
Western Sydney,2019-04,23.8,28.4
Western Sydney,2019-05,32.2,30.6
Western Sydney,2019-06,32.9,24.2
Western Sydney,2019-07,22.7,13.9
Western Sydney,2019-08,29.3,20.3
Western Sydney,2019-09,22.5,19.3
Western Sydney,2019-10,21.1,19.0
Western Sydney,2019-11,23.7,19.1
Western Sydney,2019-12,27.2,19.5
Western Sydney,2020-01,16.1,13.1
Western Sydney,2020-02,18.8,22.0
Western Sydney,2020-03,22.0,22.8
Western Sydney,2020-04,11.7,7.9
Western Sydney,2020-05,8.8,5.9
Western Sydney,2020-06,20.2,19.7
Western Sydney,2020-07,14.5,15.7
Western Sydney,2020-08,14.1,18.2
Western Sydney,2020-09,14.8,12.1
Western Sydney,2020-10,10.1,11.3
Western Sydney,2020-11,15.0,18.3
Western Sydney,2020-12,11.5,7.8
Western Sydney,2021-01,7.6,6.7
Western Sydney,2021-02,16.0,18.2
Western Sydney,2021-03,17.0,19.8
Western Sydney,2021-04,17.7,15.3
Western Sydney,2021-05,23.0,26.6
Western Sydney,2021-06,22.8,18.0
Western Sydney,2021-07,10.5,9.3
Western Sydney,2021-08,8.1,6.3
Western Sydney,2021-09,5.2,5.4
Western Sydney,2021-10,8.7,6.5
Western Sydney,2021-11,12.2,11.6
Western Sydney,2021-12,10.4,7.9
Western Sydney,2022-01,10.9,6.7
Western Sydney,2022-02,14.0,14.9
Western Sydney,2022-03,21.7,27.5
Western Sydney,2022-04,31.6,30.5
Western Sydney,2022-05,32.4,39.6
Western Sydney,2022-06,23.1,19.7
Western Sydney,2022-07,17.0,15.7
Western Sydney,2022-08,27.4,20.3
Western Sydney,2022-09,17.7,17.5
Western Sydney,2022-10,19.0,17.3
Western Sydney,2022-11,16.3,18.7
Western Sydney,2022-12,15.1,13.5
Western Sydney,2023-01,11.9,10.7
Western Sydney,2023-02,19.3,23.6
Western Sydney,2023-03,16.2,14.0
Western Sydney,2023-04,22.1,18.0
Western Sydney,2023-05,22.9,21.9
Western Sydney,2023-06,15.3,18.3
