"Influenza and pneumonia hospitalisations by Age (years), Sex and LHD",,,,,,
Age (years),Sex,LHD,Period,"Rate per 100,000 population",LL 95% CI,UL 95% CI
0-4 years,Males,Western Sydney LHD,4-May,600.5,513.1,698.5
0-4 years,Males,Western Sydney LHD,5-Jun,560.8,477,655
0-4 years,Males,Western Sydney LHD,6-Jul,519.9,440.3,609.8
0-4 years,Males,Western Sydney LHD,7-Aug,645,557.5,742.5
0-4 years,Males,Western Sydney LHD,8-Sep,570.1,489.5,660.3
0-4 years,Males,Western Sydney LHD,9-Oct,685.7,598.3,782.3
0-4 years,Males,Western Sydney LHD,10-Nov,573.6,494.7,661.4
0-4 years,Males,Western Sydney LHD,11-Dec,578.6,500.2,665.8
0-4 years,Males,Western Sydney LHD,Dec-13,544.5,469.6,627.9
0-4 years,Males,Western Sydney LHD,13/14,633.2,553.3,721.3
0-4 years,Males,Western Sydney LHD,14/15,520.5,449.1,600
0-4 years,Males,Western Sydney LHD,15/16,616.2,539,701.4
0-4 years,Males,Western Sydney LHD,16/17,517.7,447.8,595.5
0-4 years,Males,Western Sydney LHD,17/18,750,665.9,841.9
0-4 years,Males,Western Sydney LHD,18/19,720.6,638.5,810.3
0-4 years,Males,Western Sydney LHD,19/20,703.7,622.9,792.2
0-4 years,Males,Western Sydney LHD,20/21,421.8,359.3,492
0-4 years,Males,Nepean Blue Mountains LHD,1-Feb,708.3,570.3,869.6
0-4 years,Males,Nepean Blue Mountains LHD,2-Mar,711.8,571.7,876
0-4 years,Males,Nepean Blue Mountains LHD,3-Apr,892.6,733.6,"1,075.90"
0-4 years,Males,Nepean Blue Mountains LHD,4-May,614.1,483,769.7
0-4 years,Males,Nepean Blue Mountains LHD,5-Jun,621,488.4,778.4
0-4 years,Males,Nepean Blue Mountains LHD,6-Jul,844.9,688.9,"1,025.60"
0-4 years,Males,Nepean Blue Mountains LHD,7-Aug,907.5,746.5,"1,092.80"
0-4 years,Males,Nepean Blue Mountains LHD,8-Sep,677.8,540.6,839.1
0-4 years,Males,Nepean Blue Mountains LHD,9-Oct,656.8,522.4,815.3
0-4 years,Males,Nepean Blue Mountains LHD,10-Nov,702.7,562.9,866.8
0-4 years,Males,Nepean Blue Mountains LHD,11-Dec,510.7,392.5,653.5
0-4 years,Males,Nepean Blue Mountains LHD,Dec-13,663.3,528.3,822.3
0-4 years,Males,Nepean Blue Mountains LHD,13/14,718.6,578.5,882.2
0-4 years,Males,Nepean Blue Mountains LHD,14/15,616.7,488.3,768.6
0-4 years,Males,Nepean Blue Mountains LHD,15/16,772.3,629,938.4
0-4 years,Males,Nepean Blue Mountains LHD,16/17,696.9,561.8,854.7
0-4 years,Males,Nepean Blue Mountains LHD,17/18,981.8,819.7,"1,166.50"
0-4 years,Males,Nepean Blue Mountains LHD,18/19,891.2,737.1,"1,068.10"
0-4 years,Males,Nepean Blue Mountains LHD,19/20,677.9,544.4,834.2
0-4 years,Males,Nepean Blue Mountains LHD,20/21,418.8,314.6,546.5
0-4 years,Males,Northern Sydney LHD,1-Feb,599.2,504.7,706.3
0-4 years,Males,Northern Sydney LHD,2-Mar,578.7,486.2,683.8
0-4 years,Males,Northern Sydney LHD,3-Apr,720.5,617.1,836.2
0-4 years,Males,Northern Sydney LHD,4-May,696.1,594.8,809.7
0-4 years,Males,Northern Sydney LHD,5-Jun,518.1,431.6,616.9
0-4 years,Males,Northern Sydney LHD,6-Jul,519.7,433.9,617.5
0-4 years,Males,Northern Sydney LHD,7-Aug,532.1,446.5,629.4
0-4 years,Males,Northern Sydney LHD,8-Sep,573.1,485.3,672.1
0-4 years,Males,Northern Sydney LHD,9-Oct,498.8,418.2,590.4
0-4 years,Males,Northern Sydney LHD,10-Nov,507.3,426.5,599
0-4 years,Males,Northern Sydney LHD,11-Dec,489.3,410.5,578.7
0-4 years,Males,Northern Sydney LHD,Dec-13,401.2,331,482
0-4 years,Males,Northern Sydney LHD,13/14,520.6,440.6,610.8
0-4 years,Males,Northern Sydney LHD,14/15,587.1,502.2,682.3
0-4 years,Males,Northern Sydney LHD,15/16,702.5,609.2,806.1
0-4 years,Males,Northern Sydney LHD,16/17,592.3,506.9,688.1
0-4 years,Males,Northern Sydney LHD,17/18,849.6,745.9,963.7
0-4 years,Males,Northern Sydney LHD,18/19,688.5,594.3,793.3
0-4 years,Males,Northern Sydney LHD,19/20,796.6,693.4,910.7
0-4 years,Males,Northern Sydney LHD,20/21,441.9,364.8,530.4
0-4 years,Males,Central Coast LHD,1-Feb,596.5,454.1,769.5
0-4 years,Males,Central Coast LHD,2-Mar,588.2,445.5,762.1
0-4 years,Males,Central Coast LHD,3-Apr,575.4,433.5,748.9
0-4 years,Males,Central Coast LHD,4-May,547.1,408.6,717.5
0-4 years,Males,Central Coast LHD,5-Jun,512.1,378.9,677.1
0-4 years,Males,Central Coast LHD,6-Jul,307.9,207.8,439.6
0-4 years,Males,Central Coast LHD,7-Aug,511.1,380.6,672
0-4 years,Males,Central Coast LHD,8-Sep,499.3,371.8,656.5
0-4 years,Males,Central Coast LHD,9-Oct,365.5,258.7,501.7
0-4 years,Males,Central Coast LHD,10-Nov,450.2,330.8,598.6
0-4 years,Males,Central Coast LHD,11-Dec,286.9,193.5,409.5
0-4 years,Males,Central Coast LHD,Dec-13,351.4,247.4,484.3
0-4 years,Males,Central Coast LHD,13/14,312.7,215.2,439.1
0-4 years,Males,Central Coast LHD,14/15,537.3,406.9,696.1
0-4 years,Males,Central Coast LHD,15/16,587.4,451.4,751.5
0-4 years,Males,Central Coast LHD,16/17,465.5,345.5,613.7
0-4 years,Males,Central Coast LHD,17/18,664.6,519.1,838.4
0-4 years,Males,Central Coast LHD,18/19,714.6,563,894.4
0-4 years,Males,Central Coast LHD,19/20,682.9,534.4,860.1
0-4 years,Males,Central Coast LHD,20/21,408.1,294.1,551.7
0-4 years,Males,Hunter New England LHD,1-Feb,699,603.4,805.4
0-4 years,Males,Hunter New England LHD,2-Mar,653.7,561.2,757.1
0-4 years,Males,Hunter New England LHD,3-Apr,794.3,691.6,907.8
0-4 years,Males,Hunter New England LHD,4-May,626.5,535.3,728.7
0-4 years,Males,Hunter New England LHD,5-Jun,536.5,452.2,632
0-4 years,Males,Hunter New England LHD,6-Jul,586.5,498.6,685.4
0-4 years,Males,Hunter New England LHD,7-Aug,522,440.2,614.5
0-4 years,Males,Hunter New England LHD,8-Sep,432.2,358.9,516
0-4 years,Males,Hunter New England LHD,9-Oct,410.3,339.6,491.4
0-4 years,Males,Hunter New England LHD,10-Nov,377.5,310,455.4
0-4 years,Males,Hunter New England LHD,11-Dec,390.4,321.7,469.3
0-4 years,Males,Hunter New England LHD,Dec-13,372,305.4,448.7
0-4 years,Males,Hunter New England LHD,13/14,315,254.2,385.9
0-4 years,Males,Hunter New England LHD,14/15,476.5,401.1,562
0-4 years,Males,Hunter New England LHD,15/16,512.7,434.7,600.6
0-4 years,Males,Hunter New England LHD,16/17,408.8,339.5,488.1
0-4 years,Males,Hunter New England LHD,17/18,604.8,519,700.7
0-4 years,Males,Hunter New England LHD,18/19,690.2,597.7,793.1
0-4 years,Males,Hunter New England LHD,19/20,414.8,343.7,496.4
0-4 years,Males,Hunter New England LHD,20/21,356.4,290.3,433
0-4 years,Males,Northern NSW LHD,1-Feb,987.3,784,"1,227.10"
0-4 years,Males,Northern NSW LHD,2-Mar,874.3,682.8,"1,102.80"
0-4 years,Males,Northern NSW LHD,3-Apr,766.8,587.9,983
0-4 years,Males,Northern NSW LHD,4-May,785.6,603.7,"1,005.10"
0-4 years,Males,Northern NSW LHD,5-Jun,730,554.3,943.7
0-4 years,Males,Northern NSW LHD,6-Jul,548.1,398.3,735.9
0-4 years,Males,Northern NSW LHD,7-Aug,800,618.7,"1,017.80"
0-4 years,Males,Northern NSW LHD,8-Sep,730.4,560,936.4
0-4 years,Males,Northern NSW LHD,9-Oct,711.9,545.8,912.7
0-4 years,Males,Northern NSW LHD,10-Nov,627.7,472.9,817
0-4 years,Males,Northern NSW LHD,11-Dec,560.6,414.7,741.2
0-4 years,Males,Northern NSW LHD,Dec-13,342.9,231.4,489.5
0-4 years,Males,Northern NSW LHD,13/14,613.7,459.7,802.7
0-4 years,Males,Northern NSW LHD,14/15,413,287.7,574.4
0-4 years,Males,Northern NSW LHD,15/16,738.6,566.3,946.9
0-4 years,Males,Northern NSW LHD,16/17,589.9,436.4,779.9
0-4 years,Males,Northern NSW LHD,17/18,846.4,658.6,"1,071.20"
0-4 years,Males,Northern NSW LHD,18/19,"1,090.10",874.3,"1,343.00"
0-4 years,Males,Northern NSW LHD,19/20,834.8,648.2,"1,058.30"
0-4 years,Males,Northern NSW LHD,20/21,380.9,258.8,540.7
0-4 years,Males,Mid North Coast LHD,1-Feb,721.6,517.8,978.9
0-4 years,Males,Mid North Coast LHD,2-Mar,"1,195.80",928.6,"1,516.00"
0-4 years,Males,Mid North Coast LHD,3-Apr,"1,716.70","1,393.70","2,092.20"
0-4 years,Males,Mid North Coast LHD,4-May,815.2,596.9,"1,087.40"
0-4 years,Males,Mid North Coast LHD,5-Jun,882.6,652.9,"1,166.80"
0-4 years,Males,Mid North Coast LHD,6-Jul,800.1,583.6,"1,070.70"
0-4 years,Males,Mid North Coast LHD,7-Aug,718.9,518.1,971.7
0-4 years,Males,Mid North Coast LHD,8-Sep,941.1,712.8,"1,219.40"
0-4 years,Males,Mid North Coast LHD,9-Oct,900.3,680.1,"1,169.10"
0-4 years,Males,Mid North Coast LHD,10-Nov,612.8,433.6,841.1
0-4 years,Males,Mid North Coast LHD,11-Dec,467.4,313.1,671.3
0-4 years,Males,Mid North Coast LHD,Dec-13,459.2,307.5,659.5
0-4 years,Males,Mid North Coast LHD,13/14,316.7,193.5,489.2
0-4 years,Males,Mid North Coast LHD,14/15,335.9,207.9,513.5
0-4 years,Males,Mid North Coast LHD,15/16,407.9,263.9,602.1
0-4 years,Males,Mid North Coast LHD,16/17,534.7,365.7,754.8
0-4 years,Males,Mid North Coast LHD,17/18,493.9,330.8,709.3
0-4 years,Males,Mid North Coast LHD,18/19,613.2,429.5,849
0-4 years,Males,Mid North Coast LHD,19/20,550.5,378.9,773.1
0-4 years,Males,Mid North Coast LHD,20/21,315.3,189.8,492.4
0-4 years,Males,Southern NSW LHD,1-Feb,547.8,372.2,777.6
0-4 years,Males,Southern NSW LHD,2-Mar,580.3,399.5,815
0-4 years,Males,Southern NSW LHD,3-Apr,668.9,473.4,918.1
0-4 years,Males,Southern NSW LHD,4-May,706.7,504.8,962.3
0-4 years,Males,Southern NSW LHD,5-Jun,632.9,443.2,876.1
0-4 years,Males,Southern NSW LHD,6-Jul,311,184.3,491.6
0-4 years,Males,Southern NSW LHD,7-Aug,336.9,205.8,520.3
