financial year,lhd,CO ppm,NO pphm,NO2 pphm,OZONE pphm,PM10 µg/m³,SO2 pphm,asthma edp [f],asthma edp [m],asthma hospitalisations [f],asthma hospitalisations [m],copd deaths [f],copd deaths [m],copd hospitalisations [f],copd hospitalisations [m],iap deaths [f],iap deaths [m],iap hospitalisations [f],iap hospitalisations [m]
2016/2017,Nepean Blue Mountains,0.099769325,0.231661502,0.425546419,1.951418075,16.00865157,0.054771528,439.7,365.9,154.85,98.575,27.1,40.6,277.6,301.6,14.9,12.4,301.2,372.5
2016/2017,Northern Sydney,0.113257386,0.395882447,0.754349542,1.741064943,15.58333333,0.055426177,215.5,243.2,120.2,87,12.1,14,109.3,112.2,11.9,10.5,261.8,319.8
2016/2017,South Eastern Sydney,0.256534123,2.897791342,1.434676103,1.384755324,18.375,0.110121997,250,269.2,106.6,84.1,15.8,19.4,122.2,161.8,8,9.8,247,316
2016/2017,South Western Sydney,0.230591084,0.618461267,0.721765722,1.851354296,17.17291667,0.048242652,331.8,322.1,169.225,117.7,22.1,33.6,221,275.6,8.9,9.6,328.5,386.1
2016/2017,Southern NSW,0.133039168,0.224067641,0.388840146,2.14895143,18.51193545,0.06881431,476.8,453.7,114.05,87.125,27.4,36,261.3,308.4,13.3,15,391.8,451.2
2016/2017,Sydney,0.133283228,0.903636757,1.056809497,1.466804863,17.3625,0.020833333,255.5,263.7,133.2,97.4,11.1,24.5,150.4,246.9,9.8,13.3,280.6,376.6
2016/2017,Western NSW,0.003296048,0.060464239,0.201545077,2.187092979,18.51193545,0.06881431,728.9,646.5,135.35,93.975,46.4,57.4,345.9,380.9,14.8,15.5,490.2,599.5
2016/2017,Western Sydney,0.156860358,0.67397964,0.888568531,1.716075035,18.51193545,0.07294247,298.5,307.5,174.4,126.6,19,29.3,211.8,269.6,10.4,10.6,291.9,351.9
2017/2018,Central Coast,0.108333333,0.175,0.441666667,1.861183124,16.81666667,0.075,386.7,344,133.575,89.9,33.9,40.6,298.9,327.5,9.7,13.3,343.6,421.9
2017/2018,Hunter New England,0.134637678,0.543571883,0.668258663,2.205529702,24.03347201,0.189219651,430.7,437.2,137.5,97.95,23.5,37.2,256.1,284.2,11.4,14.3,398.8,462.5
2017/2018,Illawarra Shoalhaven,0.175,0.370833333,0.5375,2.022397958,20.4625,0.1,389.9,397.7,99.95,63.75,25,30.4,254.9,262.4,9.1,12.9,371.2,416.8
2017/2018,Mid North Coast,0.187219373,0.125496012,0.246269537,1.760193893,18.51193545,0.039191053,422.3,471.1,119.475,142.625,24.4,36.5,289,313.1,8.7,8.8,355.7,428.2
2017/2018,Murrumbidgee,0.133039168,0.165138513,0.329148359,1.948036622,30.79897102,0.075,653.7,557.8,227.975,144.975,23,35.8,382.3,431.7,8.7,11.8,498.7,590.3
