Age (years),Sex,LHD,Period,"Rate per 100,000 population",LL 95% CI,UL 95% CI
65+ years,Females,Central Coast LHD,09/10,750.8,662.3,848
65+ years,Females,Central Coast LHD,10/11,941.3,841.5,"1,049.60"
65+ years,Females,Central Coast LHD,11/12,939.7,842.3,"1,045.30"
65+ years,Females,Central Coast LHD,12/13,811.2,722.2,908.4
65+ years,Females,Central Coast LHD,13/14,901.6,807.5,"1,003.90"
65+ years,Females,Central Coast LHD,14/15,995.1,896.7,"1,101.40"
65+ years,Females,Central Coast LHD,15/16,"1,074.30",973,"1,183.30"
65+ years,Females,Central Coast LHD,16/17,"1,055.80",956.3,"1,163.00"
65+ years,Females,Central Coast LHD,17/18,"1,251.70","1,143.80","1,367.10"
65+ years,Females,Central Coast LHD,18/19,"1,218.60","1,113.40","1,331.20"
65+ years,Females,Central Coast LHD,19/20,"1,328.40","1,218.70","1,445.40"
65+ years,Females,Central Coast LHD,20/21,642.6,568.2,724.2
65+ years,Females,Hunter New England LHD,01/02,858.6,791.6,929.9
65+ years,Females,Hunter New England LHD,02/03,"1,000.90",928.7,"1,077.10"
65+ years,Females,Hunter New England LHD,03/04,952.7,883,"1,026.40"
65+ years,Females,Hunter New England LHD,04/05,994.3,923.2,"1,069.50"
65+ years,Females,Hunter New England LHD,05/06,881.5,815.6,951.2
65+ years,Females,Hunter New England LHD,06/07,758.2,697.4,823
65+ years,Females,Hunter New England LHD,07/08,901.4,835.7,970.8
65+ years,Females,Hunter New England LHD,08/09,861.6,798.2,928.7
65+ years,Females,Hunter New England LHD,09/10,855,792.4,921.2
65+ years,Females,Hunter New England LHD,10/11,960.7,894.8,"1,030.20"
65+ years,Females,Hunter New England LHD,11/12,834.4,774.1,898
65+ years,Females,Hunter New England LHD,12/13,891.8,830.5,956.4
65+ years,Females,Hunter New England LHD,13/14,943.4,880.3,"1,009.80"
65+ years,Females,Hunter New England LHD,14/15,"1,233.70","1,162.10","1,308.40"
65+ years,Females,Hunter New England LHD,15/16,"1,147.40","1,079.50","1,218.60"
65+ years,Females,Hunter New England LHD,16/17,"1,312.30","1,240.10","1,387.50"
65+ years,Females,Hunter New England LHD,17/18,"1,581.90","1,503.20","1,663.70"
65+ years,Females,Hunter New England LHD,18/19,"1,186.30","1,119.40","1,256.20"
65+ years,Females,Hunter New England LHD,19/20,"1,257.00","1,188.90","1,327.90"
65+ years,Females,Hunter New England LHD,20/21,778.4,725.5,834.1
65+ years,Females,Northern NSW LHD,01/02,726.4,626.2,838.3
65+ years,Females,Northern NSW LHD,02/03,924.6,810.7,"1,050.00"
65+ years,Females,Northern NSW LHD,03/04,833.3,727.7,950.1
65+ years,Females,Northern NSW LHD,04/05,647.9,556.4,750.3
65+ years,Females,Northern NSW LHD,05/06,809.3,707.8,921.3
65+ years,Females,Northern NSW LHD,06/07,717.5,622.4,823.2
65+ years,Females,Northern NSW LHD,07/08,800.2,702.2,908.3
65+ years,Females,Northern NSW LHD,08/09,804.3,705.8,912.9
65+ years,Females,Northern NSW LHD,09/10,737.5,644.9,839.9
65+ years,Females,Northern NSW LHD,10/11,671.3,582.8,769.4
65+ years,Females,Northern NSW LHD,11/12,846.5,750,952.1
65+ years,Females,Northern NSW LHD,12/13,861.1,763.8,967.4
65+ years,Females,Northern NSW LHD,13/14,761.6,670.8,861.4
65+ years,Females,Northern NSW LHD,14/15,934,834.8,"1,041.90"
65+ years,Females,Northern NSW LHD,15/16,847.4,754.9,948.3
65+ years,Females,Northern NSW LHD,16/17,"1,040.00",937.2,"1,151.10"
65+ years,Females,Northern NSW LHD,17/18,"1,232.00","1,122.10","1,349.90"
65+ years,Females,Northern NSW LHD,18/19,915.3,822.7,"1,015.60"
65+ years,Females,Northern NSW LHD,19/20,"1,182.90","1,077.90","1,295.50"
65+ years,Females,Northern NSW LHD,20/21,576.8,505.4,655.4
65+ years,Females,Mid North Coast LHD,01/02,928.4,796.7,"1,075.70"
65+ years,Females,Mid North Coast LHD,02/03,994.1,858.9,"1,144.50"
65+ years,Females,Mid North Coast LHD,03/04,"1,121.70",979.8,"1,278.50"
65+ years,Females,Mid North Coast LHD,04/05,874.1,752,"1,010.50"
65+ years,Females,Mid North Coast LHD,05/06,848.5,728.7,982.5
65+ years,Females,Mid North Coast LHD,06/07,897,774.3,"1,033.80"
65+ years,Females,Mid North Coast LHD,07/08,"1,068.10",936.4,"1,213.30"
65+ years,Females,Mid North Coast LHD,08/09,"1,190.00","1,053.70","1,339.40"
65+ years,Females,Mid North Coast LHD,09/10,984.6,860.6,"1,121.50"
65+ years,Females,Mid North Coast LHD,10/11,"1,009.40",886,"1,145.20"
65+ years,Females,Mid North Coast LHD,11/12,"1,046.90",921.4,"1,184.80"
65+ years,Females,Mid North Coast LHD,12/13,"1,331.70","1,193.60","1,481.50"
65+ years,Females,Mid North Coast LHD,13/14,"1,103.70",981.3,"1,237.50"
65+ years,Females,Mid North Coast LHD,14/15,"1,231.20","1,101.40","1,372.20"
65+ years,Females,Mid North Coast LHD,15/16,"1,278.90","1,147.90","1,420.80"
65+ years,Females,Mid North Coast LHD,16/17,"1,099.00",979.6,"1,229.00"
65+ years,Females,Mid North Coast LHD,17/18,"1,360.90","1,228.80","1,503.30"
65+ years,Females,Mid North Coast LHD,18/19,"1,234.20","1,111.40","1,366.90"
65+ years,Females,Mid North Coast LHD,19/20,"1,264.30","1,142.10","1,396.10"
65+ years,Females,Mid North Coast LHD,20/21,811.4,714.9,917.5
65+ years,Females,Southern NSW LHD,01/02,989.5,829.5,"1,171.30"
65+ years,Females,Southern NSW LHD,02/03,"1,188.80","1,014.10","1,384.90"
65+ years,Females,Southern NSW LHD,03/04,"1,001.10",842.9,"1,180.40"
65+ years,Females,Southern NSW LHD,04/05,"1,064.00",902.4,"1,246.20"
65+ years,Females,Southern NSW LHD,05/06,787.1,650.1,944.3
65+ years,Females,Southern NSW LHD,06/07,"1,011.40",858.3,"1,184.00"
65+ years,Females,Southern NSW LHD,07/08,"1,137.80",977.1,"1,317.40"
65+ years,Females,Southern NSW LHD,08/09,"1,376.90","1,200.50","1,571.90"
65+ years,Females,Southern NSW LHD,09/10,"1,255.20","1,090.20","1,438.20"
65+ years,Females,Southern NSW LHD,10/11,"1,504.60","1,326.70","1,699.70"
65+ years,Females,Southern NSW LHD,11/12,"1,185.40","1,030.10","1,357.40"
65+ years,Females,Southern NSW LHD,12/13,"1,187.80","1,037.50","1,353.90"
65+ years,Females,Southern NSW LHD,13/14,"1,105.80",961.9,"1,265.20"
65+ years,Females,Southern NSW LHD,14/15,"1,221.60","1,069.10","1,389.60"
65+ years,Females,Southern NSW LHD,15/16,"1,150.40","1,005.90","1,309.80"
65+ years,Females,Southern NSW LHD,16/17,"1,544.90","1,380.10","1,724.00"
65+ years,Females,Southern NSW LHD,17/18,"1,791.80","1,615.70","1,982.00"
65+ years,Females,Southern NSW LHD,18/19,"1,281.60","1,134.00","1,443.00"
65+ years,Females,Southern NSW LHD,19/20,"1,367.20","1,219.60","1,527.90"
65+ years,Females,Southern NSW LHD,20/21,980.6,858.5,"1,115.30"
65+ years,Females,Murrumbidgee LHD,01/02,"1,200.90","1,050.30","1,367.20"
65+ years,Females,Murrumbidgee LHD,02/03,"1,300.40","1,145.80","1,470.20"
65+ years,Females,Murrumbidgee LHD,03/04,"1,356.30","1,196.80","1,531.10"
65+ years,Females,Murrumbidgee LHD,04/05,"1,295.70","1,141.40","1,465.10"
65+ years,Females,Murrumbidgee LHD,05/06,"1,312.50","1,159.80","1,479.90"
65+ years,Females,Murrumbidgee LHD,06/07,"1,227.10","1,080.80","1,387.70"
65+ years,Females,Murrumbidgee LHD,07/08,"1,441.30","1,282.20","1,614.80"
65+ years,Females,Murrumbidgee LHD,08/09,"1,225.50","1,082.00","1,382.90"
65+ years,Females,Murrumbidgee LHD,09/10,"1,207.90","1,066.00","1,363.40"
65+ years,Females,Murrumbidgee LHD,10/11,"1,203.00","1,062.10","1,357.50"
65+ years,Females,Murrumbidgee LHD,11/12,"1,141.60","1,006.00","1,290.40"
65+ years,Females,Murrumbidgee LHD,12/13,"1,364.90","1,219.00","1,523.50"
65+ years,Females,Murrumbidgee LHD,13/14,"1,332.20","1,189.10","1,487.80"
65+ years,Females,Murrumbidgee LHD,14/15,"1,572.70","1,419.80","1,737.80"
65+ years,Females,Murrumbidgee LHD,15/16,"1,397.70","1,255.60","1,551.70"
65+ years,Females,Murrumbidgee LHD,16/17,"1,631.00","1,479.00","1,794.60"
65+ years,Females,Murrumbidgee LHD,17/18,"1,839.20","1,678.40","2,011.40"
65+ years,Females,Murrumbidgee LHD,18/19,"1,639.20","1,488.10","1,801.60"
65+ years,Females,Murrumbidgee LHD,19/20,"1,796.10","1,638.40","1,965.00"
65+ years,Females,Murrumbidgee LHD,20/21,"1,070.00",950.7,"1,200.10"
65+ years,Females,Western NSW LHD,01/02,"1,321.00","1,166.70","1,489.90"
65+ years,Females,Western NSW LHD,02/03,"1,488.20","1,324.10","1,667.00"
65+ years,Females,Western NSW LHD,03/04,"1,460.10","1,298.70","1,636.00"
65+ years,Females,Western NSW LHD,04/05,"1,341.20","1,188.20","1,508.50"
65+ years,Females,Western NSW LHD,05/06,"1,417.20","1,261.80","1,586.60"
65+ years,Females,Western NSW LHD,06/07,"1,262.50","1,115.30","1,423.70"
65+ years,Females,Western NSW LHD,07/08,"1,518.70","1,358.20","1,693.00"
65+ years,Females,Western NSW LHD,08/09,"1,437.00","1,282.80","1,604.60"
65+ years,Females,Western NSW LHD,09/10,"1,329.20","1,184.00","1,487.40"
65+ years,Females,Western NSW LHD,10/11,"1,569.40","1,412.50","1,739.00"
65+ years,Females,Western NSW LHD,11/12,"1,505.40","1,353.80","1,669.40"
65+ years,Females,Western NSW LHD,12/13,"1,422.30","1,278.10","1,578.40"
65+ years,Females,Western NSW LHD,13/14,"1,407.30","1,265.40","1,560.80"
65+ years,Females,Western NSW LHD,14/15,"1,561.90","1,413.90","1,721.20"
65+ years,Females,Western NSW LHD,15/16,"1,579.20","1,431.70","1,738.00"
65+ years,Females,Western NSW LHD,16/17,"1,902.50","1,739.90","2,076.10"
65+ years,Females,Western NSW LHD,17/18,"1,851.30","1,693.10","2,020.30"
65+ years,Females,Western NSW LHD,18/19,"1,524.80","1,382.70","1,677.60"
65+ years,Females,Western NSW LHD,19/20,"1,466.00","1,328.50","1,613.80"
65+ years,Females,Western NSW LHD,20/21,"1,044.10",929.8,"1,168.70"
65+ years,Females,All LHDs,01/02,843.1,818,868.8
65+ years,Females,All LHDs,02/03,922,895.9,948.6
65+ years,Females,All LHDs,03/04,925.3,899.4,951.8
65+ years,Females,All LHDs,04/05,905.8,880.3,931.8
65+ years,Females,All LHDs,05/06,856.3,831.8,881.3
65+ years,Females,All LHDs,06/07,819.8,796,844.1
65+ years,Females,All LHDs,07/08,934.1,909,959.8
65+ years,Females,All LHDs,08/09,935.9,910.8,961.4
65+ years,Females,All LHDs,09/10,854.2,830.5,878.3
65+ years,Females,All LHDs,10/11,945.3,920.7,970.4
65+ years,Females,All LHDs,11/12,980.7,955.9,"1,005.90"
65+ years,Females,All LHDs,12/13,"1,001.40",976.7,"1,026.40"
65+ years,Females,All LHDs,13/14,966.3,942.2,990.7
65+ years,Females,All LHDs,14/15,"1,191.20","1,164.80","1,218.10"
65+ years,Females,All LHDs,15/16,"1,155.70","1,130.00","1,181.90"
65+ years,Females,All LHDs,16/17,"1,272.60","1,245.90","1,299.80"
65+ years,Females,All LHDs,17/18,"1,492.10","1,463.50","1,521.10"
65+ years,Females,All LHDs,18/19,"1,257.10","1,231.20","1,283.30"
65+ years,Females,All LHDs,19/20,"1,265.90","1,240.30","1,291.80"
65+ years,Females,All LHDs,20/21,709.8,690.9,729
65+ years,Persons,Sydney LHD,01/02,"1,152.60","1,068.70","1,241.40"
65+ years,Persons,Sydney LHD,02/03,"1,224.10","1,136.90","1,316.30"
65+ years,Persons,Sydney LHD,03/04,"1,208.90","1,121.60","1,301.30"
65+ years,Persons,Sydney LHD,04/05,"1,363.80","1,271.60","1,460.80"
65+ years,Persons,Sydney LHD,05/06,"1,058.10",978.8,"1,142.20"
65+ years,Persons,Sydney LHD,06/07,"1,133.30","1,052.60","1,218.60"
65+ years,Persons,Sydney LHD,07/08,"1,199.70","1,117.70","1,286.20"
65+ years,Persons,Sydney LHD,08/09,"1,032.90",957.3,"1,113.00"
65+ years,Persons,Sydney LHD,09/10,956.4,884.3,"1,032.80"
65+ years,Persons,Sydney LHD,10/11,"1,082.30","1,006.70","1,162.20"
65+ years,Persons,Sydney LHD,11/12,"1,228.40","1,148.50","1,312.50"
65+ years,Persons,Sydney LHD,12/13,"1,153.80","1,077.50","1,234.20"
65+ years,Persons,Sydney LHD,13/14,"1,058.30",985.9,"1,134.50"
65+ years,Persons,Sydney LHD,14/15,"1,363.80","1,282.40","1,449.10"
65+ years,Persons,Sydney LHD,15/16,"1,361.60","1,281.50","1,445.40"
65+ years,Persons,Sydney LHD,16/17,"1,656.50","1,569.10","1,747.50"
65+ years,Persons,Sydney LHD,17/18,"1,799.30","1,710.00","1,892.00"
65+ years,Persons,Sydney LHD,18/19,"1,446.00","1,367.70","1,527.70"
65+ years,Persons,Sydney LHD,19/20,"1,554.30","1,474.70","1,637.10"
65+ years,Persons,Sydney LHD,20/21,866.3,808.2,927.4
65+ years,Persons,South Western Sydney LHD,01/02,"1,058.30",984.2,"1,136.50"
65+ years,Persons,South Western Sydney LHD,02/03,"1,122.10","1,047.00","1,201.20"
65+ years,Persons,South Western Sydney LHD,03/04,"1,182.80","1,106.70","1,262.70"
65+ years,Persons,South Western Sydney LHD,04/05,"1,074.20","1,003.10","1,149.00"
65+ years,Persons,South Western Sydney LHD,05/06,976.9,910.3,"1,047.00"
65+ years,Persons,South Western Sydney LHD,06/07,987.8,921.7,"1,057.40"
65+ years,Persons,South Western Sydney LHD,07/08,"1,096.90","1,028.50","1,168.50"
65+ years,Persons,South Western Sydney LHD,08/09,"1,017.80",953.2,"1,085.60"
65+ years,Persons,South Western Sydney LHD,09/10,869.7,811.3,931.1
65+ years,Persons,South Western Sydney LHD,10/11,992.2,930.9,"1,056.40"
65+ years,Persons,South Western Sydney LHD,11/12,"1,150.30","1,085.30","1,218.20"
65+ years,Persons,South Western Sydney LHD,12/13,"1,088.70","1,026.50","1,153.60"
65+ years,Persons,South Western Sydney LHD,13/14,"1,004.80",946.3,"1,066.00"
65+ years,Persons,South Western Sydney LHD,14/15,"1,302.70","1,236.70","1,371.30"
65+ years,Persons,South Western Sydney LHD,15/16,"1,328.40","1,263.00","1,396.30"
65+ years,Persons,South Western Sydney LHD,16/17,"1,490.00","1,421.80","1,560.60"
65+ years,Persons,South Western Sydney LHD,17/18,"1,689.70","1,618.60","1,763.10"
65+ years,Persons,South Western Sydney LHD,18/19,"1,461.30","1,396.50","1,528.40"
65+ years,Persons,South Western Sydney LHD,19/20,"1,408.90","1,346.30","1,473.60"
65+ years,Persons,South Western Sydney LHD,20/21,875.4,827.3,925.5
65+ years,Persons,South Eastern Sydney LHD,01/02,"1,028.80",969.1,"1,091.20"
65+ years,Persons,South Eastern Sydney LHD,02/03,"1,038.00",978.6,"1,100.10"
65+ years,Persons,South Eastern Sydney LHD,03/04,"1,091.80","1,031.20","1,155.10"
65+ years,Persons,South Eastern Sydney LHD,04/05,"1,036.90",978.1,"1,098.40"
65+ years,Persons,South Eastern Sydney LHD,05/06,943.2,887.3,"1,001.80"
65+ years,Persons,South Eastern Sydney LHD,06/07,961.7,906.1,"1,019.90"
65+ years,Persons,South Eastern Sydney LHD,07/08,"1,092.20","1,033.20","1,153.70"
65+ years,Persons,South Eastern Sydney LHD,08/09,991.6,935.8,"1,049.90"
65+ years,Persons,South Eastern Sydney LHD,09/10,982.8,927.4,"1,040.70"
65+ years,Persons,South Eastern Sydney LHD,10/11,994.5,939.8,"1,051.60"
65+ years,Persons,South Eastern Sydney LHD,11/12,"1,176.00","1,116.90","1,237.40"
65+ years,Persons,South Eastern Sydney LHD,12/13,"1,150.70","1,092.50","1,211.20"
65+ years,Persons,South Eastern Sydney LHD,13/14,"1,032.90",978.2,"1,089.80"
65+ years,Persons,South Eastern Sydney LHD,14/15,"1,344.30","1,282.30","1,408.60"
65+ years,Persons,South Eastern Sydney LHD,15/16,"1,231.10","1,172.50","1,291.90"
65+ years,Persons,South Eastern Sydney LHD,16/17,"1,417.40","1,355.10","1,481.80"
65+ years,Persons,South Eastern Sydney LHD,17/18,"1,695.10","1,627.60","1,764.60"
65+ years,Persons,South Eastern Sydney LHD,18/19,"1,526.80","1,463.70","1,592.00"
65+ years,Persons,South Eastern Sydney LHD,19/20,"1,469.10","1,408.20","1,531.80"
65+ years,Persons,South Eastern Sydney LHD,20/21,761,717.9,806
65+ years,Persons,Illawarra Shoalhaven LHD,01/02,912.5,831.7,999
65+ years,Persons,Illawarra Shoalhaven LHD,02/03,918.6,838.4,"1,004.20"
65+ years,Persons,Illawarra Shoalhaven LHD,03/04,826,751.5,905.9
65+ years,Persons,Illawarra Shoalhaven LHD,04/05,930.2,851.9,"1,013.60"
65+ years,Persons,Illawarra Shoalhaven LHD,05/06,948.9,870.9,"1,032.10"
65+ years,Persons,Illawarra Shoalhaven LHD,06/07,902.2,827.5,981.9
65+ years,Persons,Illawarra Shoalhaven LHD,07/08,907.8,834,986.3
65+ years,Persons,Illawarra Shoalhaven LHD,08/09,"1,116.70","1,036.00","1,202.10"
65+ years,Persons,Illawarra Shoalhaven LHD,09/10,"1,084.60","1,006.60","1,167.00"
65+ years,Persons,Illawarra Shoalhaven LHD,10/11,"1,135.40","1,057.40","1,217.70"
65+ years,Persons,Illawarra Shoalhaven LHD,11/12,"1,184.20","1,105.50","1,267.00"
65+ years,Persons,Illawarra Shoalhaven LHD,12/13,"1,429.10","1,343.70","1,518.60"
65+ years,Persons,Illawarra Shoalhaven LHD,13/14,"1,434.90","1,350.90","1,522.90"
65+ years,Persons,Illawarra Shoalhaven LHD,14/15,"1,516.80","1,431.10","1,606.40"
65+ years,Persons,Illawarra Shoalhaven LHD,15/16,"1,347.40","1,267.00","1,431.60"
65+ years,Persons,Illawarra Shoalhaven LHD,16/17,"1,442.30","1,360.20","1,528.10"
65+ years,Persons,Illawarra Shoalhaven LHD,17/18,"1,838.20","1,746.90","1,933.10"
65+ years,Persons,Illawarra Shoalhaven LHD,18/19,"1,648.10","1,562.80","1,737.00"
65+ years,Persons,Illawarra Shoalhaven LHD,19/20,"1,614.10","1,530.70","1,700.90"
65+ years,Persons,Illawarra Shoalhaven LHD,20/21,"1,008.30",943.6,"1,076.30"
65+ years,Persons,Western Sydney LHD,01/02,"1,025.70",948.8,"1,107.10"
65+ years,Persons,Western Sydney LHD,02/03,983.5,909.3,"1,062.10"
65+ years,Persons,Western Sydney LHD,03/04,981.1,907.6,"1,059.10"
65+ years,Persons,Western Sydney LHD,04/05,"1,018.30",944.4,"1,096.50"
65+ years,Persons,Western Sydney LHD,05/06,988.5,916.5,"1,064.70"
65+ years,Persons,Western Sydney LHD,06/07,"1,043.20",970.2,"1,120.20"
65+ years,Persons,Western Sydney LHD,07/08,"1,088.20","1,015.20","1,165.00"
65+ years,Persons,Western Sydney LHD,08/09,"1,171.90","1,097.10","1,250.30"
65+ years,Persons,Western Sydney LHD,09/10,"1,077.60","1,007.50","1,151.40"
65+ years,Persons,Western Sydney LHD,10/11,"1,180.70","1,108.10","1,256.80"
65+ years,Persons,Western Sydney LHD,11/12,"1,301.90","1,227.20","1,380.10"
65+ years,Persons,Western Sydney LHD,12/13,"1,246.10","1,173.90","1,321.50"
65+ years,Persons,Western Sydney LHD,13/14,"1,265.10","1,193.30","1,340.00"
65+ years,Persons,Western Sydney LHD,14/15,"1,400.00","1,326.00","1,477.10"
65+ years,Persons,Western Sydney LHD,15/16,"1,294.60","1,224.50","1,367.60"
65+ years,Persons,Western Sydney LHD,16/17,"1,416.40","1,344.20","1,491.60"
65+ years,Persons,Western Sydney LHD,17/18,"1,723.50","1,645.60","1,804.00"
65+ years,Persons,Western Sydney LHD,18/19,"1,435.80","1,366.40","1,507.80"
65+ years,Persons,Western Sydney LHD,19/20,"1,358.20","1,292.40","1,426.50"
65+ years,Persons,Western Sydney LHD,20/21,846.7,796.3,899.5
65+ years,Persons,Nepean Blue Mountains LHD,01/02,"1,298.10","1,171.60","1,434.50"
65+ years,Persons,Nepean Blue Mountains LHD,02/03,"1,201.30","1,082.90","1,329.00"
65+ years,Persons,Nepean Blue Mountains LHD,03/04,"1,238.50","1,118.70","1,367.60"
65+ years,Persons,Nepean Blue Mountains LHD,04/05,"1,245.20","1,125.10","1,374.50"
65+ years,Persons,Nepean Blue Mountains LHD,05/06,"1,086.90",976.2,"1,206.70"
65+ years,Persons,Nepean Blue Mountains LHD,06/07,"1,114.00","1,003.50","1,233.40"
65+ years,Persons,Nepean Blue Mountains LHD,07/08,"1,547.60","1,418.00","1,685.70"
65+ years,Persons,Nepean Blue Mountains LHD,08/09,"1,207.10","1,095.00","1,327.40"
65+ years,Persons,Nepean Blue Mountains LHD,09/10,"1,066.50",962.7,"1,178.40"
65+ years,Persons,Nepean Blue Mountains LHD,10/11,"1,392.00","1,275.90","1,515.70"
65+ years,Persons,Nepean Blue Mountains LHD,11/12,"1,435.50","1,318.50","1,560.00"
65+ years,Persons,Nepean Blue Mountains LHD,12/13,"1,318.70","1,209.60","1,434.90"
65+ years,Persons,Nepean Blue Mountains LHD,13/14,"1,283.70","1,177.80","1,396.60"
65+ years,Persons,Nepean Blue Mountains LHD,14/15,"1,600.80","1,485.20","1,722.90"
65+ years,Persons,Nepean Blue Mountains LHD,15/16,"1,382.70","1,276.80","1,495.00"
65+ years,Persons,Nepean Blue Mountains LHD,16/17,"1,498.80","1,390.00","1,613.80"
65+ years,Persons,Nepean Blue Mountains LHD,17/18,"1,867.80","1,748.60","1,993.00"
65+ years,Persons,Nepean Blue Mountains LHD,18/19,"1,541.10","1,435.40","1,652.40"
65+ years,Persons,Nepean Blue Mountains LHD,19/20,"1,504.50","1,402.30","1,612.10"
65+ years,Persons,Nepean Blue Mountains LHD,20/21,926.2,847.9,"1,009.70"
65+ years,Persons,Northern Sydney LHD,01/02,859.3,806.9,914.2
65+ years,Persons,Northern Sydney LHD,02/03,860.6,808.7,914.9
65+ years,Persons,Northern Sydney LHD,03/04,893.1,840.2,948.4
65+ years,Persons,Northern Sydney LHD,04/05,961,906.5,"1,018.00"
65+ years,Persons,Northern Sydney LHD,05/06,906.3,853.6,961.4
65+ years,Persons,Northern Sydney LHD,06/07,841.5,791.4,894
65+ years,Persons,Northern Sydney LHD,07/08,993.3,939.3,"1,049.50"
65+ years,Persons,Northern Sydney LHD,08/09,956.8,904.2,"1,011.80"
65+ years,Persons,Northern Sydney LHD,09/10,859.5,810.6,910.8
65+ years,Persons,Northern Sydney LHD,10/11,918,867.4,970.9
65+ years,Persons,Northern Sydney LHD,11/12,"1,051.10",997.3,"1,107.10"
65+ years,Persons,Northern Sydney LHD,12/13,981.6,930.6,"1,034.70"
65+ years,Persons,Northern Sydney LHD,13/14,970.2,919.7,"1,022.90"
65+ years,Persons,Northern Sydney LHD,14/15,"1,198.70","1,143.20","1,256.30"
65+ years,Persons,Northern Sydney LHD,15/16,"1,292.70","1,235.50","1,351.80"
65+ years,Persons,Northern Sydney LHD,16/17,"1,320.90","1,263.60","1,380.20"
65+ years,Persons,Northern Sydney LHD,17/18,"1,521.60","1,461.10","1,584.10"
65+ years,Persons,Northern Sydney LHD,18/19,"1,326.70","1,270.90","1,384.40"
65+ years,Persons,Northern Sydney LHD,19/20,"1,237.20","1,184.10","1,292.10"
65+ years,Persons,Northern Sydney LHD,20/21,661.1,623,700.9
65+ years,Persons,Central Coast LHD,01/02,938.5,857.8,"1,024.60"
65+ years,Persons,Central Coast LHD,02/03,"1,004.50",921.4,"1,093.00"
65+ years,Persons,Central Coast LHD,03/04,948.8,869,"1,033.90"
65+ years,Persons,Central Coast LHD,04/05,825.5,751.9,904.4
65+ years,Persons,Central Coast LHD,05/06,937.8,860.4,"1,020.30"
65+ years,Persons,Central Coast LHD,06/07,932.4,856,"1,014.00"
65+ years,Persons,Central Coast LHD,07/08,"1,010.40",930.9,"1,094.80"
65+ years,Persons,Central Coast LHD,08/09,"1,009.60",930.3,"1,093.90"
65+ years,Persons,Central Coast LHD,09/10,951.2,875.1,"1,032.30"
65+ years,Persons,Central Coast LHD,10/11,"1,137.80","1,055.00","1,225.30"
65+ years,Persons,Central Coast LHD,11/12,"1,124.10","1,043.50","1,209.30"
65+ years,Persons,Central Coast LHD,12/13,"1,089.60","1,011.00","1,172.80"
65+ years,Persons,Central Coast LHD,13/14,"1,199.00","1,117.00","1,285.50"
65+ years,Persons,Central Coast LHD,14/15,"1,306.30","1,221.70","1,395.40"
65+ years,Persons,Central Coast LHD,15/16,"1,339.30","1,254.50","1,428.20"
65+ years,Persons,Central Coast LHD,16/17,"1,287.40","1,205.30","1,373.70"
65+ years,Persons,Central Coast LHD,17/18,"1,529.50","1,440.40","1,622.70"
65+ years,Persons,Central Coast LHD,18/19,"1,430.70","1,345.40","1,520.10"
65+ years,Persons,Central Coast LHD,19/20,"1,475.20","1,389.20","1,565.30"
65+ years,Persons,Central Coast LHD,20/21,823.2,759.8,890.5
65+ years,Persons,Hunter New England LHD,01/02,"1,098.00","1,039.70","1,158.80"
65+ years,Persons,Hunter New England LHD,02/03,"1,206.30","1,145.70","1,269.20"
65+ years,Persons,Hunter New England LHD,03/04,"1,163.20","1,104.30","1,224.40"
65+ years,Persons,Hunter New England LHD,04/05,"1,249.70","1,189.30","1,312.50"
65+ years,Persons,Hunter New England LHD,05/06,"1,067.30","1,012.00","1,124.70"
65+ years,Persons,Hunter New England LHD,06/07,998.3,945.4,"1,053.20"
65+ years,Persons,Hunter New England LHD,07/08,"1,115.90","1,060.80","1,173.20"
65+ years,Persons,Hunter New England LHD,08/09,"1,106.60","1,052.40","1,163.00"
65+ years,Persons,Hunter New England LHD,09/10,"1,056.20","1,003.80","1,110.60"
65+ years,Persons,Hunter New England LHD,10/11,"1,132.30","1,078.80","1,187.70"
65+ years,Persons,Hunter New England LHD,11/12,"1,107.10","1,055.20","1,160.90"
65+ years,Persons,Hunter New England LHD,12/13,"1,111.60","1,060.40","1,164.80"
65+ years,Persons,Hunter New England LHD,13/14,"1,186.10","1,133.60","1,240.50"
65+ years,Persons,Hunter New England LHD,14/15,"1,445.70","1,388.20","1,505.00"
65+ years,Persons,Hunter New England LHD,15/16,"1,373.30","1,317.80","1,430.60"
65+ years,Persons,Hunter New England LHD,16/17,"1,531.90","1,474.00","1,591.50"
65+ years,Persons,Hunter New England LHD,17/18,"1,821.50","1,758.90","1,885.60"
65+ years,Persons,Hunter New England LHD,18/19,"1,446.30","1,391.50","1,502.80"
65+ years,Persons,Hunter New England LHD,19/20,"1,468.00","1,413.40","1,524.00"
65+ years,Persons,Hunter New England LHD,20/21,990.9,946.9,"1,036.50"
65+ years,Persons,Northern NSW LHD,01/02,963.5,875.5,"1,057.90"
65+ years,Persons,Northern NSW LHD,02/03,"1,092.10",999.5,"1,191.00"
65+ years,Persons,Northern NSW LHD,03/04,938.4,853.7,"1,029.30"
65+ years,Persons,Northern NSW LHD,04/05,808,730.6,891.4
65+ years,Persons,Northern NSW LHD,05/06,913.3,831.8,"1,000.60"
65+ years,Persons,Northern NSW LHD,06/07,829.5,752.8,912
65+ years,Persons,Northern NSW LHD,07/08,999,916,"1,087.50"
65+ years,Persons,Northern NSW LHD,08/09,939.9,859.7,"1,025.70"
65+ years,Persons,Northern NSW LHD,09/10,885.7,808.8,967.9
65+ years,Persons,Northern NSW LHD,10/11,825.4,752.2,903.8
