sex,lhd,financial year,"rate per 100,000 population"
Females,Sydney,2014/2015,11.1
Females,Sydney,2015/2016,12.1
Females,Sydney,2016/2017,11.1
Females,Sydney,2017/2018,10.9
Females,Sydney,2018/2019,11.3
Females,Sydney,2019/2020,10.0
Females,Sydney,2020/2021,9.8
Females,South Western Sydney,2011/2012,19.6
Females,South Western Sydney,2012/2013,19.6
Females,South Western Sydney,2013/2014,19.0
Females,South Western Sydney,2014/2015,19.0
Females,South Western Sydney,2015/2016,21.3
Females,South Western Sydney,2016/2017,22.1
Females,South Western Sydney,2017/2018,20.5
Females,South Western Sydney,2018/2019,19.1
Females,South Western Sydney,2019/2020,17.1
Females,South Western Sydney,2020/2021,15.4
Females,South Eastern Sydney,2011/2012,11.9
Females,South Eastern Sydney,2012/2013,13.1
Females,South Eastern Sydney,2013/2014,13.9
Females,South Eastern Sydney,2014/2015,13.6
Females,South Eastern Sydney,2015/2016,14.1
Females,South Eastern Sydney,2016/2017,15.8
Females,South Eastern Sydney,2017/2018,15.2
Females,South Eastern Sydney,2018/2019,13.9
Females,South Eastern Sydney,2019/2020,14.1
Females,South Eastern Sydney,2020/2021,12.0
Females,Illawarra Shoalhaven,2011/2012,20.3
Females,Illawarra Shoalhaven,2012/2013,20.5
Females,Illawarra Shoalhaven,2013/2014,23.6
Females,Illawarra Shoalhaven,2014/2015,25.1
Females,Illawarra Shoalhaven,2015/2016,24.9
Females,Illawarra Shoalhaven,2016/2017,27.3
Females,Illawarra Shoalhaven,2017/2018,25.0
Females,Illawarra Shoalhaven,2018/2019,24.2
Females,Illawarra Shoalhaven,2019/2020,24.5
Females,Illawarra Shoalhaven,2020/2021,23.2
Females,Western Sydney,2011/2012,16.8
Females,Western Sydney,2012/2013,16.0
Females,Western Sydney,2013/2014,16.3
Females,Western Sydney,2014/2015,16.3
Females,Western Sydney,2015/2016,18.2
Females,Western Sydney,2016/2017,19.0
Females,Western Sydney,2017/2018,16.5
Females,Western Sydney,2018/2019,16.0
Females,Western Sydney,2019/2020,13.5
Females,Western Sydney,2020/2021,13.8
Females,Nepean Blue Mountains,2011/2012,26.3
Females,Nepean Blue Mountains,2012/2013,26.9
Females,Nepean Blue Mountains,2013/2014,26.4
Females,Nepean Blue Mountains,2014/2015,28.4
Females,Nepean Blue Mountains,2015/2016,27.7
Females,Nepean Blue Mountains,2016/2017,27.1
Females,Nepean Blue Mountains,2017/2018,26.4
Females,Nepean Blue Mountains,2018/2019,24.3
Females,Nepean Blue Mountains,2019/2020,21.9
Females,Nepean Blue Mountains,2020/2021,20.1
Females,Northern Sydney,2011/2012,11.6
Females,Northern Sydney,2012/2013,10.8
Females,Northern Sydney,2013/2014,11.5
Females,Northern Sydney,2014/2015,12.3
Females,Northern Sydney,2015/2016,12.6
Females,Northern Sydney,2016/2017,12.1
Females,Northern Sydney,2017/2018,11.0
Females,Northern Sydney,2018/2019,10.1
Females,Northern Sydney,2019/2020,8.8
Females,Northern Sydney,2020/2021,7.9
Females,Central Coast,2011/2012,24.9
Females,Central Coast,2012/2013,27.9
Females,Central Coast,2013/2014,24.9
Females,Central Coast,2014/2015,25.3
Females,Central Coast,2015/2016,28.2
Females,Central Coast,2016/2017,33.1
Females,Central Coast,2017/2018,33.9
Females,Central Coast,2018/2019,31.6
Females,Central Coast,2019/2020,29.6
Females,Central Coast,2020/2021,27.9
Females,Hunter New England,2011/2012,19.1
Females,Hunter New England,2012/2013,21.9
Females,Hunter New England,2013/2014,25.2
Females,Hunter New England,2014/2015,25.4
Females,Hunter New England,2015/2016,25.3
Females,Hunter New England,2016/2017,25.4
Females,Hunter New England,2017/2018,23.5
Females,Hunter New England,2018/2019,24.6
Females,Hunter New England,2019/2020,24.1
Females,Hunter New England,2020/2021,22.4
Females,Northern NSW,2011/2012,21.4
Females,Northern NSW,2012/2013,17.3
Females,Northern NSW,2013/2014,17.4
Females,Northern NSW,2014/2015,18.6
Females,Northern NSW,2015/2016,20.5
Females,Northern NSW,2016/2017,22.1
Females,Northern NSW,2017/2018,22.6
Females,Northern NSW,2018/2019,22.8
Females,Northern NSW,2019/2020,21.9
Females,Northern NSW,2020/2021,19.4
Females,Mid North Coast,2011/2012,18.8
Females,Mid North Coast,2012/2013,20.0
Females,Mid North Coast,2013/2014,25.9
Females,Mid North Coast,2014/2015,24.5
Females,Mid North Coast,2015/2016,21.0
Females,Mid North Coast,2016/2017,22.5
Females,Mid North Coast,2017/2018,24.4
Females,Mid North Coast,2018/2019,29.0
Females,Mid North Coast,2019/2020,25.9
Females,Mid North Coast,2020/2021,22.9
Females,Southern NSW,2011/2012,21.8
Females,Southern NSW,2012/2013,22.4
Females,Southern NSW,2013/2014,29.2
Females,Southern NSW,2014/2015,32.9
Females,Southern NSW,2015/2016,28.6
Females,Southern NSW,2016/2017,27.4
Females,Southern NSW,2017/2018,30.8
Females,Southern NSW,2018/2019,29.4
Females,Southern NSW,2019/2020,24.0
Females,Southern NSW,2020/2021,22.1
Females,Murrumbidgee,2011/2012,19.9
Females,Murrumbidgee,2012/2013,19.7
Females,Murrumbidgee,2013/2014,21.5
Females,Murrumbidgee,2014/2015,26.9
