financial year,lhd,CO ppm,NO pphm,NO2 pphm,OZONE pphm,PM10 µg/m³,SO2 pphm,"asthma deaths [rate per 100,000]","asthma edp [f] [rate per 100,000]","asthma edp [m] [rate per 100,000]","asthma hospitalisations [f] [rate per 100,000]","asthma hospitalisations [m] [rate per 100,000]",asthma prevelance in children [% of children],"copd deaths [f] [rate per 100,000]","copd deaths [m] [rate per 100,000]","copd hospitalisations [f] [rate per 100,000]","copd hospitalisations [m] [rate per 100,000]","iap deaths [f] [rate per 100,000]","iap deaths [m] [rate per 100,000]","iap hospitalisations [f] [rate per 100,000]","iap hospitalisations [m] [rate per 100,000]"
2014/2015,Central Coast,0.1,0.1666666666666666,0.4444444444444444,1.9222222222222225,16.233333333333334,0.0444444444444444,0.675,373.6,354.3,182.2,148.5,15.7,25.3,43.1,277.0,315.9,9.4,11.5,269.0,402.9
2015/2016,Central Coast,0.1,0.1888888888888888,0.4444444444444444,1.7555555555555555,15.833333333333334,0.0666666666666666,0.725,405.8,350.7,185.2,157.4,14.4,28.2,40.0,301.9,288.7,9.9,10.2,298.5,404.2
2016/2017,Central Coast,0.1,0.18,0.45,1.87,16.1,0.07,0.7,412.0,339.7,176.7,149.1,12.55,33.1,39.6,312.5,303.7,11.1,11.4,260.3,324.7
2017/2018,Central Coast,0.1,0.1285714285714286,0.3999999999999999,2.0285714285714285,17.985714285714288,0.0857142857142857,0.675,386.7,344.0,154.4,141.6,11.15,33.9,40.6,298.9,327.5,9.7,13.3,343.6,421.9
2018/2019,Central Coast,0.1,0.15,0.325,1.925,17.725,0.1,0.675,403.8,349.0,144.6,122.9,,31.6,41.1,307.8,286.2,7.8,13.3,339.6,420.6
2019/2020,Central Coast,0.15,0.25,0.4,1.5,12.9,0.05,0.6499999999999999,393.8,319.8,131.7,100.6,,29.6,34.8,273.4,249.5,7.2,11.2,336.9,409.5
2020/2021,Central Coast,0.15,0.175,0.325,1.8,16.975,0.075,0.6,308.3,286.1,81.1,69.8,,27.9,29.3,204.3,200.6,4.8,7.5,185.3,219.2
2021/2022,Central Coast,,,,,,,,287.7,251.0,76.1,79.8,,,,173.6,171.3,,,,
2022/2023,Central Coast,,,,,,,,348.8,308.1,,,,,,,,,,,
2023/2024,Central Coast,-0.1,0.15,0.15,1.55,14.45,0.05,,,,,,,,,,,,,,
2001/2002,Far West,,,,,,,,,,320.7,321.1,,,,241.6,362.2,,,,
2002/2003,Far West,,,,,,,,,,231.1,188.7,,,,421.1,550.0,,,,
2003/2004,Far West,,,,,,,,,,203.6,221.4,17.5,,,275.5,600.9,,,,
2004/2005,Far West,,,,,,,,,,151.2,125.9,13.85,,,258.2,480.7,,,,
2005/2006,Far West,,,,,,,,,,149.3,206.1,12.1,,,325.1,578.4,,,,
2006/2007,Far West,,,,,,,,,,209.3,248.7,11.7,,,311.2,519.4,,,,
2007/2008,Far West,,,,,,,,,,122.4,184.4,11.2,,,302.8,389.2,,,,
