financial year,lhd,CO ppm,NO pphm,NO2 pphm,OZONE pphm,PM10 µg/m³,SO2 pphm,"asthma deaths [rate per 100,000]","asthma edp [f] [rate per 100,000]","asthma edp [m] [rate per 100,000]","asthma hospitalisations [f] [rate per 100,000]","asthma hospitalisations [m] [rate per 100,000]",asthma prevelance in children [% of children],"copd deaths [f] [rate per 100,000]","copd deaths [m] [rate per 100,000]","copd hospitalisations [f] [rate per 100,000]","copd hospitalisations [m] [rate per 100,000]","iap deaths [f] [rate per 100,000]","iap deaths [m] [rate per 100,000]","iap hospitalisations [f] [rate per 100,000]","iap hospitalisations [m] [rate per 100,000]"
2005/2006,Nepean Blue Mountains,,0.1732142857142857,0.5663903061224489,2.125,15.5,0.0375,,,,172.2,174.7,13.5,,,222.2,315.5,,,253.4,341.5
2006/2007,Nepean Blue Mountains,,0.2821428571428571,0.6109268707482993,1.968358714043993,17.783333333333335,0.0666666666666666,,,,180.8,198.7,13.75,,,267.4,358.9,,,262.6,344.1
2007/2008,Nepean Blue Mountains,,0.1955078125,0.4931640625,1.8512412891986063,14.20625,0.0,,,,178.8,179.5,15.0,,,227.9,351.1,,,320.1,447.8
2008/2009,Nepean Blue Mountains,,,,,,,,,,176.7,193.9,16.15,,,243.7,288.9,,,251.5,340.9
2009/2010,Nepean Blue Mountains,,0.1875,0.5625,1.7000000000000002,14.35,0.0,,,,189.9,182.3,17.45,,,222.3,280.6,,,244.1,325.6
2010/2011,Nepean Blue Mountains,,0.0948660714285714,0.5564732142857143,1.75,12.592857142857143,0.0071428571428571,,,,150.2,174.9,18.7,,,244.9,285.0,,,312.5,413.6
2011/2012,Nepean Blue Mountains,,0.09,0.5,1.75,12.89,0.02,1.0,,,156.1,163.4,17.75,26.3,28.6,238.3,299.9,10.9,11.8,294.6,372.1
2012/2013,Nepean Blue Mountains,,0.0888888888888888,0.4888888888888889,1.927777777777778,17.461111111111112,0.0277777777777777,0.925,,,160.4,180.3,16.450000000000003,26.9,30.7,221.9,275.9,10.8,12.2,268.0,329.0
2013/2014,Nepean Blue Mountains,,0.1222222222222222,0.4722222222222222,1.9444444444444444,15.901766381766382,0.0166666666666666,0.95,,,174.8,172.9,15.4,26.4,33.0,235.6,296.9,9.6,10.2,274.9,342.5
2014/2015,Nepean Blue Mountains,,0.0944444444444444,0.4388888888888889,2.0722222222222224,15.744444444444444,0.0,1.0,447.0,379.1,188.8,176.4,14.65,28.4,35.2,241.1,289.6,9.7,11.6,320.3,392.5
2015/2016,Nepean Blue Mountains,,0.1015625,0.4883680555555555,1.9055555555555557,15.83888888888889,0.0166666666666666,1.0,400.1,347.5,186.8,166.3,15.55,27.7,39.4,237.6,285.6,13.2,14.0,326.5,391.9
2016/2017,Nepean Blue Mountains,,0.1707142857142857,0.4893367346938775,1.941091370558376,15.769538461538463,0.0237301587301587,1.15,439.7,365.9,181.8,160.3,16.65,27.1,40.6,277.6,301.6,14.9,12.4,301.2,372.5
2017/2018,Nepean Blue Mountains,,0.2071428571428571,0.5512755102040815,1.9958665699782447,17.55875457875458,0.0431216931216931,1.2,397.1,320.8,161.5,150.3,17.6,26.4,33.3,271.7,271.9,11.4,12.9,386.6,479.6
2018/2019,Nepean Blue Mountains,,0.1678571428571428,0.5155612244897959,2.02265228426396,17.240897435897438,0.0520502645502645,1.075,406.2,332.5,197.8,143.1,,24.3,27.1,247.4,224.9,9.4,13.0,370.6,425.4
2019/2020,Nepean Blue Mountains,,0.2178571428571428,0.4405612244897959,1.660152284263959,15.515897435897436,0.0145502645502645,0.775,366.3,275.4,138.1,109.2,,21.9,25.0,209.6,207.6,8.0,12.0,354.3,376.5
2020/2021,Nepean Blue Mountains,,0.1678571428571428,0.4280612244897959,1.91015228426396,16.84089743589744,0.0395502645502645,0.55,268.0,235.1,119.1,94.1,,20.1,22.4,141.0,132.4,6.3,9.0,182.8,247.3
2021/2022,Nepean Blue Mountains,,,,,,,,271.6,236.5,113.1,85.1,,,,122.5,160.6,,,,
2022/2023,Nepean Blue Mountains,,,,,,,,291.9,260.8,,,,,,,,,,,
2023/2024,Nepean Blue Mountains,,0.1928571428571428,0.4905612244897959,1.785152284263959,16.740897435897438,0.0395502645502645,,,,,,,,,,,,,,
2001/2002,Northern NSW,,,,,,,,,,222.6,226.6,,,,180.0,277.8,,,288.3,375.9
2002/2003,Northern NSW,,,,,,,,,,217.6,180.3,,,,195.0,311.0,,,318.4,362.3
2003/2004,Northern NSW,,,,,,,,,,217.8,169.6,11.1,,,241.3,279.4,,,257.0,346.5
2004/2005,Northern NSW,,,,,,,,,,182.3,204.7,10.75,,,210.0,256.0,,,242.2,306.6
2005/2006,Northern NSW,,,,,,,,,,203.2,183.8,11.75,,,237.5,275.5,,,251.2,328.9
2006/2007,Northern NSW,,,,,,,,,,171.4,180.7,12.95,,,190.6,248.4,,,235.6,282.3
2007/2008,Northern NSW,,,,,,,,,,184.1,201.8,12.85,,,212.6,288.3,,,278.8,350.7
2008/2009,Northern NSW,,,,,,,,,,173.9,212.4,12.8,,,245.7,334.0,,,291.2,313.0
2009/2010,Northern NSW,,,,,,,,,,192.8,181.8,12.8,,,233.8,278.4,,,265.5,342.4
2010/2011,Northern NSW,,,,,,,,,,162.0,158.1,12.75,,,238.8,299.7,,,233.1,306.5
2011/2012,Northern NSW,,,,,,,0.95,,,151.9,148.0,11.65,21.4,31.5,231.4,299.1,5.8,8.9,269.2,348.9
2012/2013,Northern NSW,,,,,,,0.95,,,124.6,168.6,10.95,17.3,31.3,263.7,308.4,5.0,9.7,245.6,287.0
2013/2014,Northern NSW,,,,,,,0.925,,,153.8,165.9,11.5,17.4,27.7,248.5,289.4,7.4,8.8,224.4,325.9
2014/2015,Northern NSW,,,,,,,0.825,663.2,569.8,174.4,153.1,12.65,18.6,29.0,228.1,308.5,8.2,9.4,291.9,320.6
2015/2016,Northern NSW,,,,,,,0.825,669.9,649.9,186.3,164.1,12.5,20.5,31.3,230.1,285.6,7.7,10.0,303.2,387.6
2016/2017,Northern NSW,,,,,,,0.95,620.7,544.5,180.6,140.5,12.15,22.1,29.7,250.5,293.6,8.7,11.0,273.4,375.9
2017/2018,Northern NSW,,,,,,,1.175,664.0,580.1,180.8,146.8,13.0,22.6,30.1,272.3,256.1,8.2,10.1,358.9,445.0
2018/2019,Northern NSW,,,,,,,1.35,583.3,496.5,144.8,111.7,,22.8,31.3,248.2,277.1,5.7,10.7,344.3,400.1
2019/2020,Northern NSW,,,,,,,1.175,558.3,460.8,109.4,96.1,,21.9,32.5,229.6,282.9,4.7,10.3,383.1,414.1
2020/2021,Northern NSW,,,,,,,1.0,480.8,375.9,79.9,84.1,,19.4,28.2,158.8,191.2,3.3,5.8,190.4,225.8
2021/2022,Northern NSW,,,,,,,,518.8,389.2,81.5,59.9,,,,164.4,174.2,,,,
2022/2023,Northern NSW,,,,,,,,552.4,449.9,,,,,,,,,,,
2000/2001,Northern Sydney,0.1951219512195122,0.4150914634146341,0.6883928571428573,1.72131062712388,15.675,0.0696428571428571,,,,,,,,,,,,,,
2001/2002,Northern Sydney,0.1951219512195122,0.4838414634146341,0.7196428571428573,1.7635542168674698,15.2625,0.0758928571428571,,,,110.2,119.9,,,,127.8,160.9,,,186.8,248.5
2002/2003,Northern Sydney,0.1951219512195122,0.4063943734675442,0.6763227513227513,1.68855421686747,17.269587628865978,0.0629674644727,,,,92.7,110.1,,,,112.8,129.2,,,179.8,247.3
2003/2004,Northern Sydney,0.1951219512195122,0.4049204505650499,0.7027399848828421,1.7742685025817555,16.568335787923417,0.0696428571428571,,,,91.7,121.9,10.9,,,106.9,134.4,,,204.1,251.5
2004/2005,Northern Sydney,0.1951219512195122,0.3735145548734399,0.6716742252456538,1.7580047663180192,15.550957290132546,0.0658283470456245,,,,114.5,148.7,10.9,,,104.7,142.2,,,199.4,264.3
2005/2006,Northern Sydney,0.1951219512195122,0.4063943734675442,0.6763227513227513,1.700605498918752,15.739175257731956,0.056292071802543,,,,102.7,128.8,10.95,,,96.1,127.8,,,191.7,242.9
2006/2007,Northern Sydney,0.1951219512195122,0.4713855551253925,0.7022927689594356,1.6652636185768717,14.965979381443296,0.0585172026925953,,,,114.5,134.9,11.6,,,91.7,117.1,,,164.1,240.2
2007/2008,Northern Sydney,0.1951219512195122,0.4338745321977029,0.697255291005291,1.7150606271238802,14.854896907216496,0.0708863126402393,,,,104.9,143.1,12.1,,,111.5,142.4,,,197.3,280.1
2008/2009,Northern Sydney,,,,,,,,,,111.0,149.1,12.15,,,104.3,127.0,,,208.1,268.7
2009/2010,Northern Sydney,0.1951219512195122,0.3963414634146341,0.7321428571428572,1.61355421686747,13.75,0.0288051608077786,,,,109.8,162.7,12.65,,,106.4,127.5,,,200.7,247.1
2010/2011,Northern Sydney,0.1951219512195122,0.3249128919860627,0.7321428571428573,1.6599827882960412,12.114285714285714,0.0267857142857142,,,,98.0,145.1,13.8,,,113.3,123.4,,,217.9,267.0
2011/2012,Northern Sydney,0.1951219512195122,0.2763414634146341,0.6521428571428572,1.70855421686747,12.919999999999998,0.0396428571428571,0.4,,,113.3,159.2,15.3,11.6,17.6,116.7,133.2,9.5,8.8,237.8,283.3
2012/2013,Northern Sydney,0.1951219512195122,0.2630081300813008,0.5988095238095239,1.7274431057563586,15.455555555555556,0.0696428571428571,0.35,,,122.5,160.8,16.799999999999997,10.8,17.1,105.4,123.1,8.1,8.6,199.5,241.3
2013/2014,Northern Sydney,0.1951219512195122,0.2518970189701897,0.6376984126984128,1.682998661311914,13.666666666666666,0.0640873015873016,0.4,,,135.1,167.3,17.45,11.5,14.8,106.9,127.0,7.2,9.0,197.4,257.5
2014/2015,Northern Sydney,0.1951219512195122,0.2018970189701897,0.5765873015873016,1.810776439089692,14.733333333333333,0.0363095238095238,0.55,221.3,283.0,111.2,127.3,16.3,12.3,14.3,120.8,128.0,8.7,9.2,264.6,306.7
2015/2016,Northern Sydney,0.1951219512195122,0.2574525745257452,0.5932539682539683,1.7552208835341363,15.77777777777778,0.058531746031746,0.6499999999999999,211.7,263.9,117.3,127.2,15.3,12.6,14.0,116.0,138.7,9.6,8.4,274.3,334.9
2016/2017,Northern Sydney,0.1951219512195122,0.2113414634146341,0.5571428571428572,1.8435542168674697,15.88,0.0646428571428571,0.625,215.5,243.2,124.4,124.4,15.2,12.1,14.0,109.3,112.2,11.9,10.5,261.8,319.8
2017/2018,Northern Sydney,0.1850174216027874,0.1770034843205574,0.5474489795918368,2.0483648881239245,17.142857142857142,0.0599489795918367,0.45,195.6,216.7,100.3,101.2,14.75,11.0,12.2,102.9,115.4,11.1,11.5,306.0,382.4
2018/2019,Northern Sydney,0.2249999999999999,0.175,0.5375,2.0500000000000003,17.725,0.1,0.3,195.0,223.0,116.3,118.1,,10.1,11.0,93.4,115.8,9.1,9.5,302.4,357.5
2019/2020,Northern Sydney,0.25,0.41005291005291,0.6941798941798942,1.537051282051282,15.739175257731956,0.0366492146596858,0.3,169.1,183.5,95.9,84.4,,8.8,11.0,78.9,95.9,8.2,7.8,288.3,338.1
2020/2021,Northern Sydney,0.3,0.3725529100529101,0.6191798941798942,1.7870512820512825,15.739175257731956,0.0616492146596858,0.35,129.6,146.1,74.5,69.9,,7.9,11.5,58.1,66.3,5.7,6.3,136.4,182.5
2021/2022,Northern Sydney,,,,,,,,119.7,131.2,61.7,58.3,,,,56.1,65.5,,,,
2022/2023,Northern Sydney,,,,,,,,146.9,163.4,,,,,,,,,,,
2023/2024,Northern Sydney,0.05,0.3850529100529101,0.7191798941798941,1.587051282051282,15.739175257731956,0.0866492146596858,,,,,,,,,,,,,,
2000/2001,South Eastern Sydney,0.2428571428571428,2.7524621212121216,1.4342803030303028,1.403942307692308,19.4875,0.1042372881355932,,,,,,,,,,,,,,
2001/2002,South Eastern Sydney,0.2428571428571428,2.8212121212121217,1.4905303030303028,1.3851923076923078,17.69978373702422,0.1104872881355932,,,,146.1,167.6,,,,151.6,255.2,,,210.7,282.0
2002/2003,South Eastern Sydney,0.2428571428571428,3.146212121212121,1.753030303030303,1.247692307692308,18.55,0.1292372881355932,,,,130.5,149.8,,,,138.2,271.2,,,228.4,292.5
2003/2004,South Eastern Sydney,0.2428571428571428,2.910497835497836,1.6066017316017316,1.3263877442002443,19.6,0.1185230024213074,,,,123.9,136.2,13.0,,,147.3,231.4,,,224.7,301.1
2004/2005,South Eastern Sydney,0.2428571428571428,2.667392676767677,1.43564439033189,1.419244887057387,18.528324270884827,0.1116352473192666,,,,148.7,150.1,12.9,,,136.4,229.2,,,207.4,281.8
2005/2006,South Eastern Sydney,0.2428571428571428,2.5712121212121217,1.4030303030303028,1.5476923076923077,18.6,0.1167372881355932,,,,152.1,148.8,11.85,,,126.7,192.6,,,188.8,270.1
2006/2007,South Eastern Sydney,0.2428571428571428,2.7545454545454557,1.4613636363636362,1.3728369836182337,19.35,0.1125706214689265,,,,137.7,163.0,10.15,,,115.3,203.0,,,184.8,262.9
2007/2008,South Eastern Sydney,0.2428571428571428,2.664745107323233,1.4096926294191918,1.3539423076923076,17.2,0.0984337167070217,,,,153.6,155.6,9.0,,,130.0,220.0,,,215.5,276.0
2008/2009,South Eastern Sydney,,,,,,,,,,140.6,140.0,9.2,,,131.2,202.4,,,187.0,256.9
2009/2010,South Eastern Sydney,0.2428571428571428,2.771212121212121,1.4280303030303028,1.4726923076923075,15.875,0.1042372881355932,,,,157.3,145.7,10.4,,,110.5,172.8,,,201.4,258.6
2010/2011,South Eastern Sydney,0.2428571428571428,2.6819264069264075,1.3780303030303027,1.354835164835165,14.271428571428572,0.0976046350743687,,,,118.0,139.6,13.1,,,116.1,170.4,,,195.9,260.5
2011/2012,South Eastern Sydney,0.2428571428571428,2.5962121212121216,1.338030303030303,1.3476923076923075,15.96,0.1142372881355932,0.6,,,139.1,135.8,13.65,11.9,18.8,134.3,171.8,6.0,8.0,224.0,304.6
2012/2013,South Eastern Sydney,0.2428571428571428,2.6349081088664423,1.2728412598204264,1.4088998694207029,20.366666666666667,0.1046341135324186,0.575,,,125.0,140.9,12.05,13.1,21.5,121.5,164.7,5.9,7.2,194.9,258.9
2013/2014,South Eastern Sydney,0.2428571428571428,2.7351010101010105,1.366919191919192,1.342136752136752,18.4,0.1042372881355932,0.525,,,142.4,146.5,9.95,13.9,22.1,122.7,167.4,6.4,8.0,195.9,240.2
2014/2015,South Eastern Sydney,0.2428571428571428,2.6571303310886645,1.3561745931537597,1.458803418803419,19.61111111111111,0.1042372881355932,0.5,279.4,308.4,127.6,145.4,9.15,13.6,20.3,123.3,154.2,7.0,8.5,251.1,309.0
2015/2016,South Eastern Sydney,0.2428571428571428,2.590656565656566,1.4169191919191917,1.3976923076923078,18.38888888888889,0.0986817325800376,0.55,253.3,274.9,121.2,118.6,9.45,14.1,18.1,125.6,150.1,5.9,8.5,231.1,291.4
2016/2017,South Eastern Sydney,0.2428571428571428,2.5512121212121217,1.3330303030303028,1.477692307692308,18.8,0.1042372881355932,0.6499999999999999,250.0,269.2,114.4,116.0,9.2,15.8,19.4,122.2,161.8,8.0,9.8,247.0,316.0
2017/2018,South Eastern Sydney,0.2428571428571428,2.4819264069264078,1.2708874458874455,1.5691208791208793,20.74285714285714,0.1042372881355932,0.675,216.3,234.7,107.6,110.3,10.35,15.2,18.5,119.1,142.0,8.2,9.5,300.0,351.5
2018/2019,South Eastern Sydney,0.2714285714285714,2.498106060606061,1.2515151515151517,1.511346153846154,21.525,0.1031779661016949,0.65,240.7,237.8,124.5,119.1,,13.9,14.6,117.9,140.7,6.6,8.4,316.5,368.3
2019/2020,South Eastern Sydney,0.2,2.2750000000000004,1.375,1.3250000000000002,15.9,0.1,0.6000000000000001,230.7,205.6,105.6,95.5,,14.1,16.1,105.7,136.5,5.8,6.4,296.7,337.9
2020/2021,South Eastern Sydney,0.2357142857142857,2.3240530303030305,1.2820075757575755,1.499423076923077,19.3,0.1010593220338983,0.55,178.3,174.3,75.3,69.7,,12.0,16.2,65.0,91.8,4.2,5.2,135.0,187.1
2021/2022,South Eastern Sydney,,,,,,,,180.9,158.6,81.3,74.5,,,,62.4,75.6,,,,
2022/2023,South Eastern Sydney,,,,,,,,218.0,190.0,,,,,,,,,,,
2023/2024,South Eastern Sydney,0.25,3.0,1.25,1.2,18.4,0.1021186440677966,,,,,,,,,,,,,,
2000/2001,South Western Sydney,0.2355925274984022,0.7818700214964303,0.8047961669786465,1.849652383321476,17.67513718919969,0.055583201003406,,,,,,,,,,,,,,
2001/2002,South Western Sydney,0.225324670355545,0.8439141570483784,0.7917069827253997,1.825249384327258,17.76888718919969,0.0563031764936021,,,,158.5,162.4,,,,222.3,370.2,,,218.9,343.3
2002/2003,South Western Sydney,0.2430925274984022,1.230108918579354,0.9185479082110292,1.757048331267772,18.09786689005439,0.049333201003406,,,,140.8,156.5,,,,221.0,347.9,,,249.7,326.7
2003/2004,South Western Sydney,0.2389779784529775,0.9724778518011632,0.8428838982206919,1.8698466899359885,19.857510076177256,0.0418226968017253,,,,138.8,139.6,15.75,,,230.6,315.1,,,252.7,342.7
2004/2005,South Western Sydney,0.2048815334233528,0.701950173687507,0.7571061143148182,1.933348816976596,17.996795790462972,0.0433808200510251,,,,142.0,149.4,13.8,,,216.5,318.8,,,237.5,302.8
2005/2006,South Western Sydney,0.1987918362541625,0.673233609663235,0.7841534671824478,1.9662211141453845,18.23622159090909,0.054942882375955,,,,138.1,179.8,12.8,,,202.9,298.0,,,234.6,255.1
2006/2007,South Western Sydney,0.191816605839416,0.7712060893197609,0.7945008805904048,1.8657493595285823,19.10497159090909,0.0498131846635367,,,,164.9,177.7,13.1,,,203.5,303.9,,,218.2,270.3
2007/2008,South Western Sydney,0.1674827924753607,0.7411079616365938,0.723512870659058,1.7602092906030729,16.60184659090909,0.0425587193467858,,,,161.1,170.5,14.3,,,243.3,295.3,,,248.2,301.5
2008/2009,South Western Sydney,,,,,,,,,,157.5,174.0,15.25,,,238.7,300.1,,,218.1,300.6
2009/2010,South Western Sydney,0.267004105839416,0.7562972235340992,0.7490205437311168,1.7611402575020276,16.396235795454544,0.0398197487585505,,,,178.9,183.7,15.55,,,219.0,276.6,,,236.4,280.4
2010/2011,South Western Sydney,0.2589058915537018,0.6034330127243833,0.6713616887314366,1.8129259717877415,15.529568399798082,0.0365688452611091,,,,155.3,170.5,15.7,,,190.1,270.0,,,231.2,296.2
2011/2012,South Western Sydney,0.2694416058394161,0.5889059487169622,0.6874532239819005,1.8096507104637,15.738197879858657,0.0408895735524256,0.75,,,187.2,204.8,16.4,19.6,29.0,233.4,282.8,4.2,7.1,268.9,332.4
2012/2013,South Western Sydney,0.1966194241686942,0.5830182557807709,0.7042182557554008,1.8469464438587009,18.891666666666666,0.0463874217527386,0.725,,,167.1,175.2,16.7,19.6,30.2,208.4,288.8,4.7,8.0,235.9,295.5
2013/2014,South Western Sydney,0.2489166666666666,0.6787257053291537,0.7500682688958551,1.7820833333333337,17.197222222222223,0.0510300925925925,0.725,,,171.4,174.0,15.0,19.0,31.9,195.0,268.4,5.7,7.7,237.2,291.0
2014/2015,South Western Sydney,0.2243531746031745,0.4772509578544061,0.6596743295019157,1.9348611111111111,16.602777777777778,0.032511574074074,0.75,341.8,364.8,183.6,178.8,11.7,19.0,29.3,191.1,256.2,6.3,7.5,297.4,339.4
2015/2016,South Western Sydney,0.2376865079365079,0.6149347813838179,0.7418332347306739,1.850138888888889,17.308333333333334,0.0436226851851851,0.875,335.1,366.2,165.6,181.0,10.7,21.3,29.5,213.2,265.2,8.0,8.2,308.9,361.2
2016/2017,South Western Sydney,0.2342499999999999,0.5512787356321839,0.7068965517241379,1.908055555555556,17.3975,0.0502083333333333,1.025,331.8,322.1,184.5,167.7,12.5,22.1,33.6,221.0,275.6,8.9,9.6,328.5,386.1
2017/2018,South Western Sydney,0.2193928571428571,0.5394326410792548,0.7122536945812808,2.077519841269841,20.014285714285712,0.0586855158730158,1.1,292.5,280.8,177.3,150.1,13.35,20.5,28.7,229.3,244.7,8.6,9.6,378.6,434.3
2018/2019,South Western Sydney,0.18225,0.4894037356321838,0.7131465517241379,2.098055555555556,19.2625,0.0714289906103286,1.025,306.8,311.3,168.3,171.9,,19.1,23.4,215.7,257.5,7.7,9.9,358.4,413.1
2019/2020,South Western Sydney,0.17225,0.8175287356321839,0.725646551724138,1.5293055555555557,16.299999999999997,0.0402083333333333,0.8500000000000001,268.3,240.6,143.8,125.2,,17.1,24.2,189.2,212.6,5.9,8.7,326.3,384.7
2020/2021,South Western Sydney,0.12725,0.5956537356321839,0.6225215517241379,1.935555555555556,19.33125,0.0527083333333333,0.8,220.6,211.7,104.8,100.9,,15.4,23.3,113.5,151.1,4.8,6.3,176.4,233.6
2021/2022,South Western Sydney,,,,,,,,217.2,207.4,98.9,96.7,,,,105.2,127.0,,,,
2022/2023,South Western Sydney,,,,,,,,250.3,248.3,,,,,,,,,,,
2023/2024,South Western Sydney,0.1905794930875576,0.6229490896144848,0.6712217729630761,1.77426263710062,18.3857905982906,0.0597804330065359,,,,,,,,,,,,,,
2001/2002,Southern NSW,,,,,,,,,,192.9,160.5,,,,237.0,356.9,,,271.7,350.9
2002/2003,Southern NSW,,,,,,,,,,143.9,125.3,,,,227.6,357.4,,,299.9,376.0
2003/2004,Southern NSW,,,,,,,,,,164.4,120.7,12.6,,,206.3,337.1,,,292.5,397.7
2004/2005,Southern NSW,,,,,,,,,,171.4,110.8,13.35,,,249.5,342.5,,,275.5,371.6
2005/2006,Southern NSW,,,,,,,,,,159.4,108.8,16.8,,,246.6,286.6,,,238.2,322.0
2006/2007,Southern NSW,,,,,,,,,,145.1,119.6,19.4,,,190.2,260.6,,,249.4,298.6
2007/2008,Southern NSW,,,,,,,,,,149.3,106.0,17.6,,,216.1,266.5,,,303.6,406.6
2008/2009,Southern NSW,,,,,,,,,,158.2,119.3,14.0,,,264.9,246.3,,,317.0,391.8
2009/2010,Southern NSW,,,,,,,,,,156.1,140.9,12.9,,,240.5,287.6,,,299.7,391.5
2010/2011,Southern NSW,,,,,,,,,,134.3,145.7,14.15,,,234.9,307.8,,,395.9,456.5
2011/2012,Southern NSW,,,,,,,0.75,,,151.7,151.0,14.75,21.8,37.0,279.6,336.3,8.7,15.9,313.1,432.4
2012/2013,Southern NSW,,,,,,,0.95,,,138.9,153.5,13.35,22.4,33.2,269.5,294.0,8.7,14.2,296.5,362.3
2013/2014,Southern NSW,,,,,,,1.025,,,134.7,125.8,12.8,29.2,29.3,226.1,249.9,9.9,12.7,278.1,354.1
2014/2015,Southern NSW,,,,,,,0.9,428.6,403.3,122.4,111.4,12.75,32.9,33.4,219.1,267.0,8.8,13.0,315.8,371.9
2015/2016,Southern NSW,,,,,,,0.875,465.2,414.6,125.5,104.9,12.9,28.6,33.4,224.7,289.5,8.6,9.7,347.7,414.9
2016/2017,Southern NSW,,,,,,,0.8,476.8,453.7,129.3,129.1,13.3,27.4,36.0,261.3,308.4,13.3,15.0,391.8,451.2
2017/2018,Southern NSW,,,,,,,0.7,445.1,425.0,153.0,133.9,13.0,30.8,38.9,313.5,353.1,11.3,16.2,440.0,505.3
2018/2019,Southern NSW,,,,,,,0.625,560.6,427.8,144.9,160.1,,29.4,38.6,304.0,315.8,9.5,9.4,383.7,457.8
2019/2020,Southern NSW,,,,,,,0.55,492.2,370.3,121.1,93.5,,24.0,35.4,251.0,272.4,8.0,7.4,344.0,425.4
2020/2021,Southern NSW,,,,,,,0.5,375.0,331.7,93.0,73.2,,22.1,32.6,156.7,230.0,3.9,4.5,255.7,306.4
2021/2022,Southern NSW,,,,,,,,390.5,310.5,99.1,47.6,,,,140.7,190.1,,,,
2022/2023,Southern NSW,,,,,,,,440.6,418.8,,,,,,,,,,,
2000/2001,Sydney,0.2875,1.36875,1.2875,1.54375,19.335140041493776,0.0616822429906542,,,,,,,,,,,,,,
2001/2002,Sydney,0.2625,1.7375,1.3125,1.5062279151943463,19.14139004149378,0.0616822429906542,,,,148.8,150.9,,,,161.0,313.6,,,222.3,345.0
2002/2003,Sydney,0.3,2.825,1.75,1.375,19.51639004149378,0.0616822429906542,,,,146.6,134.4,,,,150.9,282.3,,,219.4,349.1
2003/2004,Sydney,0.2714285714285714,1.8857142857142857,1.4,1.5285714285714285,21.603681111204548,0.0616822429906542,,,,134.5,144.8,11.2,,,176.0,298.8,,,221.1,362.4
2004/2005,Sydney,0.2090252707581227,1.0429371002132195,1.14406512605042,1.7071176173649671,19.56574394463668,0.0616822429906542,,,,134.2,151.7,11.95,,,150.3,326.7,,,214.7,364.8
2005/2006,Sydney,0.2,0.875,1.1375,1.8375,20.7,0.0616822429906542,,,,125.7,150.7,12.85,,,137.7,283.7,,,201.7,285.2
2006/2007,Sydney,0.2166666666666666,1.3,1.1666666666666667,1.5666666666666669,21.016666666666666,0.0616822429906542,,,,153.6,149.1,13.55,,,148.3,275.6,,,184.1,301.6
2007/2008,Sydney,0.15,1.2561570437287248,1.115127063983488,1.469030172413793,17.85625,0.0616822429906542,,,,141.0,142.7,14.4,,,163.6,283.1,,,212.9,291.4
2008/2009,Sydney,,,,,,,,,,140.7,147.6,13.5,,,171.8,340.0,,,193.2,249.4
2009/2010,Sydney,0.3407942238267148,1.2376399253731345,1.1271139705882351,1.5624558303886926,17.441597510373445,0.0616822429906542,,,,131.9,158.1,11.5,,,168.3,250.0,,,202.8,257.6
2010/2011,Sydney,0.3142857142857143,0.9857942430703625,1.036922268907563,1.6071428571428572,16.357142857142858,0.0616822429906542,,,,115.5,128.9,8.899999999999999,,,133.5,254.7,,,220.2,279.2
2011/2012,Sydney,0.36,0.74,0.9399999999999998,1.69,16.020000000000003,0.0616822429906542,0.8,,,148.6,136.4,8.75,14.0,26.5,150.3,270.0,7.2,9.2,220.1,311.6
2012/2013,Sydney,0.3070196550340955,0.7833955223880598,1.00093954248366,1.8111111111111111,20.366666666666667,0.0616822429906542,1.0,,,111.5,158.0,9.3,13.1,27.8,153.6,263.6,6.8,8.7,198.2,284.4
2013/2014,Sydney,0.2333333333333333,0.8388888888888889,1.0444444444444445,1.5499999999999998,18.32777777777778,0.0616822429906542,1.075,,,122.0,150.4,8.95,10.5,31.1,149.1,279.0,5.2,9.0,203.5,265.8
2014/2015,Sydney,0.2222222222222222,0.74411306042885,0.8874658869395711,1.7833333333333334,18.33333333333333,0.0744548286604361,0.85,263.0,283.1,127.3,130.1,9.45,11.1,29.5,148.7,238.9,7.2,7.9,261.7,336.0
2015/2016,Sydney,0.2777777777777778,0.7774463937621833,0.8819103313840155,1.6055555555555556,17.133333333333333,0.1,0.575,251.0,287.6,111.3,117.8,10.1,12.1,23.3,136.8,241.5,8.3,8.4,260.9,337.7
2016/2017,Sydney,0.2063176895306859,0.67,0.98,1.6599999999999997,17.605,0.04,0.375,255.5,263.7,128.9,121.7,10.9,11.1,24.5,150.4,246.9,9.8,13.3,280.6,376.6
2017/2018,Sydney,0.1894791129448169,0.7646855010660981,0.9881302521008404,1.84994952044422,18.711825726141083,0.0604806408544726,0.425,208.6,229.5,108.7,118.8,10.3,10.9,26.0,149.2,236.8,8.9,13.9,319.9,419.7
2018/2019,Sydney,0.2157942238267148,0.4875,0.8125,1.9,18.725,0.1,0.525,233.1,244.4,124.0,116.1,,11.3,23.4,162.2,240.1,8.2,12.1,281.5,384.0
2019/2020,Sydney,0.2,1.0,1.0,1.375,15.425,0.05,0.6000000000000001,199.2,202.8,116.8,99.2,,10.0,20.2,146.6,204.0,6.9,9.8,297.2,382.0
2020/2021,Sydney,0.2,0.5375000000000001,0.8,1.8375,18.375,0.075,0.65,183.8,191.9,99.4,84.8,,9.8,21.6,80.5,140.6,4.0,6.0,172.8,221.6
2021/2022,Sydney,,,,,,,,159.1,160.1,86.8,68.6,,,,67.8,102.0,,,,
