Sex,LHD,Period,"Rate per 100,000 population",LL 95% CI,UL 95% CI
Males,Southern NSW LHD,21/22,310.5,275.5,348.4
Males,Southern NSW LHD,22/23,418.8,378.3,462.2
Males,Murrumbidgee LHD,14/15,618.8,574.8,665.3
Males,Murrumbidgee LHD,15/16,651,605.3,699.1
Males,Murrumbidgee LHD,16/17,729.6,681.2,780.5
Males,Murrumbidgee LHD,17/18,557.8,515.9,602.1
Males,Murrumbidgee LHD,18/19,501,461.2,543.3
Males,Murrumbidgee LHD,19/20,478,439.2,519.1
Males,Murrumbidgee LHD,20/21,458.9,420.4,500
Males,Murrumbidgee LHD,21/22,463.2,424.4,504.6
Males,Murrumbidgee LHD,22/23,651.8,605.4,700.8
Males,Western NSW LHD,14/15,376.7,345,410.5
Males,Western NSW LHD,15/16,562.7,523.7,603.8
Males,Western NSW LHD,16/17,646.5,604.6,690.5
Males,Western NSW LHD,17/18,496.8,460.2,535.5
Males,Western NSW LHD,18/19,493.8,457.6,532.1
Males,Western NSW LHD,19/20,443,408.2,479.9
Males,Western NSW LHD,20/21,521.1,483.3,561
Males,Western NSW LHD,21/22,502.3,465.1,541.8
Males,Western NSW LHD,22/23,575.8,536.2,617.6
Males,Far West LHD,14/15,603,480.9,745.8
Males,Far West LHD,15/16,840.8,693.7,"1,008.90"
Males,Far West LHD,16/17,857.9,709.6,"1,027.10"
Males,Far West LHD,17/18,572.8,453.4,713.3
Males,Far West LHD,18/19,787.1,645.4,949.9
Males,Far West LHD,19/20,459.6,353.9,586.4
Males,Far West LHD,20/21,350.1,257.1,464.7
Males,Far West LHD,21/22,349.1,254.6,466
Males,Far West LHD,22/23,632.8,500,789
Males,All LHDs,14/15,378.5,372.2,384.8
Males,All LHDs,15/16,385.6,379.4,392
Males,All LHDs,16/17,381.5,375.3,387.8
Males,All LHDs,17/18,336.4,330.6,342.3
Males,All LHDs,18/19,333.4,327.6,339.2
Males,All LHDs,19/20,288,282.6,293.4
Males,All LHDs,20/21,257.1,252,262.2
Males,All LHDs,21/22,246.2,241.2,251.2
Males,All LHDs,22/23,295.7,290.3,301.3
Females,Sydney LHD,14/15,263,243.9,283.1
Females,Sydney LHD,15/16,251,232.4,270.5
Females,Sydney LHD,16/17,255.5,236.9,275.2
Females,Sydney LHD,17/18,208.6,192.2,226.1
Females,Sydney LHD,18/19,233.1,215.6,251.5
Females,Sydney LHD,19/20,199.2,183.1,216.3
Females,Sydney LHD,20/21,183.8,167.9,200.8
Females,Sydney LHD,21/22,159.1,144.6,174.6
Females,Sydney LHD,22/23,206.4,189.7,224.1
Females,South Western Sydney LHD,14/15,341.8,325.3,358.9
Females,South Western Sydney LHD,15/16,335.1,318.9,351.8
Females,South Western Sydney LHD,16/17,331.8,315.9,348.2
Females,South Western Sydney LHD,17/18,292.5,277.8,307.8
Females,South Western Sydney LHD,18/19,306.8,291.8,322.4
Females,South Western Sydney LHD,19/20,268.3,254.4,282.7
Females,South Western Sydney LHD,20/21,220.6,208.1,233.7
Females,South Western Sydney LHD,21/22,217.2,204.8,230.2
Females,South Western Sydney LHD,22/23,250.3,236.9,264.2
Females,South Eastern Sydney LHD,14/15,279.4,263.1,296.5
Females,South Eastern Sydney LHD,15/16,253.3,237.7,269.5
Females,South Eastern Sydney LHD,16/17,250,234.7,265.9
Females,South Eastern Sydney LHD,17/18,216.3,202.3,231
Females,South Eastern Sydney LHD,18/19,240.7,225.9,256.2
Females,South Eastern Sydney LHD,19/20,230.7,216.1,246
Females,South Eastern Sydney LHD,20/21,178.3,165.2,192.1
Females,South Eastern Sydney LHD,21/22,180.9,168,194.6
Females,South Eastern Sydney LHD,22/23,218,203.7,233.1
Females,Illawarra Shoalhaven LHD,14/15,410.1,381.2,440.5
Females,Illawarra Shoalhaven LHD,15/16,458.7,428.3,490.7
Females,Illawarra Shoalhaven LHD,16/17,456.8,426.6,488.6
Females,Illawarra Shoalhaven LHD,17/18,389.9,362,419.2
Females,Illawarra Shoalhaven LHD,18/19,392.5,364.7,421.8
Females,Illawarra Shoalhaven LHD,19/20,339.5,313.7,366.7
Females,Illawarra Shoalhaven LHD,20/21,294.3,270.1,319.9
Females,Illawarra Shoalhaven LHD,21/22,264.7,242,289
Females,Illawarra Shoalhaven LHD,22/23,268.9,246.2,292.9
Females,Western Sydney LHD,14/15,307.1,291.1,323.6
Females,Western Sydney LHD,15/16,305.7,289.9,322.1
Females,Western Sydney LHD,16/17,298.5,283.1,314.6
Females,Western Sydney LHD,17/18,271.3,256.8,286.5
Females,Western Sydney LHD,18/19,279.2,264.6,294.3
Females,Western Sydney LHD,19/20,244.8,231.4,258.9
Females,Western Sydney LHD,20/21,184.8,173.2,196.9
Females,Western Sydney LHD,21/22,187.4,175.8,199.6
Females,Western Sydney LHD,22/23,220.4,207.8,233.6
Females,Nepean Blue Mountains LHD,14/15,447,416.5,479
Females,Nepean Blue Mountains LHD,15/16,400.1,371.6,430.3
Females,Nepean Blue Mountains LHD,16/17,439.7,409.7,471.2
Females,Nepean Blue Mountains LHD,17/18,397.1,368.9,426.9
Females,Nepean Blue Mountains LHD,18/19,406.2,377.6,436.2
Females,Nepean Blue Mountains LHD,19/20,366.3,339.3,394.9
Females,Nepean Blue Mountains LHD,20/21,268,245,292.6
Females,Nepean Blue Mountains LHD,21/22,271.6,248.2,296.5
Females,Nepean Blue Mountains LHD,22/23,291.9,267.7,317.6
Females,Northern Sydney LHD,14/15,221.3,207.3,236
Females,Northern Sydney LHD,15/16,211.7,198.1,226
Females,Northern Sydney LHD,16/17,215.5,201.9,229.8
Females,Northern Sydney LHD,17/18,195.6,182.7,209.1
Females,Northern Sydney LHD,18/19,195,182.1,208.5
Females,Northern Sydney LHD,19/20,169.1,157.1,181.6
Females,Northern Sydney LHD,20/21,129.6,119,140.8
Females,Northern Sydney LHD,21/22,119.7,109.6,130.5
Females,Northern Sydney LHD,22/23,146.9,135.7,158.8
Females,Central Coast LHD,14/15,373.6,343.5,405.5
Females,Central Coast LHD,15/16,405.8,374.4,439.1
Females,Central Coast LHD,16/17,412,380.6,445.1
Females,Central Coast LHD,17/18,386.7,356.4,418.7
Females,Central Coast LHD,18/19,403.8,372.8,436.6
Females,Central Coast LHD,19/20,393.8,363.2,426.1
Females,Central Coast LHD,20/21,308.3,281.2,337.1
Females,Central Coast LHD,21/22,287.7,261.3,315.8
Females,Central Coast LHD,22/23,348.8,320.2,379.1
Females,Hunter New England LHD,14/15,455.6,435.3,476.6
Females,Hunter New England LHD,15/16,475.9,455.2,497.3
Females,Hunter New England LHD,16/17,505.5,484.3,527.3
Females,Hunter New England LHD,17/18,430.7,411.3,450.8
Females,Hunter New England LHD,18/19,465.9,445.6,486.9
Females,Hunter New England LHD,19/20,470.1,449.8,491.1
Females,Hunter New England LHD,20/21,400.2,381.4,419.7
Females,Hunter New England LHD,21/22,398,379.2,417.4
Females,Hunter New England LHD,22/23,410.6,391.7,430.2
Females,Northern NSW LHD,14/15,663.2,618.3,710.2
Females,Northern NSW LHD,15/16,669.9,624.8,717.2
Females,Northern NSW LHD,16/17,620.7,577.9,665.7
Females,Northern NSW LHD,17/18,664,620.1,710
Females,Northern NSW LHD,18/19,583.3,542.3,626.5
Females,Northern NSW LHD,19/20,558.3,518.1,600.6
Females,Northern NSW LHD,20/21,480.8,443.2,520.7
Females,Northern NSW LHD,21/22,518.8,479.4,560.3
Females,Northern NSW LHD,22/23,552.4,511.9,595.1
Females,Mid North Coast LHD,14/15,495.6,450.2,544.1
Females,Mid North Coast LHD,15/16,487.5,442.4,535.8
Females,Mid North Coast LHD,16/17,462.2,419.3,508.1
Females,Mid North Coast LHD,17/18,422.3,381.7,465.8
Females,Mid North Coast LHD,18/19,477.4,433.8,523.9
Females,Mid North Coast LHD,19/20,493.9,449.9,540.9
Females,Mid North Coast LHD,20/21,360.6,322.7,401.4
Females,Mid North Coast LHD,21/22,384.8,345.7,426.9
Females,Mid North Coast LHD,22/23,447.9,405.6,493.2
Females,Southern NSW LHD,14/15,428.6,386.8,473.6
Females,Southern NSW LHD,15/16,465.2,421.4,512.2
Females,Southern NSW LHD,16/17,476.8,432.9,523.9
Females,Southern NSW LHD,17/18,445.1,403.3,489.9
Females,Southern NSW LHD,18/19,560.6,512.8,611.5
Females,Southern NSW LHD,19/20,492.2,448.2,539.2
Females,Southern NSW LHD,20/21,375,336.5,416.4
Females,Southern NSW LHD,21/22,390.5,350.9,433.1
Females,Southern NSW LHD,22/23,440.6,398.4,485.9
Females,Murrumbidgee LHD,14/15,652.8,606.3,701.7
Females,Murrumbidgee LHD,15/16,668.1,621.1,717.6
Females,Murrumbidgee LHD,16/17,749.9,699.5,802.8
Females,Murrumbidgee LHD,17/18,653.7,607,702.8
Females,Murrumbidgee LHD,18/19,670.5,623.4,720.2
Females,Murrumbidgee LHD,19/20,640.3,594.1,689
Females,Murrumbidgee LHD,20/21,607.9,562.5,655.8
Females,Murrumbidgee LHD,21/22,582.8,538.7,629.5
Females,Murrumbidgee LHD,22/23,761.7,710.6,815.4
Females,Western NSW LHD,14/15,459.5,423.5,497.7
Females,Western NSW LHD,15/16,564.2,524.2,606.5
Females,Western NSW LHD,16/17,728.9,683.4,776.5
Females,Western NSW LHD,17/18,579,538.5,621.7
Females,Western NSW LHD,18/19,609,567.4,652.8
Females,Western NSW LHD,19/20,586.8,545.9,630
Females,Western NSW LHD,20/21,578.6,537.8,621.6
Females,Western NSW LHD,21/22,619.8,577.3,664.6
Females,Western NSW LHD,22/23,620.9,578.7,665.3
Females,Far West LHD,14/15,771.9,629,936.2
Females,Far West LHD,15/16,805.8,659.9,973.3
Females,Far West LHD,16/17,897.8,743.3,"1,073.80"
Females,Far West LHD,17/18,788.2,645.4,952.2
Females,Far West LHD,18/19,884.7,731.7,"1,059.20"
Females,Far West LHD,19/20,692.3,557.8,848.4
Females,Far West LHD,20/21,592.1,465.6,740.8
Females,Far West LHD,21/22,689.7,552.1,849.9
Females,Far West LHD,22/23,963.7,792.6,"1,159.00"
Females,All LHDs,14/15,374.7,368.4,381
Females,All LHDs,15/16,376.2,369.9,382.5
Females,All LHDs,16/17,388.7,382.4,395.1
Females,All LHDs,17/18,347,341.1,353
Females,All LHDs,18/19,362.4,356.4,368.6
