financial year,lhd,CO ppm,NO pphm,NO2 pphm,OZONE pphm,PM10 µg/m³,SO2 pphm,asthma deaths,asthma edp,asthma hospitalisations,asthma pic,copd deaths,copd hospitalisations,iap deaths,iap hospitalisations
2014/2015,Central Coast,0.1,0.2333333333333333,0.4666666666666666,1.7911900210025593,15.158333333333331,0.05,0.675,366.6,117.375,9562.5,33.0,292.1,10.2,329.0
2015/2016,Central Coast,0.1083333333333333,0.2166666666666666,0.4583333333333333,1.6916666666666669,15.375,0.0583333333333333,0.725,380.9,121.225,9200.0,33.1,293.2,10.1,345.3
2016/2017,Central Coast,0.1,0.2166666666666666,0.4916666666666667,1.775,15.358333333333334,0.0583333333333333,0.7,378.4,118.225,8762.5,35.5,306.9,11.3,287.0
2017/2018,Central Coast,0.1083333333333333,0.175,0.4416666666666666,1.8611831241970025,16.816666666666666,0.075,0.675,368.2,113.575,8100.0,36.4,309.7,11.3,376.8
2018/2019,Central Coast,0.1083333333333333,0.2166666666666666,0.4166666666666667,1.7333333333333334,17.75,0.0916666666666666,0.675,378.8,107.725,7700.0,35.4,295.8,10.1,376.0
2019/2020,Central Coast,0.1431293783784996,0.2083333333333333,0.3583333333333333,1.9166666666666667,18.57275165690874,0.0666666666666666,0.6499999999999999,359.1,100.375,8491.666666666666,31.7,261.0,9.0,369.9
2020/2021,Central Coast,0.1333333333333333,0.2333333333333333,0.35,1.7166666666666668,14.075,0.0583333333333333,0.6,299.6,62.025000000000006,9283.333333333334,28.3,200.9,6.1,199.8
2021/2022,Central Coast,0.0051488886218629,0.1916666666666666,0.225,1.6666666666666667,12.658333333333331,0.0814516445192274,0.65,270.5,64.225,10075.0,31.175,171.2,6.975,223.55
2022/2023,Central Coast,0.0051488886218629,0.1916666666666666,0.225,1.6833333333333331,12.0,0.0583333333333333,0.65,330.1,142.24166666666667,10866.666666666666,34.05,210.56666666666663,7.85,247.3
2023/2024,Central Coast,0.0228491929485406,0.1830819383655015,0.2587558061895388,1.7916666666666667,14.533333333333331,0.075,0.65,510.3,220.25833333333333,11658.333333333332,36.925,249.9333333333333,8.725,271.05
2014/2015,Hunter New England,0.1199458229390632,0.4774398968359341,0.6375759910062889,2.158975234193854,21.95067981599007,0.1597595638872286,0.825,452.6,108.675,9562.5,28.8,254.7,9.6,349.0
2015/2016,Hunter New England,0.1710555390678579,0.4736786664000638,0.6642024110340078,2.058007816581769,22.25952380952381,0.1583285135337609,1.025,469.9,116.975,9962.5,29.2,259.9,8.4,351.0
2016/2017,Hunter New England,0.0955630273028608,0.4984599220650079,0.6585149419952286,2.1265459829920306,21.76071428571429,0.1882318157939641,1.05,503.0,134.75,10037.5,31.0,282.0,12.2,364.6
2017/2018,Hunter New England,0.1346376779993974,0.5435718832802907,0.6682586630492765,2.205529701807569,24.0334720130882,0.1892196510058752,0.975,436.5,119.15,9937.5,29.4,267.1,12.7,425.3
2018/2019,Hunter New England,0.1364819373753738,0.5560264826848705,0.6501873064255931,2.191191166371898,25.72189241216915,0.1855932244004523,0.875,446.4,122.475,9950.0,28.0,246.1,10.2,376.5
2019/2020,Hunter New England,0.1197424774855931,0.5201158055810179,0.6281471321150829,2.3635376441178577,26.13616767258303,0.1769508121589781,0.8,441.2,109.825,9991.666666666666,26.8,228.2,7.5,350.5
2020/2021,Hunter New England,0.0902057380781621,0.5237466981241533,0.5354011442796035,1.964825406366791,19.755952380952383,0.1455237670273577,0.8,384.6,81.3,10033.333333333334,25.2,161.6,5.1,222.2
2021/2022,Hunter New England,0.0669361986751111,0.4833687170347426,0.5154204352533742,1.863955384662791,18.842531728568822,0.1387430790241157,0.65,384.2,70.425,10075.0,26.175,160.1,5.8,225.7
2022/2023,Hunter New England,0.0611678540495956,0.451607113285206,0.5014504509613554,1.913033066924752,18.207142857142856,0.1386260250043352,0.65,415.6,95.08333333333331,10116.666666666666,27.15,186.63333333333333,6.5,229.2
2023/2024,Hunter New England,0.0704925908031222,0.5208674928113552,0.555903193359782,2.0654761904761902,21.335714285714285,0.1381714832129848,0.65,406.9,119.74166666666667,10158.333333333334,28.125,213.16666666666663,7.2,232.7
2014/2015,Illawarra Shoalhaven,0.2083333333333333,0.3552270670891047,0.5909735561443975,1.9125,17.287499999999998,0.1,0.65,398.2,82.075,7250.0,29.1,254.8,7.9,346.8
2015/2016,Illawarra Shoalhaven,0.2083333333333333,0.3625,0.6291666666666667,1.8683087024036045,18.758333333333333,0.1,0.7,426.6,107.475,6937.5,29.1,235.9,8.3,320.7
2016/2017,Illawarra Shoalhaven,0.2,0.3416666666666666,0.5458333333333333,1.95,18.725,0.1,0.75,420.6,110.05,6725.0,30.3,246.5,10.7,310.9
2017/2018,Illawarra Shoalhaven,0.175,0.3708333333333333,0.5375,2.0223979578271054,20.4625,0.1,0.725,395.8,82.675,7062.5,27.4,256.2,10.7,389.2
2018/2019,Illawarra Shoalhaven,0.1916666666666666,0.3538060328112442,0.5706349347229379,1.9416666666666669,21.31693798737167,0.1,0.625,367.4,83.425,7600.0,25.9,244.1,10.4,367.4
2019/2020,Illawarra Shoalhaven,0.2083333333333333,0.3041666666666667,0.5333333333333333,2.0125,22.03333333333333,0.1,0.55,311.0,69.975,8129.166666666667,26.9,231.8,8.6,363.8
2020/2021,Illawarra Shoalhaven,0.2,0.3374999999999999,0.45,1.8291666666666664,17.845833333333335,0.1,0.55,272.2,51.775000000000006,8658.333333333334,26.8,161.2,5.5,222.7
2021/2022,Illawarra Shoalhaven,0.1666666666666666,0.3041666666666667,0.3166666666666667,1.8041666666666665,15.05,0.1,0.65,257.0,53.6,9187.5,27.15,151.7,6.65,251.3
2022/2023,Illawarra Shoalhaven,0.175,0.2958333333333333,0.3666666666666667,1.8625,15.616666666666667,0.1,0.65,270.5,83.88333333333333,9716.666666666666,27.5,202.16666666666663,7.8,279.9
2023/2024,Illawarra Shoalhaven,0.1083333333333333,0.3999999999999999,0.65,1.820317970042006,20.1125,0.1,0.65,380.35,114.16666666666666,10245.833333333332,27.85,252.63333333333333,8.95,308.5
2014/2015,Nepean Blue Mountains,0.0853682582377817,0.2103916072702753,0.4406109849496617,1.994593226981648,15.152996380812162,0.0284457444723713,1.0,415.2,139.675,8775.0,30.8,260.9,10.6,351.1
