financial year,lhd,CO ppm,NO pphm,NO2 pphm,OZONE pphm,PM10 µg/m³,SO2 pphm
2000/2001,Central Coast,0.146353405,0.399685591,0.68494198,1.702759631,13.84171909,0.05609907
2001/2002,Central Coast,0.130870489,0.390895028,0.653007259,1.747313939,14.88680776,0.058678555
2002/2003,Central Coast,0.166697489,0.349499806,0.630578324,1.838603826,18.95764938,0.055580985
2003/2004,Central Coast,0.187438823,0.380826083,0.663295876,1.831482724,16.8061736,0.05834161
2004/2005,Central Coast,0.109070261,0.358994699,0.586030782,1.775887485,15.63361682,0.060331768
2005/2006,Central Coast,0.126967122,0.33875436,0.617208124,1.782720691,15.8671027,0.060781089
2006/2007,Central Coast,0.125397946,0.32150241,0.551668694,1.754098991,16.12554885,0.060371685
2007/2008,Central Coast,0.057867559,0.303276929,0.498482295,1.664407865,14.14056353,0.059835251
2008/2009,Central Coast,0.125994606,0.27551212,0.50990083,1.814052322,16.78649219,0.073097808
2009/2010,Central Coast,0.139108783,0.250874513,0.553606105,1.879182442,17.53962455,0.074142211
2010/2011,Central Coast,0.105235599,0.301532313,0.582390179,1.682968849,13.58071342,0.076149545
2011/2012,Central Coast,0.065988695,0.306571511,0.564177291,1.586417999,13.53260401,0.064974854
2012/2013,Central Coast,0.084025033,0.268964137,0.502566255,1.719030609,16.43848962,0.077980301
2013/2014,Central Coast,0.1,0.241666667,0.516666667,1.75,15.93333333,0.091666667
2014/2015,Central Coast,0.1,0.233333333,0.466666667,1.791190021,15.15833333,0.05
2015/2016,Central Coast,0.108333333,0.216666667,0.458333333,1.691666667,15.375,0.058333333
2016/2017,Central Coast,0.1,0.216666667,0.491666667,1.775,15.35833333,0.058333333
2017/2018,Central Coast,0.108333333,0.175,0.441666667,1.861183124,16.81666667,0.075
2018/2019,Central Coast,0.108333333,0.216666667,0.416666667,1.733333333,17.75,0.091666667
2019/2020,Central Coast,0.143129378,0.208333333,0.358333333,1.916666667,18.57275166,0.066666667
