sex,lhd,risk group,financial year,"rate per 100,000 population"
Persons,Far West,65+ years,2001/2002,436.8
Persons,Far West,65+ years,2002/2003,294.2
Persons,Far West,65+ years,2003/2004,127.5
Persons,Far West,65+ years,2004/2005,59.3
Persons,Far West,65+ years,2005/2006,39.5
Persons,Far West,65+ years,2006/2007,37.5
Persons,Far West,65+ years,2007/2008,89.2
Persons,Far West,65+ years,2008/2009,36.4
Persons,Far West,65+ years,2009/2010,54.3
Persons,Far West,65+ years,2010/2011,20.1
Persons,Far West,65+ years,2011/2012,39.5
Persons,Far West,65+ years,2012/2013,110.6
Persons,Far West,65+ years,2013/2014,69.2
Persons,Far West,65+ years,2014/2015,115.1
Persons,Far West,65+ years,2015/2016,52.5
Persons,Far West,65+ years,2016/2017,179.1
Persons,Far West,65+ years,2017/2018,152.4
Persons,Far West,65+ years,2018/2019,69.2
Persons,Far West,65+ years,2019/2020,72.5
Persons,Far West,65+ years,2020/2021,80.6
Persons,Far West,65+ years,2021/2022,77.8
